name,value,limit,pass_check,required,units,reason
peak_bank_sign,5.701482642774998,1,True,True,deg,peak_bank_sign_matches_case_direction
peak_bank_min_abs_deg,5.701482642774998,5.0,True,True,deg,bank_response_reaches_minimum_proxy_magnitude
peak_bank_max_abs_deg,5.701482642774998,12.0,True,True,deg,bank_response_stays_mild
terminal_bank_abs_deg,5.222576064691374,8.0,True,True,deg,terminal_bank_unloaded_enough_for_glide_handoff_proxy
terminal_rate_boundary,0.2505064486595842,0.7,True,True,rad/s,terminal_body_rate_norm_within_bank_handoff_bound
max_alpha_boundary,4.229848764565468,20.0,True,True,deg,trajectory_alpha_within_w0_bank_bound
max_beta_boundary,4.583662361046585,15.0,True,True,deg,trajectory_beta_within_w0_bank_bound
max_rate_boundary,0.4577364577745652,2.0,True,True,rad/s,trajectory_rate_within_w0_bank_bound
saturation_fraction,0.0,0.2,True,True,-,requested_commands_do_not_excessively_clip
lateral_displacement_sign,0.35242731870034794,1,True,True,m,terminal_lateral_displacement_matches_case_direction
lateral_displacement_min_abs_m,0.35242731870034794,0.05,True,True,m,bank_proxy_repositions_laterally_by_minimum_amount
true_safe_trajectory,True,true,True,True,-,full_trajectory_inside_true_safe_bounds
terminal_x_w_m,5.114573082460392,5.5,True,True,m,terminal_x_against_existing_glide_entry_upper_bound
terminal_true_safe_x_margin_m,1.4854269175396073,0.0,True,True,m,positive_margin_means_terminal_x_inside_true_safe_volume
terminal_glide_entry_x_margin_m,0.38542691753960767,0.0,True,True,m,positive_margin_means_terminal_x_inside_existing_glide_entry
terminal_glide_entry_proxy,True,true,True,True,-,terminal_state_matches_existing_glide_w0_nominal_entry_set
terminal_glide_entry_proxy_source,build_glide_primitive_spec + evaluate_entry_set,build_glide_primitive_spec + evaluate_entry_set,True,True,-,handoff_proxy_uses_existing_glide_spec_and_entry_evaluator
diagnostic_case,False,diagnostic,True,False,-,case_role_recorded_for_acceptance_gate
