stage_index,stage_id,fit_parameter_group,accepted,acceptance_reason,train_objective_before,train_objective_after,heldout_objective_before,heldout_objective_after,heldout_dx_mae_before_m,heldout_dx_mae_after_m,heldout_altitude_loss_mae_before_m,heldout_altitude_loss_mae_after_m,heldout_sink_mae_before_m_s,heldout_sink_mae_after_m_s,heldout_pitch_mae_before_deg,heldout_pitch_mae_after_deg,attached_sample_fraction,transition_sample_fraction,post_stall_sample_fraction,parameter_updates_json
0,stage0_baseline,none,True,baseline_active,62.05919708,62.05919708,56.28026261,56.28026261,0.944352335,0.944352335,1.180679044,1.180679044,1.073922578,1.073922578,20.50537753,20.50537753,0.218844697,0.696780303,0.084375,{}
1,stage1_attached_cm,attached_pitch_moment,True,heldout_longitudinal_improved_or_preserved,62.05919708,29.62622238,56.28026261,18.0176426,0.944352335,0.4038661699,1.180679044,0.3841844338,1.073922578,0.3436262993,20.50537753,7.777958301,0.218844697,0.696780303,0.084375,"{""attached_pitch_moment_bias_coeff"": 0.07539888280218615}"
2,stage2_transition_cm,transition_pitch_moment,False,rejected_by_heldout_longitudinal_gate,29.62622238,29.48313022,18.0176426,17.86848857,0.4038661699,0.4043236175,0.3841844338,0.3813962287,0.3436262993,0.3412404398,7.777958301,7.668310768,0.218844697,0.696780303,0.084375,{}
3,stage3_post_stall_cm,post_stall_pitch_moment,False,rejected_by_heldout_longitudinal_gate,29.62622238,29.82179617,18.0176426,18.26855342,0.4038661699,0.4033661379,0.3841844338,0.389691845,0.3436262993,0.3483333161,7.777958301,7.715612059,0.218844697,0.696780303,0.084375,{}
4,stage4_post_stall_cmq,post_stall_pitch_damping,False,rejected_by_heldout_longitudinal_gate,29.62622238,30.9150742,18.0176426,20.54969786,0.4038661699,0.3999386582,0.3841844338,0.4416420467,0.3436262993,0.3934911501,7.777958301,7.600169211,0.218844697,0.696780303,0.084375,{}
5,stage5_transition_blend,transition_blend_start_full,False,rejected_by_heldout_longitudinal_gate,29.62622238,27.63401306,18.0176426,15.62738239,0.4038661699,0.4072156581,0.3841844338,0.3462777594,0.3436262993,0.3112405067,7.777958301,5.426749689,0.218844697,0.696780303,0.084375,{}
6,stage6_post_stall_lift_drag,post_stall_lift_drag,False,rejected_by_heldout_longitudinal_gate,29.62622238,30.70222192,18.0176426,19.28650425,0.4038661699,0.4056760874,0.3841844338,0.4208504217,0.3436262993,0.3757508082,7.777958301,8.262894843,0.218844697,0.696780303,0.084375,{}
