summary_section,fan_branch,W_layer,primitive_family,failure_label,evidence_role,accepted,row_count,minimum_margin_min_m,minimum_margin_mean_m,energy_residual_min_m,energy_residual_mean_m,energy_residual_max_m,archive_prepared_status,mission_evidence_ready_status,archive_chunk_index,archive_chunk_count
row_count_by_branch_layer,single_fan_branch,W0,,,,,2500,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
row_count_by_branch_layer,single_fan_branch,W1,,,,,2500,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
non_dry_w1_measured_updraft_by_branch,single_fan_branch,W1,,,,,2500,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W0,energy_retaining_bank,,,,4,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W0,lift_dwell_arc,,,,4,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W0,mild_coordinated_turn_left,,,,4,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W0,mild_coordinated_turn_right,,,,4,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W0,recovery,,,,27,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W1,energy_retaining_bank,,,,4,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
accepted_partial_feedback_by_branch_layer_primitive,single_fan_branch,W1,lift_dwell_arc,,,,4,,,,,,blocked_missing_branch_layer_rows,blocked_no_mission_or_partial_feedback_rows_for_both_branches,0,96
