split,session_label,case_id,throw_id,replay_status,alignment_window_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg
train,20260602_225953,C0_neutral,v001,ok,0.2,1.4280632,2.702809837,2.441526017,1.72400513,5.065553145,3.158842148,0.8367234767,0.4109178318,1.255303019,-1.094200145,3.224269916,2.980220806,0.2440491097,0.9936943759,2.095619491,-1.101925115,1.338902914,1.717185194,-0.3782822802,0.9375655884,1.202457422,-0.2648918341,54.1163167,36.48719922,-29.06220453,-27.35972153,0.6891936255,136.1850953
train,20260602_225953,C0_neutral,v002,ok,0.2,1.197315,2.420965056,2.290281817,1.405082426,5.604062692,1.338415749,0.4250266632,0.163796326,0.2445737483,-1.019786765,4.189473319,4.749395213,-0.5599218944,0.6046488624,0.1303656975,0.4742831649,0.6655723931,0.7963585913,-0.1307861982,0.5558874591,0.6651203662,-0.1092329071,2.508813611,-1.186655393,-7.785842867,38.9387366,-12.61622253,10.52595577
train,20260602_225953,C0_neutral,v003,ok,0.2,1.3488083,2.51944919,2.376600323,1.440167177,5.403946985,2.836988052,1.168728869,-0.1915481869,0.7120595604,-1.506921465,4.082537464,4.503336074,-0.4207986107,1.796101083,-0.4432302983,2.239331381,0.9362696194,1.283592388,-0.3473227682,0.6941458022,0.9516492356,-0.2575034334,23.43190799,11.91654134,-26.97597145,41.35111354,-42.28702233,15.92129805
train,20260602_225953,C0_neutral,v004,ok,0.2,1.4105831,2.471866082,2.339119032,1.571723775,5.535419409,1.527922958,1.336450824,0.02707212733,1.029638249,-0.5043185998,3.742871575,3.718525567,0.02434600813,0.8532278447,0.6617836931,0.1914441516,1.175297631,1.34561076,-0.1703131289,0.8331998527,0.9539393745,-0.1207395218,-1.345594094,19.3301216,-21.31486811,36.42497251,-28.76846849,37.85088066
train,20260602_231554,C0_neutral,v001,ok,0.2,1.1976952,2.477086972,2.253371466,1.413668942,5.765224708,1.359954162,1.068264587,-0.0226693798,0.8969044779,-0.7648949319,4.127915251,4.019886924,0.1080283266,0.2275146386,0.2422605429,-0.0147459043,0.6999671625,0.6479613566,0.05200580588,0.584428461,0.541006891,0.04342156993,20.62370713,19.45668075,-21.80679381,40.08389221,-0.3374037699,34.5733256
train,20260602_231554,C0_neutral,v002,ok,0.2,1.4012415,2.489591288,2.12752462,1.475431057,5.780200535,2.228346693,0.6330372206,0.5609146918,0.9394910178,-1.227322837,3.282966846,4.313279791,-1.030312946,-0.3349135161,0.9732902981,-1.308203814,1.099297827,1.078213293,0.0210845342,0.784517035,0.769469997,0.01504703807,42.68150748,33.48560207,-7.778893711,29.28888894,35.13254747,64.05669079
train,20260602_231554,C0_neutral,v003,ok,0.2,1.498456,2.691966786,2.218207456,1.426898305,6.495458742,0.8097699731,1.624655726,0.3384988616,1.14483936,-0.2822155896,3.92225868,4.008059543,-0.08580086287,0.4369153655,1.263461465,-0.8265460994,0.8996178535,1.243726253,-0.3441083994,0.6003632095,0.8300051872,-0.2296419777,22.30866354,19.52665731,-26.03879478,37.34729702,0.5953268888,43.321188
train,20260602_231554,C0_neutral,v004,ok,0.2,1.1389088,2.384653634,2.361173882,1.388575148,4.479313984,2.042785286,1.167688929,-0.04738985782,0.7456447524,-0.6160656133,3.466552285,3.634646278,-0.1680939928,0.9540337199,-0.04481862612,0.998852346,0.9928404846,1.290322225,-0.2974817405,0.871747136,1.132946049,-0.261198913,-2.196152183,9.410299443,-16.15052408,35.37896027,-21.39585697,23.13142569
train,20260602_231554,C0_neutral,v005,ok,0.2,1.3703135,2.400774662,2.419080207,1.452243549,4.438374482,3.639042603,0.9754268436,-0.02082636206,0.4235353923,-0.9704593591,3.970791588,4.570126155,-0.5993345671,1.350952025,-0.2073848212,1.558336846,1.064949117,1.462969782,-0.3980206647,0.7771572836,1.06761685,-0.2904595662,24.18012466,22.59441926,-21.29408355,36.26251159,-16.60423903,33.71745201
train,20260602_231554,C0_neutral,v006,ok,0.2,1.1983893,2.254810533,2.33275999,1.471200409,4.640701741,1.566235655,0.8138277899,0.2191061059,0.6680222423,-0.5484049134,3.39492182,3.736637518,-0.3417156985,0.7502677476,0.6851782472,0.06508950035,1.074738935,1.242292321,-0.1675533858,0.8968195352,1.036635024,-0.1398154888,-2.491734714,20.26825785,-13.66685487,29.80857863,-17.59434677,48.25545915
