case_id,primitive_id,start_state_family,W_layer,environment_mode,candidate_index,candidate_weight_label,duration_s,completed_full_duration,termination_cause,floor_violation,wall_violation,altitude_delta_m,speed_initial_m_s,speed_final_m_s,minimum_speed_m_s,minimum_floor_margin_m,minimum_wall_margin_m,minimum_ceiling_margin_m,yaw_delta_deg,roll_delta_deg,pitch_delta_deg,trajectory_integrated_updraft_gain_m,saturation_fraction,max_abs_command_norm,max_abs_surface_rad,selection_score,selected_for_plot
glide_launch_dry,glide,launch_gate,W0,dry_air,1,glide_robust_anchor_attitude_heavy_ref_pitch_up_001,0.4,True,completed_full_duration,False,False,0.05875465630266663,7.959735562905084,7.490760291593992,7.490760291593992,1.4349612764256596,0.23033813713198592,1.5966305531749667,-1.7614988628416457,3.139074561412621,-4.310307984992752,0.0,0.15,0.01716084420108884,0.02330076359937496,1.5726033036606624,True
lift_entry_single,lift_entry,inflight_lift_region,W1,w1_annular_gp_randomised_single,0,lift_entry_robust_anchor_nominal_ref_nominal_000,0.4,True,completed_full_duration,False,False,0.1369676886772786,5.159539417303657,4.887147062046955,4.851921938522448,2.009004564251231,0.6021534282578127,0.9298975464598693,7.971982439336297,20.3764240030837,-10.209812009532842,0.16098532083385791,0.35,0.04185409937180064,0.012555723648601875,1.5554331039482554,True
lift_dwell_four,lift_dwell_arc,inflight_lift_region,W1,w1_annular_gp_randomised_four,0,lift_dwell_arc_robust_anchor_nominal_ref_nominal_000,0.4,True,completed_full_duration,False,False,0.15979997219563025,6.361526242545695,5.8051838235976865,5.8051838235976865,1.92090953394362,0.1657088030616869,1.0335090127054425,2.335485042608544,7.725271596072523,1.8924378702171758,0.02265717383117677,0.3,0.026511177740146285,0.014771161995720247,1.4736326297967581,True
mild_left_nominal,mild_turn_left,inflight_nominal,W0,dry_air,1,mild_turn_left_robust_anchor_attitude_heavy_ref_pitch_up_001,0.26,False,wall_boundary_exit_retained,False,True,-0.31335115555565296,6.179344833188972,6.444526761380738,6.179344833188972,0.8038846813922936,-0.06948268368928456,2.002085548486938,2.795567390371794,2.191646226066642,2.336971897945144,0.0,0.6153846153846154,0.026511177740146285,0.013094164465233229,-3.9753852145229036,True
mild_right_nominal,mild_turn_right,inflight_nominal,W0,dry_air,1,mild_turn_right_robust_anchor_attitude_heavy_ref_pitch_up_001,0.4,True,completed_full_duration,False,False,0.280724729046268,6.577675721002456,5.805840531508651,5.805840531508651,2.3655324386192516,0.7034827228811127,0.4744472031296181,9.565180731366945,2.8077648234665644,0.2005884266440564,0.0,0.6,0.026511177740146285,0.01944138990378988,1.443334708482841,True
energy_bank_four,energy_retaining_bank,inflight_nominal,W1,w1_annular_gp_randomised_four,0,energy_retaining_bank_robust_anchor_nominal_ref_nominal_000,0.34,False,wall_boundary_exit_retained,False,True,0.27619701969379973,5.956250627485076,5.463039882250771,5.463039882250771,1.816546129310042,-0.06115048889093888,1.0053718538901935,-13.57761982992892,-24.93421808437688,17.85491881919172,0.3908489915549706,0.29411764705882354,1.0,0.47239071320825315,-3.1631604564368208,True
recovery_edge_dry,recovery,inflight_recovery_edge,W0,dry_air,3,recovery_robust_anchor_rate_damped_ref_damped_level_003,0.4,True,completed_full_duration,False,False,-0.3520629083273521,3.410632946381861,3.689543483699045,3.404258747645364,2.038582594245124,0.6730831175861465,0.7088625188822895,-1.6279234310519242,-3.9344765076722603,5.754069848515225,0.0,0.2,1.0,0.4715621152060481,1.501099771944903,True
safe_exit_boundary_single,safe_exit_or_recovery_handoff,inflight_boundary_near,W1,w1_annular_gp_randomised_single,1,safe_exit_or_recovery_handoff_robust_anchor_attitude_heavy_ref_pitch_up_001,0.4,True,completed_full_duration,False,False,0.1184947398594618,5.217231708435477,4.669428860745666,4.669428860745666,2.168175905346537,0.18914407246879025,0.825377288655794,-0.6992279157455434,5.126883155769413,5.880828268358993,0.01633872252355024,0.45,0.04185409937180064,0.02886389001524653,1.3441411176844218,True
