cutoff_hz,static_filter_design_source,static_filter_design_sample_count,dynamic_validation_source,dynamic_validation_sample_count,estimated_delay_ms,static_position_rms_mm,static_euler_rms_deg,dynamic_position_high_freq_rms_mm,dynamic_euler_high_freq_rms_deg,dynamic_velocity_p95_mps,dynamic_angular_rate_p95_degps,static_position_noise_reduction_fraction,static_euler_noise_reduction_fraction,dynamic_position_residual_reduction_fraction,dynamic_euler_residual_reduction_fraction,dynamic_velocity_spike_reduction_fraction,dynamic_angular_rate_spike_reduction_fraction,selection_score,recommended
5,static_reference,3737,dynamic_phases,3711,31.8309886183791,0.017672157732378,0.0068525795335613,22.5499944340046,7.35806351178719,2.24076175549311,232.94880250497,0.536856082119278,0.529095551109556,0.0566017562492716,0.241068497917781,0.0205335238599501,0.0465517069745032,1.30398342364179,0
8,static_reference,3737,dynamic_phases,3711,19.8943678864869,0.0207514400659119,0.00797930687191198,23.0897709259157,8.01655782107382,2.24635096012435,235.965223338851,0.456155643281473,0.451667640391082,0.0340197464852728,0.173149530589092,0.0180904089008656,0.0342056409540571,1.12047623463033,0
10,static_reference,3737,dynamic_phases,3711,15.9154943091895,0.022306292026255,0.008551139272588,23.2574765307712,8.2643326980395,2.25375493569352,233.973044203023,0.415406786263381,0.412371719755763,0.0270036395167799,0.147593328301281,0.0148540336626788,0.0423595347540298,1.06606368476652,0
12,static_reference,3737,dynamic_phases,3711,13.2629119243246,0.023593288687158,0.00902641950658593,23.3656338507831,8.44025313049199,2.26161799014204,233.624118992439,0.381677759799456,0.379710796148357,0.022478785816857,0.129448396848291,0.0114169889998496,0.0437876689313573,1.03399008815909,0
15,static_reference,3737,dynamic_phases,3711,10.6103295394597,0.0251612601459239,0.00960811632569768,23.4711755191262,8.62755562433401,2.27289961308648,233.390469777286,0.340585072899799,0.339736999611802,0.0180633601346546,0.110129487359734,0.00648564302188193,0.0447439839798098,1.00625140355996,0
20,static_reference,3737,dynamic_phases,3711,7.95774715459477,0.0271220038410069,0.0103399060595814,23.5748478745202,8.83087304825988,2.26088424904924,232.680539239082,0.28919878885612,0.289448923471938,0.013726138753495,0.0891587526423232,0.0117377168955284,0.0476496956749901,0.983119538232767,1
