outcome_class,continuation_status,episode_terminal_status,boundary_use_class,row_count
accepted,continuation_success,not_terminal,continuation_valid,259
boundary_terminal,not_continuation_valid,boundary_terminal,episode_terminal_useful_or_trainable,186
failed,continuation_failed,not_terminal,hard_failure_or_rejected,261
rejected,continuation_failed,not_terminal,hard_failure_or_rejected,205
weak,continuation_weak,not_terminal,continuation_valid,89
