coverage_axis,coverage_value,row_count,coverage_note
source_outcome_class,accepted,200,observed
source_outcome_class,weak,200,observed
source_outcome_class,boundary_terminal,200,observed
source_outcome_class,failed,200,observed
source_outcome_class,rejected,200,observed
source_boundary_use_class,continuation_valid,400,observed
source_boundary_use_class,hard_failure_or_rejected,400,observed
source_boundary_use_class,episode_terminal_useful_or_trainable,200,observed
environment_instance_environment_mode,w3_randomised,1000,observed
implementation_instance_latency_case,conservative,522,observed
implementation_instance_latency_case,nominal,478,observed
plant_instance_plant_adjustment_status,randomised_partly_applied,1000,observed
outcome_class,failed,261,observed
outcome_class,accepted,259,observed
outcome_class,rejected,205,observed
outcome_class,boundary_terminal,186,observed
outcome_class,weak,89,observed
boundary_use_class,hard_failure_or_rejected,466,observed
boundary_use_class,continuation_valid,348,observed
boundary_use_class,episode_terminal_useful_or_trainable,186,observed
