library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,no_memory_baseline,final_heldout,,1
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,,1
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,,1
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,,1
heavy_cluster,no_memory_baseline,final_heldout,,1
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,,1
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,,1
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,,1
light_cluster,no_memory_baseline,final_heldout,,4
light_cluster,spatial_flow_belief_memory_h10,final_heldout,,4
light_cluster,spatial_flow_belief_memory_h3,final_heldout,,4
light_cluster,spatial_flow_belief_memory_h30,final_heldout,,4
no_cluster_no_merge,no_memory_baseline,final_heldout,,15
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,,15
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,,15
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,,15
super_light_cluster,no_memory_baseline,final_heldout,,8
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,,8
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,,8
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,,8
