launch_role,termination_cause,row_count
final_heldout,wall_boundary_exit_retained,20
history,floor_margin_stop,29
history,no_viable_continuation_primitive,4
history,wall_boundary_exit_retained,179
history,wall_boundary_exit_uncontrolled,3
