coverage_axis,coverage_value,row_count,coverage_note
source_outcome_class,accepted,3000,observed
source_outcome_class,weak,3000,observed
source_outcome_class,boundary_terminal,3000,observed
source_outcome_class,failed,3000,observed
source_outcome_class,rejected,3000,observed
source_start_state_family,launch_gate,7500,observed
source_start_state_family,inflight_nominal,2578,observed
source_start_state_family,inflight_recovery_edge,2368,observed
source_start_state_family,inflight_lift_region,1943,observed
source_start_state_family,inflight_boundary_near,611,observed
source_state_envelope_label,approved_launch_gate,7500,observed
source_state_envelope_label,inflight_clean_exit_envelope,2578,observed
source_state_envelope_label,inflight_recovery_edge_envelope,2368,observed
source_state_envelope_label,inflight_lift_region_envelope,1943,observed
source_state_envelope_label,y_min_terminal_risk_envelope,403,observed
source_state_envelope_label,x_max_terminal_risk_envelope,208,observed
primitive_id,lift_dwell_arc,2333,observed
primitive_id,lift_entry,2136,observed
primitive_id,safe_exit_or_recovery_handoff,2119,observed
primitive_id,energy_retaining_bank,2065,observed
primitive_id,recovery,1776,observed
primitive_id,mild_turn_right,1595,observed
primitive_id,mild_turn_left,1517,observed
primitive_id,glide,1459,observed
outcome_class,failed,5448,observed
outcome_class,rejected,3457,observed
outcome_class,accepted,2573,observed
outcome_class,boundary_terminal,2529,observed
outcome_class,weak,993,observed
boundary_use_class,hard_failure_or_rejected,8905,observed
boundary_use_class,continuation_valid,3566,observed
boundary_use_class,episode_terminal_useful_or_trainable,2529,observed
latency_case,nominal,15000,observed
