chunk_index,status,row_count,partition_path,checksum_sha256
0,resumed,1000,w2_replay_rows/c00000.csv.gz,b54f1079bbb9fd24096b7d1979c8f7d76fe5816d859600a7694cdf12b398a2f0
1,resumed,1000,w2_replay_rows/c00001.csv.gz,b28227b46fc8c4c01ff7b3ad6322b9a414db30afe52204d02dceedd2328b3571
2,resumed,1000,w2_replay_rows/c00002.csv.gz,3110ad9ac0f24dc92d9f7edb57b9e7a4c7c5e75f5e762237d1c5f1e1bd1faab8
3,resumed,1000,w2_replay_rows/c00003.csv.gz,b633100b31a1af719f1200a9d0e6687c970cc91900cffcc5c1ac059070803ea9
4,resumed,1000,w2_replay_rows/c00004.csv.gz,074242cdf90fb32bc1ec31a98918ea652d33d4cc22045f387a203f18f7fdb571
5,resumed,1000,w2_replay_rows/c00005.csv.gz,cd63ca46fcc062f8a52aa6c663ec0d86ed21401a8f3d89b67667618b03250a24
6,complete,1000,w2_replay_rows/c00006.csv.gz,a09dc082f355b3110f72799d86ed16fef94cabedbecf01e862dc14b424b9f757
7,complete,1000,w2_replay_rows/c00007.csv.gz,8d459e508703a90221cbb058b2742282be05249d3f312fa63073fa160f54ccd6
8,complete,1000,w2_replay_rows/c00008.csv.gz,2a12cab17a329229f1281d14197bb99ab038377074602e239c4438d93b79148d
9,complete,1000,w2_replay_rows/c00009.csv.gz,1531411eba09da38a5ac73ef99873e05499e1a6292c65d208cddc64b3e4eda86
10,complete,1000,w2_replay_rows/c00010.csv.gz,de70f0c11c7758bd64d0e6d386e6fe29f2b770f5aa262fbf3abd00c7b1c2bf3d
11,complete,1000,w2_replay_rows/c00011.csv.gz,9ed19cd64b725ba8cd39d6040511df7b525ece7a2564d5b802a96fd0c57c1b77
12,complete,1000,w2_replay_rows/c00012.csv.gz,38014ddcd21293ffe8ff3ba1eabb08acd54232758fb0862043b6ee0e7873b04d
13,complete,1000,w2_replay_rows/c00013.csv.gz,b3877b052cf92205848ccafa65b119bfad774f1affe9b5871c209abc83fa4924
14,complete,1000,w2_replay_rows/c00014.csv.gz,2698f5680e9348f9559e1540a59f091e19c43811b6ee46cfad366c508db59533
