library_size_case_id,primitive_id,entry_role,primitive_variant_id,selection_algorithm,medoid_selection_reason,selection_rank_order,coverage_marginal_gain,coverage_worst_case,coverage_breadth,medoid_quality_score,medoid_design_centrality,medoid_distance_to_group_center,medoid_redundancy_penalty,robustness_environment_modes_seen,robustness_start_families_seen,robustness_active_fan_counts_seen
heavy_cluster,energy_retaining_bank,inflight_only,primvar_energy_retaining_bank_inflight_only_54f97a747281,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.7272727272727273,0.0,0.7272727272727273,0.3985094585962292,0.30327640414413104,0.9030374208943376,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4
heavy_cluster,glide,inflight_only,primvar_glide_inflight_only_d259714ea187,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.7272727272727273,0.0,0.7272727272727273,0.3741430740566402,0.2769074589700292,1.2277242602386322,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4
heavy_cluster,launch_capture_energy_build,launch_capable,primvar_launch_capture_energy_build_launch_capable_34bf4451b3ad,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.6363636363636364,0.0,0.6363636363636364,0.3481706560272971,0.26579746936372567,1.0562031093763096,0.0,w3_randomised_four;w3_randomised_single,launch_gate,1;2;3;4
heavy_cluster,launch_capture_glide_stabilise,launch_capable,primvar_launch_capture_glide_stabilise_launch_capable_cfef938f9b08,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.6363636363636364,0.0,0.6363636363636364,0.3671439539402619,0.26234863031158717,1.180585846323662,0.0,w3_randomised_four;w3_randomised_single,launch_gate,1;2;3;4
heavy_cluster,launch_capture_lift_seek,launch_capable,primvar_launch_capture_lift_seek_launch_capable_9f627f4eb7ec,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.6363636363636364,0.0,0.6363636363636364,0.34652928833744784,0.24938379246523298,1.502575423590587,0.0,w3_randomised_four;w3_randomised_single,launch_gate,1;2;3;4
heavy_cluster,launch_capture_safe_handoff,launch_capable,primvar_launch_capture_safe_handoff_launch_capable_f0c0ad9c8947,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.6363636363636364,0.0,0.6363636363636364,0.3440425411743119,0.2586072299249983,0.9616391513120102,0.0,w3_randomised_four;w3_randomised_single,launch_gate,1;2;3;4
heavy_cluster,launch_capture_shallow_left,launch_capable,primvar_launch_capture_shallow_left_launch_capable_eb50e999df89,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.6363636363636364,0.0,0.6363636363636364,0.3516988476782822,0.27607938587358327,1.0895619632383804,0.0,w3_randomised_four;w3_randomised_single,launch_gate,1;2;3;4
heavy_cluster,launch_capture_shallow_right,launch_capable,primvar_launch_capture_shallow_right_launch_capable_53138692e73b,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.6363636363636364,0.0,0.6363636363636364,0.36386223201125345,0.27498595647635465,1.1617759644642676,0.0,w3_randomised_four;w3_randomised_single,launch_gate,1;2;3;4
heavy_cluster,lift_dwell_arc,inflight_only,primvar_lift_dwell_arc_inflight_only_a55d3f0fb93e,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.7272727272727273,0.0,0.7272727272727273,0.38358841404212746,0.27484517938236186,1.0640492150316665,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4
heavy_cluster,lift_entry,inflight_only,primvar_lift_entry_inflight_only_310b57e5cae9,coverage_aware_behavior_qr_medoid_greedy_marginal,best_worst_case_coverage_medoid,0,0.7272727272727273,0.0,0.7272727272727273,0.3835547327888604,0.28052340444370977,1.057873826306255,0.0,w3_randomised_four;w3_randomised_single,inflight_lift_region;inflight_nominal,1;2;3;4
