scenario,primitive,phase,t_s,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,ideal_delta_a_cmd_rad,wrapped_delta_a_cmd_rad,ideal_delta_e_cmd_rad,wrapped_delta_e_cmd_rad,ideal_delta_r_cmd_rad,wrapped_delta_r_cmd_rad,speed_m_s,alpha_rad,beta_rad,gamma_rad,sink_rate_m_s,wind_cg_x_m_s,wind_cg_y_m_s,wind_cg_z_m_s
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.0,0.0,0.0,8.0,0.3141592653589793,0.021730374666354406,0.0,6.4907694777777385,0.0,0.3462825238860654,-0.05235987755982989,0.017453292519943295,0.03490658503988659,0.0,-0.10060848524273196,0.0,-0.3371976114853045,0.0,-0.15785528470814597,-0.15707963267948966,-0.0027925268031909274,0.0,6.5008787534078145,0.06343236328686737,0.002951840872241965,-0.03951017884954348,0.18822074426799867,0.0015038488519448236,0.0020846274345365304,0.06856331681464631
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.02,0.12980757492504083,-0.0014326764237886282,7.996453613302343,0.31342091116200294,0.023328543389632268,0.0012958998663168363,6.478390484592321,0.05507619876666681,0.3172397232512367,-0.0323395866501561,0.1338633803843959,0.03969896964800337,0.0,-0.11661445347197757,0.0,-0.3395886684141783,-0.33597588100890846,-0.16899114243999575,-0.17016960206944712,-0.006147818707633862,-0.004363323129985824,6.487429263377899,0.06261814943452669,0.01254435600072827,-0.04010619742505898,0.16756156643394818,0.0020237678400529184,0.0023272464787857704,0.09255480612510653
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.04,0.2593534906437587,-0.0015167806069012284,7.993341775140733,0.31066293300980785,0.025857959990510583,0.0029058013929452015,6.464135296229244,0.10218217543469703,0.2929923134121442,-0.35357688461684456,0.1396220833144808,0.03018011260346551,-0.09522773170571429,-0.13179392203021098,-0.0012367237883858999,-0.28515692477209353,-0.34033920413889424,-0.17206770838444868,-0.17016960206944712,-0.00794091950256378,-0.004363323129985824,6.472703114572022,0.06300252935110962,0.02109683495538606,-0.04057316340104652,0.1429687349440463,0.0026141519511819707,0.0022755526868811476,0.11957725926964093
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.06,0.38857943684011365,-0.0004067701976843642,7.990759289563669,0.2981707665381078,0.028080122222041357,0.004096047911076631,6.446437018959972,0.14148595866911695,0.2667246245595948,-0.9177515358629416,0.10057597844430845,0.017316719759304836,-0.16470119945812284,-0.1426709794898916,-0.002122915268438142,-0.18114759745384795,-0.28361600344907856,-0.1714447479675435,-0.17016960206944712,-0.009059316772239786,-0.008726646259971648,6.454570646358239,0.06327247274917748,0.028360069806219405,-0.040721405604700125,0.11541031695491276,0.003229223015257864,0.0017957165724966349,0.1473562369314861
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.08,0.5174106133409465,0.0017862483649816352,7.988719214094874,0.27464427676752196,0.029418836849148394,0.004860645000043596,6.426024572419856,0.17546023012240985,0.23956553320570964,-1.4124880642457271,0.04772747418444304,0.021081297056737416,-0.1984059612888927,-0.1504650849638294,-0.0039946517788985135,-0.07611061416495782,-0.1832595714594046,-0.1691127123562504,-0.17016960206944712,-0.01123412152015487,-0.008726646259971648,6.43378012020585,0.06321974088023442,0.03444513488832015,-0.04075613352029872,0.08903338017368756,0.0038116231401699313,0.0008383663990460595,0.17311003461680924
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.1,0.6458111667760956,0.004970225087015386,7.987183510506365,0.2431412193588499,0.02966185777514803,0.0055830418277774884,6.405571410636758,0.20387206339266506,0.21214146509316498,-1.694489356364467,-0.0053853381211254395,0.045947899675331194,-0.19411292589997917,-0.15605005869078176,-0.005335870379243831,0.0036629557235798305,-0.07417649320975901,-0.16588037759188473,-0.16580627893946132,-0.014805531153076918,-0.008726646259971648,6.412941031726318,0.06248070885217237,0.03915930719269,-0.04038556781234235,0.06489892933243036,0.004301293205969131,-0.0005223370327122123,0.19402093939013934
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.12,0.7737993973659409,0.009058629570862136,7.986103467781855,0.208616277818124,0.02866512586906432,0.006718637895021848,6.387397032814672,0.22577868660719297,0.1841861292280109,-1.7084211460926582,-0.0696762613352308,0.09005584915531407,-0.16011859749858445,-0.15881532482093733,-0.0062969390573719315,0.04386947777488892,0.004363323129985824,-0.16067114050868195,-0.16144295580947549,-0.01956581960242789,-0.013089969389957472,6.394270179176222,0.060576237496167924,0.04236855943231369,-0.03934491557046229,0.043789188152461085,0.004645217041438279,-0.0020945960129630493,0.2077279281061044
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.14,0.9014230468107742,0.01396310536078676,7.985400704273838,0.17629477140020472,0.02597911423936951,0.008589199042889871,6.372028926097702,0.24001349485232915,0.15358247024143643,-1.488379763745221,-0.16514242596284012,0.14602888094438066,-0.11349846464552774,-0.15956009060009604,-0.008222329856371228,0.04421651365901014,0.04363323129985824,-0.15151074391022076,-0.15271630954950383,-0.02485561435178056,-0.017453292519943295,6.378219378129035,0.056869463591570045,0.044053781604368604,-0.037705750270904156,0.027709996393633737,0.004806010604641014,-0.0036213028824478516,0.21272856833598586
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.16,1.0287242173390716,0.01958407788764447,7.984938341947919,0.14986547588926047,0.020916986537357206,0.01129868475376081,6.3586105826855,0.2457113277737577,0.11823406852922888,-1.1433056670635418,-0.29607637902042794,0.20227448158759287,-0.06896165164866164,-0.15762031520972758,-0.010838718965233475,0.018076883251980147,0.04363323129985824,-0.13754401793247537,-0.13962634015954636,-0.0296977031332733,-0.026179938779914945,6.36401551633139,0.050925811940918476,0.044277668390684394,-0.03602009188972526,0.02056788910320265,0.004767805807334503,-0.004856096883748361,0.20861496831079124
recovery_perturbed_strong_updraft_proxy,recovery,phi_ref_deg=0.0,0.18,1.1557280840399071,0.02580753437196969,7.984479598661774,0.1305869738546661,0.01296745607451254,0.014757759367651897,6.3462475725362975,0.24304026945917778,0.07965001790975301,-0.7950779647080293,-0.443270083390225,0.24831493259415777,-0.03704818431088671,-0.15252017104684185,-0.015186976227522308,-0.016433196886848023,0.017453292519943295,-0.11993111443184071,-0.11780972450961724,-0.033261434635257325,-0.030543261909900768,6.35105991132354,0.04308063920538787,0.04318961733607795,-0.03534335893918883,0.028317933542338566,0.004538453755188052,-0.005630327008813256,0.19610312703021815
