t_s,phase,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad
0.0,entry,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.19166666666666665,pitch_brake,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.09162978572970229,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.3833333333333333,pitch_brake,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.18325957145940458,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.575,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.2748893571891069,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.7666666666666666,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.36651914291880916,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.9583333333333333,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.4581489286485115,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
1.15,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.5497787143782138,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
1.3416666666666666,heading_capture,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.6414085001079161,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
1.5333333333333332,heading_capture,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.7330382858376183,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
1.7249999999999999,unload,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.8246680715673207,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
1.9166666666666665,recovery,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.916297857297023,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
2.1083333333333334,recovery,1.45,2.4,2.7,0.0,-0.048082795413418776,-1.0079276430267254,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
2.3,exit_check,1.45,2.4,2.7,0.0,-0.048082795413418776,-1.0995574287564276,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
