t_s,phase,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r,delta_a_cmd_rad,delta_e_cmd_rad,delta_r_cmd_rad
0.0,entry,1.45,2.4,2.7,0.0,-0.048082795413418776,0.0,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.07708333333333334,pitch_brake,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.015271630954950379,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.15416666666666667,pitch_brake,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.030543261909900758,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.23125,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.045814892864851145,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.30833333333333335,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.061086523819801515,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.3854166666666667,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.07635815477475191,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.4625,yaw_roll_redirect,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.09162978572970229,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.5395833333333333,heading_capture,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.10690141668465265,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.6166666666666667,heading_capture,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.12217304763960303,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.6937500000000001,unload,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.13744467859455345,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.7708333333333334,recovery,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.15271630954950383,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.8479166666666667,recovery,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.1679879405044542,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
0.925,exit_check,1.45,2.4,2.7,0.0,-0.048082795413418776,-0.18325957145940458,6.4907694777777385,0.0,0.3462825238860654,0.0,0.0,0.0,0.0,-0.10060848524273196,0.0,0.0,-0.10060848524273196,0.0
