gate_id,passed,observed,required
final_heldout_launch_count,False,20,200
history_launch_count,False,215,2150
library_size_case_count,True,5,5
policy_history_condition_count,True,4,4
pairing_audit,True,1,1
primitive_count_cap_disabled_for_full_validation,True,0,0_or_negative_disabled
max_episode_time_budget_positive,True,20.0,>=0.1
no_glider_latency_variation_audit,True,1,1
reduced_diagnostic_not_target_R10,False,reduced_diagnostic_not_target_R10,full_R10_validation_required
launch_inflight_recovery_sequence_policy,True,235,235
claim_bearing_final_launch_count_positive,True,20,>0_after_expected_low_energy_dry_air_sink_exclusion
expected_low_energy_dry_air_sink_labeled,True,0,diagnostic_not_claim_bearing_governor_failure
hard_failure_rate_within_stage_profile,True,0.0,0.01
floor_or_ceiling_violation_rate_within_stage_profile,True,0.0,0.0
no_viable_primitive_rate_within_stage_profile,True,0.0,0.02
safe_success_rate_within_stage_profile,True,1.0,0.99
terminal_or_lift_capture_within_stage_profile,True,1.0,0.9
front_wall_mission_success_rate_diagnostic,True,1.0,diagnostic_only_score_target_not_current_pass_gate
wrong_wall_exit_rate_diagnostic,True,0.0,diagnostic_only_penalised_by_launch_score
selected_primitive_family_count_diagnostic,True,7,diagnostic_only_not_a_governor_pass_gate
selected_variant_count_diagnostic,True,14,diagnostic_only_not_a_governor_pass_gate
lift_dwell_arc_selected_diagnostic,True,True,diagnostic_only_expected_when_viable_lift_dwell_evidence_wins
r10_learning_stage_uses_final_reject_rate_not_candidate_reject_rate,True,0.0,bounded_final_no_viable_rate_plus_tuning_handoff_diagnostics
r10_memory_improvement_is_tuning_signal_not_final_claim_gate,True,governor_config_selection.csv_and_memory_opportunity_summary.csv,R11_or_reality_required_for_memory_improvement_claim
