coverage_axis,value,row_count
outcome_class,accepted,76362
outcome_class,weak,222358
failure_label,controlled_xy_boundary_terminal,45917
failure_label,model_boundary_only,176422
failure_label,success,76362
failure_label,xy_boundary_terminal,19
boundary_use_class,continuation_valid,252784
boundary_use_class,episode_terminal_useful,45936
environment_mode,dry_air,37340
environment_mode,w3_randomised_four,186700
environment_mode,w3_randomised_single,74680
start_state_family,inflight_boundary_near,83520
start_state_family,inflight_lift_region,42240
start_state_family,inflight_nominal,42240
start_state_family,inflight_recovery_edge,46240
start_state_family,launch_gate,84480
timing_state_source,history_backed_fifo,298720
source_evidence_label,,298720
r7_evidence_block_id,r7_anchor_dry_air,37340
r7_evidence_block_id,r7_anchor_four_fan_fixed,37340
r7_evidence_block_id,r7_anchor_single_fan_fixed,37340
r7_evidence_block_id,r7_random_active_fan_count,37340
r7_evidence_block_id,r7_random_arena_wide,37340
r7_evidence_block_id,r7_random_four_fan_parameter,37340
r7_evidence_block_id,r7_random_local_fan_position,37340
r7_evidence_block_id,r7_random_single_fan_local,37340
r7_uncertainty_tier,active_fan_count_uncertainty,37340
r7_uncertainty_tier,anchor_dry_air,37340
r7_uncertainty_tier,anchor_fixed_four_fan,37340
r7_uncertainty_tier,anchor_fixed_single_fan,37340
r7_uncertainty_tier,arena_wide_full_randomisation,37340
r7_uncertainty_tier,four_fan_parameter_uncertainty,37340
r7_uncertainty_tier,local_fan_position_uncertainty,37340
r7_uncertainty_tier,single_fan_local_uncertainty,37340
r7_evidence_stage_role,heldout_control_anchor,112020
r7_evidence_stage_role,heldout_uncertainty_validation,186700
r7_active_fan_count_policy,balanced_0_1_2_3_4_for_active_fan_number_variation,37340
r7_active_fan_count_policy,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,37340
r7_active_fan_count_policy,fixed_four_active_fans,112020
r7_active_fan_count_policy,fixed_one_active_fan,74680
r7_active_fan_count_policy,fixed_zero_active_fans,37340
r7_fan_position_policy,common_shift,74680
r7_fan_position_policy,fixed_base_positions,149360
r7_fan_position_policy,independent_uniform_xy_bounds,37340
r7_fan_position_policy,no_fan_positions,37340
scheduled_active_fan_count,0,52276
scheduled_active_fan_count,1,89616
scheduled_active_fan_count,2,14936
scheduled_active_fan_count,3,14936
scheduled_active_fan_count,4,126956
transition_entry_class,boundary_near,83520
transition_entry_class,inflight_stable,84480
transition_entry_class,launch_gate,84480
transition_entry_class,recoverable_degraded,46240
transition_exit_class,boundary_near,79899
transition_exit_class,inflight_stable,122471
transition_exit_class,post_launch_degraded,2897
transition_exit_class,recoverable_degraded,47517
transition_exit_class,safe_terminal,45936
transition_pair,boundary_near->boundary_near,25056
transition_pair,boundary_near->inflight_stable,8049
transition_pair,boundary_near->recoverable_degraded,4479
transition_pair,boundary_near->safe_terminal,45936
transition_pair,inflight_stable->boundary_near,46462
transition_pair,inflight_stable->inflight_stable,18639
transition_pair,inflight_stable->recoverable_degraded,19379
transition_pair,launch_gate->inflight_stable,81583
transition_pair,launch_gate->post_launch_degraded,2897
transition_pair,recoverable_degraded->boundary_near,8381
transition_pair,recoverable_degraded->inflight_stable,14200
transition_pair,recoverable_degraded->recoverable_degraded,23659
transition_chain_compatible,False,80311
transition_chain_compatible,True,218409
transition_failure_reason,,218409
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,25056
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,8381
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,4479
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,19379
transition_failure_reason,recoverable_degraded_self_transition_boundary_time_margin_collapsed,857
transition_failure_reason,recoverable_degraded_self_transition_floor_margin_collapsed,63
transition_failure_reason,recoverable_degraded_self_transition_without_attitude_rate_progress,22096
turn_intent_label,left,37280
turn_intent_label,neutral,224160
turn_intent_label,right,37280
turn_intent_status,measurable_turn_intent,60616
turn_intent_status,not_turn_primitive,224160
turn_intent_status,weak_or_wrong_turn_intent,13944
turn_intent_correct_sign,False,238104
turn_intent_correct_sign,True,60616
