primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_117e02f1ee97,energy_retaining_bank,dry_air,20,9,9,0,0,0.4460301390978685,-0.0032826202828691183,0.0
primvar_energy_retaining_bank_transition_object_117e02f1ee97,energy_retaining_bank,w3_randomised_four,100,31,31,0,0,0.4460278929712088,0.01057737155534635,0.07840000000000001
primvar_energy_retaining_bank_transition_object_117e02f1ee97,energy_retaining_bank,w3_randomised_single,40,14,14,0,0,0.446057529690414,0.00131080433598083,0.0415
primvar_energy_retaining_bank_transition_object_122ce61fea7c,energy_retaining_bank,dry_air,40,39,39,0,0,0.0042965023720533,-0.02025204886807889,0.0
primvar_energy_retaining_bank_transition_object_122ce61fea7c,energy_retaining_bank,w3_randomised_four,200,173,173,0,0,0.0042965023720533,-0.0056095316489791595,0.0449
primvar_energy_retaining_bank_transition_object_122ce61fea7c,energy_retaining_bank,w3_randomised_single,80,66,66,0,0,0.0042965023720533,-0.00972184299309967,0.03425
primvar_energy_retaining_bank_transition_object_13f78cbed0c3,energy_retaining_bank,dry_air,60,53,53,11,0,-0.0720768777430755,-0.025111986364456617,0.0
primvar_energy_retaining_bank_transition_object_13f78cbed0c3,energy_retaining_bank,w3_randomised_four,300,238,238,55,0,-0.0724570594967293,-0.013897051753925471,0.043133333333333336
primvar_energy_retaining_bank_transition_object_13f78cbed0c3,energy_retaining_bank,w3_randomised_single,120,94,94,22,0,-0.0721342202905521,-0.01772325833141308,0.024833333333333332
primvar_energy_retaining_bank_transition_object_14054a44834b,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01707207016214598,0.0
primvar_energy_retaining_bank_transition_object_14054a44834b,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014791719062705528,0.0102
primvar_energy_retaining_bank_transition_object_14054a44834b,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.017009283531421157,0.0
primvar_energy_retaining_bank_transition_object_15b07ecbe472,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0720122457904368,-0.0349669439427167,0.0
primvar_energy_retaining_bank_transition_object_15b07ecbe472,energy_retaining_bank,w3_randomised_four,100,62,62,55,0,-0.0723018195558653,-0.029506323922174952,0.0438
primvar_energy_retaining_bank_transition_object_15b07ecbe472,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0719998778946475,-0.03477164685136651,0.005
