figure_type,environment_block_id,figure_path,history_episode_count,history_policy_id,final_policy_id,updraft_context_status,updraft_max_m_s,final_policy_count,updraft_grid_nx,updraft_grid_ny,updraft_grid_nz,updraft_iso_surface_count,updraft_iso_surface_method,updraft_style_reference
history_paths,no_updraft,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_no_updraft_history_paths_3d.png,10.0,directional_3d_residual_memory_h10,directional_3d_residual_memory_h10,dry_air_no_updraft,0.0,,,,,,,
history_paths,no_updraft,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_no_updraft_history_h30_paths_3d.png,30.0,directional_3d_residual_memory_h30,directional_3d_residual_memory_h30,dry_air_no_updraft,0.0,,,,,,,
final_paired_paths,no_updraft,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_no_updraft_final_paired_paths_3d.png,,,,dry_air_no_updraft,0.0,4.0,,,,,,
history_paths,single_fan,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_single_fan_history_paths_3d.png,10.0,directional_3d_residual_memory_h10,directional_3d_residual_memory_h10,low_resolution_3d_slices_and_isosurfaces,5.151357802910417,,56.0,36.0,30.0,4.0,marching_cubes,01_Thermal/four_fan_gp_3D.py
history_paths,single_fan,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_single_fan_history_h30_paths_3d.png,30.0,directional_3d_residual_memory_h30,directional_3d_residual_memory_h30,low_resolution_3d_slices_and_isosurfaces,5.151357802910417,,56.0,36.0,30.0,4.0,marching_cubes,01_Thermal/four_fan_gp_3D.py
final_paired_paths,single_fan,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_single_fan_final_paired_paths_3d.png,,,,low_resolution_3d_slices_and_isosurfaces,5.151357802910417,4.0,56.0,36.0,30.0,4.0,marching_cubes,01_Thermal/four_fan_gp_3D.py
history_paths,four_fan,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_four_fan_history_paths_3d.png,10.0,directional_3d_residual_memory_h10,directional_3d_residual_memory_h10,low_resolution_3d_slices_and_isosurfaces,6.160672280493907,,56.0,36.0,30.0,4.0,marching_cubes,01_Thermal/four_fan_gp_3D.py
history_paths,four_fan,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_four_fan_history_h30_paths_3d.png,30.0,directional_3d_residual_memory_h30,directional_3d_residual_memory_h30,low_resolution_3d_slices_and_isosurfaces,6.160672280493907,,56.0,36.0,30.0,4.0,marching_cubes,01_Thermal/four_fan_gp_3D.py
final_paired_paths,four_fan,03_Control/A_figures/01_r9_a07_preflight_paths/figures/r9_a07_four_fan_final_paired_paths_3d.png,,,,low_resolution_3d_slices_and_isosurfaces,6.160672280493907,4.0,56.0,36.0,30.0,4.0,marching_cubes,01_Thermal/four_fan_gp_3D.py
