summary_axis,value,row_count
failure_label,model_boundary_only,5606
failure_label,speed_low,633
failure_label,success,4521
failure_label,terminal_recovery_limited,5880
failure_label,xy_boundary_terminal,1280
outcome_class,accepted,4521
outcome_class,failed,6641
outcome_class,weak,6758
