stage_id,status,stage_run_root,blocked_reason,duration_s,docs_alignment_status
R5,passed,03_Control/05_Results/lqr_contextual_v1_0/w01_dense/036,,1528.498,aligned
R7,passed,03_Control/05_Results/lqr_contextual_v1_0/w3_survival/018,,257.92,aligned
