"stage_id","status","stage_run_root","blocked_reason","duration_s","docs_alignment_status"
"R5","passed","03_Control/05_Results/R5_dense/E03","","1920.837","aligned"
"R7","passed","03_Control/05_Results/R7_survival/E03","","3848.758","aligned"
"R8","passed","03_Control/05_Results/R8_library_size_study/E03","","1026.16","aligned"
