primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_inflight_only_95a7eb02bb8d,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.292881082225942,-0.00427951403471055,0.043000000000000003
primvar_energy_retaining_bank_inflight_only_9ea2ec285e42,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2958056684314121,0.0009710244759190415,0.084
primvar_energy_retaining_bank_inflight_only_9ea2ec285e42,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2936260648911162,-0.006820706511548011,0.044
primvar_energy_retaining_bank_inflight_only_a65ec3ccdd7e,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2937228107667469,-0.009543328917402186,0.047
primvar_energy_retaining_bank_inflight_only_a65ec3ccdd7e,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2936728809301172,-0.00390603498890491,0.048
primvar_energy_retaining_bank_inflight_only_a9d369164679,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.296024736661332,-0.00020728542129085995,0.075
primvar_energy_retaining_bank_inflight_only_a9d369164679,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2936031544100039,-0.004422596963534661,0.046
primvar_energy_retaining_bank_inflight_only_b706b03a42ef,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2939051636200638,-0.00284225890300551,0.05600000000000001
primvar_energy_retaining_bank_inflight_only_b706b03a42ef,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2926207052070007,-0.0015835509262616197,0.047
primvar_energy_retaining_bank_inflight_only_b990004772e0,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2938837038433117,-0.004582167832933038,0.05500000000000001
primvar_energy_retaining_bank_inflight_only_b990004772e0,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2931332295441367,-0.00314667921504382,0.049
primvar_energy_retaining_bank_inflight_only_c34e50818f9d,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2938273530562716,-0.007286049471147577,0.066
primvar_energy_retaining_bank_inflight_only_c34e50818f9d,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2941333459299144,-0.00352204545804304,0.052000000000000005
primvar_energy_retaining_bank_inflight_only_d52e44fbfc4e,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2941502914463187,-0.00647982058135327,0.063
primvar_energy_retaining_bank_inflight_only_d52e44fbfc4e,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2943715788421643,-0.005614705655939066,0.045
primvar_energy_retaining_bank_inflight_only_dd6d41942761,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2951045101407947,0.0021343387003065943,0.07200000000000001
primvar_energy_retaining_bank_inflight_only_dd6d41942761,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2945187190898446,-0.0035318196866725056,0.046
primvar_energy_retaining_bank_inflight_only_f33baa0e25a4,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2947964215436274,-0.004290904366079629,0.073
primvar_energy_retaining_bank_inflight_only_f33baa0e25a4,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2934358199194236,-0.0038670713950026553,0.046
primvar_energy_retaining_bank_inflight_only_f41bc95c5496,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2963691448122931,-0.0005599404126280516,0.067
primvar_energy_retaining_bank_inflight_only_f41bc95c5496,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.292778522220658,-0.006494649405636999,0.047
primvar_energy_retaining_bank_inflight_only_f5d4950548df,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.294027055101159,0.005874733408699549,0.06
primvar_energy_retaining_bank_inflight_only_f5d4950548df,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2933108348548563,-0.004150686756662379,0.049
primvar_energy_retaining_bank_inflight_only_f6d4d53afac2,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.295392462935844,-0.0020384905239478834,0.068
primvar_energy_retaining_bank_inflight_only_f6d4d53afac2,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2941995187331629,-0.0052561098195450014,0.042
primvar_energy_retaining_bank_inflight_only_f789a8215ded,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2952045061663408,0.002910875558687115,0.07100000000000001
primvar_energy_retaining_bank_inflight_only_f789a8215ded,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.293859932410049,-0.0034736709598369164,0.036000000000000004
primvar_energy_retaining_bank_inflight_only_f91aa03e1430,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2935725324762108,-0.0030451876078272503,0.054000000000000006
primvar_energy_retaining_bank_inflight_only_f91aa03e1430,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2933163177618594,-0.004278192046332259,0.048
primvar_energy_retaining_bank_inflight_only_f9aa70721ce7,energy_retaining_bank,w3_randomised_four,20,20,0,0,0.2943559012763472,-0.0047329466639671495,0.064
primvar_energy_retaining_bank_inflight_only_f9aa70721ce7,energy_retaining_bank,w3_randomised_single,20,20,0,0,0.2936072027413168,-0.00465656861724871,0.046
primvar_glide_inflight_only_11c66f2319db,glide,w3_randomised_four,20,20,0,0,0.2939019896764909,-0.0005321704271799052,0.07
primvar_glide_inflight_only_11c66f2319db,glide,w3_randomised_single,20,20,0,0,0.2938475167216694,-0.0025256416595592795,0.049
primvar_glide_inflight_only_126b47074599,glide,w3_randomised_four,20,20,0,0,0.293917284758729,-0.0019246241457223992,0.062
primvar_glide_inflight_only_126b47074599,glide,w3_randomised_single,20,20,0,0,0.2938822016636049,-0.0055435044956056905,0.041
primvar_glide_inflight_only_17896d12fa60,glide,w3_randomised_four,20,20,0,0,0.2944165471961604,0.004787298289383662,0.07
primvar_glide_inflight_only_17896d12fa60,glide,w3_randomised_single,20,20,0,0,0.292872019354653,-0.0025180796797965145,0.05500000000000001
primvar_glide_inflight_only_1983cab0f7e6,glide,w3_randomised_four,20,20,0,0,0.2939291866400433,0.0021918304716929344,0.069
primvar_glide_inflight_only_1983cab0f7e6,glide,w3_randomised_single,20,20,0,0,0.2939040787853919,0.00021742661162212456,0.05600000000000001
primvar_glide_inflight_only_24e665618761,glide,w3_randomised_four,20,20,0,0,0.2938654722473881,0.002042767376616599,0.074
primvar_glide_inflight_only_24e665618761,glide,w3_randomised_single,20,20,0,0,0.2929687130164842,-0.0045424545211605796,0.043
primvar_glide_inflight_only_25cc2c908a7d,glide,w3_randomised_four,20,20,0,0,0.2945344272019232,-0.0006165857435093805,0.064
primvar_glide_inflight_only_25cc2c908a7d,glide,w3_randomised_single,20,20,0,0,0.2939112026906816,-0.0020456385967479998,0.046
primvar_glide_inflight_only_2cab795ffb6a,glide,w3_randomised_four,20,20,0,0,0.2952611137865393,-0.00297258338940761,0.07
primvar_glide_inflight_only_2cab795ffb6a,glide,w3_randomised_single,20,20,0,0,0.2935315999878103,-0.006654775443560616,0.042
primvar_glide_inflight_only_2fe6d9964061,glide,w3_randomised_four,20,20,0,0,0.2941212293352446,-0.0021803759959612935,0.079
primvar_glide_inflight_only_2fe6d9964061,glide,w3_randomised_single,20,20,0,0,0.292981895751601,-0.00697298895232846,0.041
primvar_glide_inflight_only_37626a7a2556,glide,w3_randomised_four,20,20,0,0,0.2948482336643092,0.0021830101691558052,0.069
primvar_glide_inflight_only_37626a7a2556,glide,w3_randomised_single,20,20,0,0,0.2934033961533675,-0.004807615686207031,0.048
