split,metric,count,mean,median,std,min,max
train,launch_speed_m_s,55,5.416249203980046,5.457005406994275,0.5938204144061776,4.239287502042342,6.8245435861645625
train,sink_rate_m_s,55,0.8362861783691052,0.856506857280189,0.13708798695424207,0.37623655733552014,1.1190700101949265
train,glide_ratio_x_over_altloss,55,4.119740783516198,3.9105414283936484,1.226950228931695,1.8720836525951643,10.470877196958183
train,dx_m,55,4.444281501846288,4.504245619890108,0.634096240276642,2.578562442300031,5.351994429724904
train,dy_m,55,0.5255681954491603,0.42269703310398743,0.6103809457596148,-0.6301973053457366,2.05332619122514
train,duration_s,55,1.3515044963654046,1.3506091000162996,0.16366553569997885,1.0201985000167042,1.7022377999965101
train,mean_rate_confidence,55,0.9452952415095314,0.95,0.007794033010642583,0.9199999999999999,0.9500000000000001
holdout,launch_speed_m_s,5,5.404838131321926,5.702525916872492,0.7975643572083462,3.9320956192083414,6.263175421505179
holdout,sink_rate_m_s,5,0.8662411368085723,0.8103966569094785,0.14363575222032626,0.7407348909512498,1.1461348656006887
holdout,glide_ratio_x_over_altloss,5,3.492975230453239,3.6745795090773212,0.548557620260035,2.5592237575177963,4.061728740885997
holdout,dx_m,5,4.18679141940929,4.344216233775915,0.6806173467844567,2.9610922716114385,4.835235770222613
holdout,dy_m,5,0.34651610294344454,0.2089607745926676,0.37705056170474965,0.0022264062446528676,1.0757757596097952
holdout,duration_s,5,1.4175258800038137,1.4801291999756359,0.21580127115590422,1.0095038000144996,1.6547334000351839
holdout,mean_rate_confidence,5,0.9376496016264276,0.9424686192468619,0.01141523965353683,0.9172413793103448,0.95
all,launch_speed_m_s,60,5.415298281258537,5.477654303874319,0.6133974918191897,3.9320956192083414,6.8245435861645625
all,sink_rate_m_s,60,0.8387824249057273,0.8505381044720096,0.13789429276580575,0.37623655733552014,1.1461348656006887
all,glide_ratio_x_over_altloss,60,4.067510320760951,3.906315623258561,1.1979318905724936,1.8720836525951643,10.470877196958183
all,dx_m,60,4.422823994976539,4.487938017482023,0.6420588291677565,2.578562442300031,5.351994429724904
all,dy_m,60,0.5106471877403508,0.4041197437067805,0.5965015387428048,-0.6301973053457366,2.05332619122514
all,duration_s,60,1.357006278335272,1.37110489999759,0.16961138420112953,1.0095038000144996,1.7022377999965101
all,mean_rate_confidence,60,0.9446581048526057,0.95,0.008426686994382069,0.9172413793103448,0.9500000000000001
