session_label,case_id,throw_id,throw_path,termination_reason,launch_speed_m_s,duration_s,x0_m,y0_m,z0_m,phi0_rad,theta0_rad,psi0_rad,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,x_end_m,y_end_m,z_end_m,dx_m,dy_m,dz_m,altitude_loss_m,horizontal_distance_m,glide_ratio_x_over_altloss,glide_ratio_horizontal_over_altloss,sink_rate_m_s,mean_speed_m_s,mean_rate_confidence,sample_count,calibration_profile_hash,vicon_position_offset_m,split
20260602_225953,C0_neutral,throw_001,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_225953/C0_neutral/throw_001,exit_gate_floor,6.8245435861645625,1.6790481999632902,1.40596562049361,2.2018575932370568,1.6104900449822843,0.14644036399265925,0.014746232505232104,-0.10524202971174468,6.434561016801502,2.250159635645387,-0.033918127236164164,0.45504708307130926,0.9910534846172151,-1.2596687521640226,5.927079752566073,3.4352203927666567,0.38510221596083116,4.521114132072462,1.2333627995296,-1.2253878290214533,1.2253878290214533,4.686326577447289,3.689537324426379,3.824361941957271,0.7298109899693436,3.495517283644107,0.932824427480916,262,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_225953,C0_neutral,throw_002,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_225953/C0_neutral/throw_002,exit_gate_front_wall,5.8083671547904965,1.4039162999833934,1.2584439449523646,2.115609881754739,1.6194020716424622,0.07584742847868275,-0.15658753938148928,0.13155115242245774,5.791858327477789,0.15222109244127563,-0.5122623078399369,0.8250010066171326,-0.26730895771211155,-0.5700517572935688,6.610438374677268,2.8949306793459395,0.7395100329531844,5.351994429724904,0.7793207975912004,-0.8798920386892778,0.8798920386892778,5.408436491386821,6.082558080304316,6.146704656452448,0.6267410946789961,4.087447790906238,0.9460526315789474,228,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_225953,C0_neutral,throw_003,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_225953/C0_neutral/throw_003,exit_gate_front_wall,6.239680377411937,1.5527586999814957,1.3157497923280017,2.16188181324019,1.6243413800058881,0.03052546189033345,-0.11522780564199309,0.0013715711071036196,6.13318685928172,1.0901460826939293,-0.3841901056206551,0.1648480124813687,-0.3911242022721122,-1.5342797132186823,6.6019866530140465,4.172701405601439,0.5038975579175206,5.286236860686045,2.0108195923612486,-1.1204438220883675,1.1204438220883675,5.65576657760022,4.7179847453959445,5.047791300289003,0.72158270444836,4.011597520260669,0.9429133858267716,254,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_225953,C0_neutral,throw_004,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_225953/C0_neutral/throw_004,exit_gate_floor,6.0090774360032135,1.6164924000040628,1.28942435382013,2.180532598753126,1.6045536543313736,-0.014415005866725394,-0.010995722243225536,-0.026150043738337292,5.942449937651398,0.9246731213408508,0.07340901988852308,0.5080515073952327,0.8704264237720836,-0.27611358052060847,6.214737657786604,3.1923468763719116,0.3964261434403512,4.925313303966474,1.0118142776187855,-1.2081275108910225,1.2081275108910225,5.028168580569109,4.0768157827429485,4.161951892694436,0.7473759300618958,3.5632032911891973,0.9398876404494382,267,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_225953,C0_neutral,throw_005,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_225953/C0_neutral/throw_005,exit_gate_floor,6.275195529906368,1.6165647999732755,1.2679574361363,2.110185900603738,1.5522692809668595,0.00823794313354309,-0.07070313286294816,-0.14222940807771156,5.9454514091347415,2.0463246989566657,0.04151714760003067,0.42378403766176836,0.5803133160653587,-1.6399152280799696,6.406231332721646,4.163512091828878,0.38919064273202186,5.138273896585346,2.05332619122514,-1.1630786382348375,1.1630786382348375,5.533354053727404,4.417821570847109,4.757506390217239,0.7194754198867036,3.8109746626337353,0.9448669201520913,263,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_231554,C0_neutral,throw_001,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_231554/C0_neutral/throw_001,exit_gate_front_wall,6.165892917276758,1.4001083999755792,1.2791580472338242,2.1904807056501547,1.5231281143721456,0.11566910051366053,-0.08791249305241289,-0.021514159420096934,6.142417161565347,0.5625042360022215,-0.06774491098008784,0.34716069995527354,0.1769278904061492,-1.0106850567319086,6.605002222529736,2.480886104699435,0.7137017796224517,5.325844175295911,0.2904053990492801,-0.8094263347496938,0.8094263347496938,5.3337558507425475,6.579776252205669,6.589550675284062,0.5781169049223702,4.068377432320487,0.936480686695279,233,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_231554,C0_neutral,throw_002,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_231554/C0_neutral/throw_002,exit_gate_floor,6.183336065602295,1.6023638999904506,1.2683125141398741,2.016922050904209,1.5329691299827422,0.1813349283796235,-0.08681364978765638,-0.031767793008711465,6.129191940886432,0.924498871101003,-0.5172773739332943,0.6486085303839159,0.41596463839399633,-1.4602854659457052,5.772558134029982,1.792611104058019,0.3761332299258757,4.504245619890108,-0.2243109468461899,-1.1568359000568664,1.1568359000568664,4.50982749173117,3.893590802004583,3.8984159218342733,0.7219557929779625,3.464399945381447,0.9199999999999999,255,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_231554,C0_neutral,throw_003,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_231554/C0_neutral/throw_003,exit_gate_front_wall,6.770074861133873,1.7022377999965101,1.3552681938251347,2.098155712333827,1.5543224332442591,-0.04585925416620196,-0.08907202728496433,0.03390245400866876,6.789668690733075,0.3939407796891966,-0.16872643128626708,0.3635556488330991,0.18189399209328797,0.1183881813704849,6.614225466361474,2.6551228217562137,0.5272804519680064,5.258957272536339,0.5569671094223869,-1.0270419812762528,1.0270419812762528,5.288368742376157,5.120489102111776,5.149126168926971,0.603348122852376,3.816227787602342,0.9379770992366412,262,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_231554,C0_neutral,throw_004,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_231554/C0_neutral/throw_004,exit_gate_floor,5.085632105729499,1.3441728000179864,1.4009351738936897,2.1902237925411208,1.566131164502159,-0.03642810794126161,-0.11139118947577042,-0.12935777909048962,4.863674181338913,1.4730403833808705,0.13066884228161763,-0.2943113109098278,-0.007358309682526733,-0.9195397339585865,5.851205919793223,3.315207602070074,0.395734663113228,4.450270745899534,1.124983809528953,-1.170396501388931,1.170396501388931,4.590261243492735,3.802361627549566,3.9219710910323022,0.8707187806309352,3.6298780340488697,0.9478155339805825,206,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
20260602_231554,C0_neutral,throw_005,04_Flight_Test/05_Results/glider_calibration/neutral_30/20260602_231554/C0_neutral/throw_005,exit_gate_floor,5.71598854554001,1.5734699000022374,1.2683878053105713,2.1741186280798757,1.5880638830516993,-0.05537447415552377,-0.06574319144889262,-0.27774674823497625,5.068636763094239,2.7241295251057562,-0.3309826881193161,-0.10574547578165598,-0.10239135506117159,-1.6639443333905952,6.371566249184227,3.770032232044703,0.38729443120819307,5.103178443873656,1.5959136039648274,-1.2007694518435064,1.2007694518435064,5.346902884973389,4.2499236102641476,4.45289716253561,0.7631346820436787,3.814679470285261,0.9464843749999999,256,,"[4.136158795250567, 2.4114272057075916, 0.03414746062731508]",train
