primitive_id,candidate_index,candidate_weight_label,candidate_family,row_count,accepted_or_weak_rate,continuation_valid_rate,episode_terminal_useful_rate,launch_gate_pass_rate,nominal_inflight_pass_rate,systemic_blocker_ratio,hard_failure_ratio,missing_metadata_ratio,speed_low_ratio,floor_ceiling_ratio,robust_lift_dwell_p20,robust_energy_residual_p20,wall_margin_p10,saturation_fraction_p95,uncertainty_m_s_p95,dominant_failure_label,lqr_Q_weights_json,lqr_R_weights_json,lqr_gain_checksum,lqr_synthesis_status,sampled_data_check,robust_score,eligibility_status,selection_reason
energy_retaining_bank,25,energy_retaining_bank_r61_diagnostic_exploit_025,diagnostic_exploit,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0091352775771039,-0.042646447336087315,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.7,""r_elevator"":0.63,""r_rudder"":0.77}",44597fa0ab596e9abfbb43d7a431275c9af7c5be2761f33bdffa39f04d3aa6a1,solved,sampled_stable,-0.14583755196433057,rejected,below_minimum_empirical_gate
energy_retaining_bank,24,energy_retaining_bank_r61_diagnostic_exploit_024,diagnostic_exploit,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0115917343048695,-0.04262089559157216,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":1.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.35,""r_elevator"":0.315,""r_rudder"":0.385}",9a31ddbf0d2c5c3ea09fa40bfc38f29bb2434f31e27714cc1451bdf0922f565c,solved,sampled_stable,-0.14594783699963476,rejected,below_minimum_empirical_gate
energy_retaining_bank,30,energy_retaining_bank_r61_diagnostic_exploit_030,diagnostic_exploit,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.016675665991724,-0.04040337229246676,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":2.2399999999999998,""q_surfaces"":0.15,""q_velocity"":2.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.2}",0a5dd24803d458416841c2fa5de976cc888589ebc1af48f0921280ea11969a76,solved,sampled_stable,-0.1461544386925523,rejected,below_minimum_empirical_gate
energy_retaining_bank,29,energy_retaining_bank_r61_diagnostic_exploit_029,diagnostic_exploit,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0208023739370928,-0.03460955782123512,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":2.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.8,""r_elevator"":2.52,""r_rudder"":3.08}",ab7b21533d670f48273f4ee34691026faddc7e1805ac8562103f0d7a2bdd2c75,solved,sampled_stable,-0.1462822024053816,rejected,below_minimum_empirical_gate
energy_retaining_bank,27,energy_retaining_bank_r61_diagnostic_exploit_027,diagnostic_exploit,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0237197838702148,-0.042652953513580616,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":1.3,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":0.425,""r_elevator"":0.3825,""r_rudder"":0.4675}",b3087da7cfc2c9d5b4567df33cab29bb5fd086e7d0bb536c1093cdcad1c1ac91,solved,sampled_stable,-0.1464939198092955,rejected,below_minimum_empirical_gate
energy_retaining_bank,28,energy_retaining_bank_r61_diagnostic_exploit_028,diagnostic_exploit,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0258005416244076,-0.034603799467338825,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":2.0,""q_rates"":1.6,""q_surfaces"":0.15,""q_velocity"":2.0,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.4,""r_elevator"":1.26,""r_rudder"":1.54}",03547cff8c9cbb1cfa987538c2405ef419772d2e479e8bb407d582bb69a8042a,solved,sampled_stable,-0.14650706236777178,rejected,below_minimum_empirical_gate
energy_retaining_bank,11,energy_retaining_bank_r61_conservative_high_r_011,conservative_high_r,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0260362013258546,-0.03457125869372262,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.8,""q_rates"":2.43,""q_surfaces"":0.15,""q_velocity"":2.8,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":2.0,""r_elevator"":1.8,""r_rudder"":2.4}",a88c21300b75b15307cc9171681e05264f326e65a3b6e1411e33e755abcd8c98,solved,sampled_stable,-0.14651734164660069,rejected,below_minimum_empirical_gate
energy_retaining_bank,9,energy_retaining_bank_r61_conservative_high_r_009,conservative_high_r,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0244694683024091,-0.042710771247163826,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.8,""q_rates"":2.43,""q_surfaces"":0.15,""q_velocity"":2.8,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":1.5,""r_elevator"":1.35,""r_rudder"":1.7999999999999998}",ff1fb18f24b1d0291380524599df49ca664f9dfdc7058d6cad5f5d8e6d233219,solved,sampled_stable,-0.14652823378608004,rejected,below_minimum_empirical_gate
energy_retaining_bank,15,energy_retaining_bank_r61_conservative_high_r_015,conservative_high_r,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.0252452413298803,-0.04067036588872044,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.8,""q_rates"":2.43,""q_surfaces"":0.15,""q_velocity"":2.8,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":4.0,""r_elevator"":3.6,""r_rudder"":4.8}",f9737d6b549c203a688528167eb44939bb9aea1d2488da73114735731415c145,solved,sampled_stable,-0.14654273951873187,rejected,below_minimum_empirical_gate
energy_retaining_bank,12,energy_retaining_bank_r61_conservative_high_r_012,conservative_high_r,24,0.375,0.125,0.25,0.25,0.16666666666666666,0.0,0.625,0.0,0.0,0.0,0.0,-1.026891623925479,-0.03458021397648992,0.0,0.0,none,"{""grouping"":""diagonal_grouped_log_scaled"",""q_attitude"":4.8,""q_rates"":1.8,""q_surfaces"":0.15,""q_velocity"":2.8,""state_mask"":[""phi"",""theta"",""psi"",""u"",""v"",""w"",""p"",""q"",""r"",""delta_a"",""delta_e"",""delta_r""]}","{""command_names"":[""delta_a_cmd"",""delta_e_cmd"",""delta_r_cmd""],""grouping"":""diagonal_grouped_log_scaled"",""r_aileron"":3.0,""r_elevator"":2.7,""r_rudder"":3.5999999999999996}",ceb3b37196e44b3471a5fd9e7797f57a5fb26b00cb647da90a7951795b56e05c,solved,sampled_stable,-0.14655592521641148,rejected,below_minimum_empirical_gate
