primitive_id,W_layer,row_count,mean_energy_residual_m,mean_lift_dwell_time_s,min_wall_margin_m,max_saturation_fraction
energy_retaining_bank,W0,600,-0.5016802171372876,0.0,-0.1030767866729753,0.0
energy_retaining_bank,W1,600,-0.3114447907761319,0.3260666666666668,-0.1260700763646127,0.0
glide,W0,600,-0.44127015760813765,0.0,-0.1030254219030784,0.0
glide,W1,600,-0.26033841892632964,0.29753333333333337,-0.1257012494436535,0.0
lift_dwell_arc,W0,600,-0.518293289314957,0.0,-0.1020884627217419,0.0
lift_dwell_arc,W1,600,-0.32949468189480335,0.34486666666666677,-0.1260897435164185,0.0
lift_entry,W0,600,-0.48670149643732374,0.0,-0.1027543862574287,0.0
lift_entry,W1,600,-0.2718109326371969,0.32643333333333346,-0.12600299295657,0.0
mild_turn_left,W0,600,-0.4641055087970482,0.0,-0.1001427071413907,0.0
mild_turn_left,W1,600,-0.27535591977456364,0.3158000000000001,-0.1254844117221223,0.0
mild_turn_right,W0,600,-0.45039699506198827,0.0,-0.1005137303132688,0.0
mild_turn_right,W1,600,-0.27952483703992326,0.3155666666666668,-0.1259677454848029,0.0
recovery,W0,600,-0.3462500302311739,0.0,-0.1027604602237168,0.0
recovery,W1,600,-0.18445957682955502,0.2614000000000001,-0.1259329297233673,0.0
safe_exit_or_recovery_handoff,W0,600,-0.3146171870990705,0.0,-0.1031188413063892,0.0
safe_exit_or_recovery_handoff,W1,600,-0.16298840376115833,0.24450000000000002,-0.1258756627722377,0.0
