path,relative_path,byte_count,size_mb,filename_stem_length,relative_path_length,stem_under_64,path_under_140,above_75mb,above_100mb,under_100mb,push_allowed
chunk_manifests/r6_1_finalist_rows/c00000.json,chunk_manifests/r6_1_finalist_rows/c00000.json,4907,0.004679679870605469,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00001.json,chunk_manifests/r6_1_finalist_rows/c00001.json,4909,0.004681587219238281,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00002.json,chunk_manifests/r6_1_finalist_rows/c00002.json,4909,0.004681587219238281,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00003.json,chunk_manifests/r6_1_finalist_rows/c00003.json,4907,0.004679679870605469,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00004.json,chunk_manifests/r6_1_finalist_rows/c00004.json,4909,0.004681587219238281,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00005.json,chunk_manifests/r6_1_finalist_rows/c00005.json,4909,0.004681587219238281,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00006.json,chunk_manifests/r6_1_finalist_rows/c00006.json,4905,0.004677772521972656,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00007.json,chunk_manifests/r6_1_finalist_rows/c00007.json,4907,0.004679679870605469,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00008.json,chunk_manifests/r6_1_finalist_rows/c00008.json,4910,0.0046825408935546875,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00009.json,chunk_manifests/r6_1_finalist_rows/c00009.json,4910,0.0046825408935546875,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00010.json,chunk_manifests/r6_1_finalist_rows/c00010.json,4911,0.004683494567871094,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00011.json,chunk_manifests/r6_1_finalist_rows/c00011.json,4911,0.004683494567871094,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00012.json,chunk_manifests/r6_1_finalist_rows/c00012.json,4909,0.004681587219238281,6,46,True,True,False,False,True,True
chunk_manifests/r6_1_finalist_rows/c00013.json,chunk_manifests/r6_1_finalist_rows/c00013.json,4911,0.004683494567871094,6,46,True,True,False,False,True,True
