primitive_id,candidate_index,failure_label,row_count
energy_retaining_bank,0,terminal_recovery_limited,10
energy_retaining_bank,0,wall_boundary_exit_retained,7
energy_retaining_bank,0,floor_margin_stop,4
energy_retaining_bank,0,controlled_finish,3
energy_retaining_bank,1,terminal_recovery_limited,11
energy_retaining_bank,1,wall_boundary_exit_retained,7
energy_retaining_bank,1,controlled_finish,3
energy_retaining_bank,1,floor_margin_stop,3
energy_retaining_bank,2,terminal_recovery_limited,10
energy_retaining_bank,2,wall_boundary_exit_retained,7
energy_retaining_bank,2,floor_margin_stop,4
energy_retaining_bank,2,controlled_finish,3
energy_retaining_bank,3,terminal_recovery_limited,10
energy_retaining_bank,3,wall_boundary_exit_retained,7
energy_retaining_bank,3,floor_margin_stop,4
energy_retaining_bank,3,weak_energy_result,2
energy_retaining_bank,3,controlled_finish,1
energy_retaining_bank,4,terminal_recovery_limited,11
energy_retaining_bank,4,wall_boundary_exit_retained,7
energy_retaining_bank,4,controlled_finish,3
energy_retaining_bank,4,floor_margin_stop,3
energy_retaining_bank,5,terminal_recovery_limited,10
energy_retaining_bank,5,wall_boundary_exit_retained,7
energy_retaining_bank,5,floor_margin_stop,4
energy_retaining_bank,5,controlled_finish,3
energy_retaining_bank,6,terminal_recovery_limited,10
energy_retaining_bank,6,wall_boundary_exit_retained,7
energy_retaining_bank,6,floor_margin_stop,4
energy_retaining_bank,6,controlled_finish,2
energy_retaining_bank,6,weak_energy_result,1
energy_retaining_bank,7,terminal_recovery_limited,10
energy_retaining_bank,7,wall_boundary_exit_retained,7
energy_retaining_bank,7,floor_margin_stop,4
energy_retaining_bank,7,controlled_finish,3
energy_retaining_bank,8,terminal_recovery_limited,10
energy_retaining_bank,8,wall_boundary_exit_retained,7
energy_retaining_bank,8,floor_margin_stop,4
energy_retaining_bank,8,controlled_finish,3
energy_retaining_bank,9,terminal_recovery_limited,10
energy_retaining_bank,9,wall_boundary_exit_retained,7
energy_retaining_bank,9,floor_margin_stop,4
energy_retaining_bank,9,controlled_finish,3
energy_retaining_bank,10,terminal_recovery_limited,10
energy_retaining_bank,10,wall_boundary_exit_retained,7
energy_retaining_bank,10,floor_margin_stop,4
energy_retaining_bank,10,controlled_finish,3
energy_retaining_bank,11,terminal_recovery_limited,11
energy_retaining_bank,11,wall_boundary_exit_retained,7
energy_retaining_bank,11,controlled_finish,3
energy_retaining_bank,11,floor_margin_stop,3
