stage_label,table_name,chunk_index,start_row,row_count,status,relative_path,checksum_sha256,error_type,error
stage_c,r6_1_screen_rows,0,0,125,skipped,r6_1_screen_rows/c00000.csv.gz,2d8e5ab1e80ff8dcd8ee628d10c7c58c65e4a75a582985f332d10862f7f84aa1,,
stage_c,r6_1_screen_rows,1,125,125,skipped,r6_1_screen_rows/c00001.csv.gz,de7853cd6f32417cc9ea010c198bb23187c5f1ec0802e5ddc79c4e1f9f8815c4,,
stage_c,r6_1_screen_rows,2,250,125,skipped,r6_1_screen_rows/c00002.csv.gz,d4a544730ec1a8cf59311c370d51496b1bc66bdf8b5aebb7e95dac7f48f72dfd,,
stage_c,r6_1_screen_rows,3,375,125,skipped,r6_1_screen_rows/c00003.csv.gz,f45587837f38f96ba5decf8ed6e8370e50e2e170a3727b42b935a979eaf6482f,,
stage_c,r6_1_screen_rows,4,500,125,skipped,r6_1_screen_rows/c00004.csv.gz,80a80403a82f39512bb08882c2563ba5a858c1c1d7c4d7e5e0f5f3c00a07752d,,
stage_c,r6_1_screen_rows,5,625,125,skipped,r6_1_screen_rows/c00005.csv.gz,42771eb3cb4a7bb06142e1a1d0f7b393550433e38e601947f6ba012a8958104f,,
stage_c,r6_1_screen_rows,6,750,125,skipped,r6_1_screen_rows/c00006.csv.gz,86b2354c970cf88f6bd574474ac117d086ab51f7940962f94b4baa6452a19613,,
stage_c,r6_1_screen_rows,7,875,125,skipped,r6_1_screen_rows/c00007.csv.gz,76962b0ab090a92cfd51e12372ee306f68a8195dc835e66c9fea364ae3d2f118,,
stage_c,r6_1_screen_rows,8,1000,125,skipped,r6_1_screen_rows/c00008.csv.gz,c71a6205759e842ef96178487a45187f5b4d9b0cd72d9f79706a1fbbf1011788,,
stage_c,r6_1_screen_rows,9,1125,125,skipped,r6_1_screen_rows/c00009.csv.gz,11e4ae69adfb37d6d310ca7380d0a75cfe126582e65c4eff9deb46c9ae04f5c3,,
stage_c,r6_1_screen_rows,10,1250,125,skipped,r6_1_screen_rows/c00010.csv.gz,c8efa5456994059429ba7b3ad46ddc4de66d0cb1ddfe901d75fb653a88df7950,,
stage_c,r6_1_screen_rows,11,1375,125,skipped,r6_1_screen_rows/c00011.csv.gz,dd79f15980e784e5bffee5946e424774e8e119148415f2df0f4b4763d880dfc5,,
stage_c,r6_1_screen_rows,12,1500,125,skipped,r6_1_screen_rows/c00012.csv.gz,71cfc569c45432f629417542095f59c9e3ad115644990ace3406b8d920767c49,,
stage_c,r6_1_screen_rows,13,1625,125,skipped,r6_1_screen_rows/c00013.csv.gz,384f63e7c309546c752e7555b164f7babc325d12e0cab277f7f01be73da1869f,,
stage_c,r6_1_screen_rows,14,1750,125,skipped,r6_1_screen_rows/c00014.csv.gz,32e1f1e6de52924c69197683960bbc59b5fadaabfa8b4784d18849114c65cdcb,,
stage_c,r6_1_screen_rows,15,1875,125,skipped,r6_1_screen_rows/c00015.csv.gz,b941e824d667edb2f43facb8fabcc298009695e9b3d759eff514284e4140d142,,
stage_c,r6_1_screen_rows,16,2000,125,skipped,r6_1_screen_rows/c00016.csv.gz,2dc92371d79f756624ca2a9356bb71f9b3f142162b49827c68a0d54845159742,,
stage_c,r6_1_screen_rows,17,2125,125,skipped,r6_1_screen_rows/c00017.csv.gz,c0608bba6b51b7be35f57ac6bc1bcd654cf3a8b53e3ea21cc660b68003c81b4b,,
stage_c,r6_1_screen_rows,18,2250,125,skipped,r6_1_screen_rows/c00018.csv.gz,c9ce69250515276f89ab9a5dcbc6eef00c45bfa5293fe175334f5c92d9d7256a,,
stage_c,r6_1_screen_rows,19,2375,125,skipped,r6_1_screen_rows/c00019.csv.gz,1524b54e21f1cb5c506b35683fa6883dfd70a3dc48a13a4f6a6cd9fd4323cee5,,
stage_c,r6_1_screen_rows,20,2500,125,skipped,r6_1_screen_rows/c00020.csv.gz,ce5ff88090236c62cd02b6b8f352d4c847b0d6518c7bd7b4db3bf526ec44b933,,
stage_c,r6_1_screen_rows,21,2625,125,skipped,r6_1_screen_rows/c00021.csv.gz,798b0ca5304400c87c27b6e1d572a26ecbdfba6db6b261bfe6cc6e91decd2154,,
stage_c,r6_1_screen_rows,22,2750,125,skipped,r6_1_screen_rows/c00022.csv.gz,6ab1bc0d7afdb4f61ed87a8a5b2d51c347baa728db1a61666bd835f6ef4cc077,,
stage_c,r6_1_screen_rows,23,2875,125,skipped,r6_1_screen_rows/c00023.csv.gz,290f65433aef67edc94bb2f0bc1f7ec01dd59adcc4e617ef477b7e1d412c2059,,
stage_c,r6_1_screen_rows,24,3000,125,skipped,r6_1_screen_rows/c00024.csv.gz,87f0dbef0d928de07eed94bca9793496d5dc3ca6e9341a1021e4a03a19034ff9,,
stage_c,r6_1_screen_rows,25,3125,125,skipped,r6_1_screen_rows/c00025.csv.gz,38687a23d280b8407b2286765fd0a9f90e5eb38515d9c713fa19a94023999b59,,
stage_c,r6_1_screen_rows,26,3250,125,skipped,r6_1_screen_rows/c00026.csv.gz,f1d4b46be4dcc37b1ed6c0fe7a1c0fefdf0ff349cbc353c0451024f6ecfbb5a4,,
stage_c,r6_1_screen_rows,27,3375,125,skipped,r6_1_screen_rows/c00027.csv.gz,22ee0c8f4ac2a7e06e011d1377e2252b214c3ff49a8e87136f3d7a2386343d1e,,
stage_c,r6_1_screen_rows,28,3500,125,skipped,r6_1_screen_rows/c00028.csv.gz,b3db4958f34c496269d3d4453b9512436abbdeaf9ad3bd3e7bd639ec9356d093,,
stage_c,r6_1_screen_rows,29,3625,125,skipped,r6_1_screen_rows/c00029.csv.gz,d1ae9a3b0cc1f5ab32d67a05ef0586128f37ea4a888986b12ea10deeba8dddfc,,
stage_c,r6_1_screen_rows,30,3750,125,skipped,r6_1_screen_rows/c00030.csv.gz,ef600ac11cffde69fa3b990d269c9195aedc38f49eaa089fef5693aa410ad560,,
stage_c,r6_1_screen_rows,31,3875,125,skipped,r6_1_screen_rows/c00031.csv.gz,a30633a6484d83935b647f8cfd1ab2ec61cab377f44fb912015085e87ee8daaf,,
stage_c,r6_1_screen_rows,32,4000,125,skipped,r6_1_screen_rows/c00032.csv.gz,278f37555dbe4bf609d66a69aea0f58e1af67451e42ca2cde2e69a2413252aea,,
stage_c,r6_1_screen_rows,33,4125,125,skipped,r6_1_screen_rows/c00033.csv.gz,a87ffed39908d25d0e56e9a2f142c7d7dd23f7e38b81dee8e3d906ba0b8cc5b8,,
stage_c,r6_1_screen_rows,34,4250,125,skipped,r6_1_screen_rows/c00034.csv.gz,b5379d63980f45607bd8abb26ca90a3ca8aa604ca3161501c45114fd3a0035c1,,
stage_c,r6_1_screen_rows,35,4375,125,skipped,r6_1_screen_rows/c00035.csv.gz,59aaeb5acb50ea2e5e21765f1febd8b821c6a5b2c5d9e24a823d6f68bc155468,,
stage_c,r6_1_screen_rows,36,4500,125,skipped,r6_1_screen_rows/c00036.csv.gz,9d196df607630c63a66bb250ffd8f1c397d1568faa07ae53c0706e314c6e12a0,,
stage_c,r6_1_screen_rows,37,4625,125,skipped,r6_1_screen_rows/c00037.csv.gz,90271f6e512b6b48dd7d3be8c5e78c65f63c42e6792725152a40d20c310439ed,,
