coverage_axis,coverage_value,row_count,coverage_note
primitive_id,energy_retaining_bank,1200,observed
primitive_id,glide,1200,observed
primitive_id,lift_dwell_arc,1200,observed
primitive_id,lift_entry,1200,observed
primitive_id,mild_turn_left,1200,observed
primitive_id,mild_turn_right,1200,observed
primitive_id,recovery,1200,observed
primitive_id,safe_exit_or_recovery_handoff,1200,observed
controller_id,lqr_energy_retaining_bank_0297bae6e2e1,200,observed
controller_id,lqr_energy_retaining_bank_e2fbe4c37ed9,200,observed
controller_id,lqr_energy_retaining_bank_84c4e4b1fbe5,200,observed
controller_id,lqr_energy_retaining_bank_917a32b0a1e2,200,observed
controller_id,lqr_energy_retaining_bank_842f112fedc8,200,observed
controller_id,lqr_energy_retaining_bank_57cc86c8f22e,200,observed
controller_id,lqr_glide_544748a7c9ee,200,observed
controller_id,lqr_glide_a7d69b070314,200,observed
controller_id,lqr_glide_44999907c5d4,200,observed
controller_id,lqr_glide_e148026c674a,200,observed
controller_id,lqr_glide_8e5b6cf8c298,200,observed
controller_id,lqr_glide_eaa0df9f0037,200,observed
controller_id,lqr_lift_dwell_arc_71e9f6fa8088,200,observed
controller_id,lqr_lift_dwell_arc_4cce5216993f,200,observed
controller_id,lqr_lift_dwell_arc_22361cabf1d2,200,observed
controller_id,lqr_lift_dwell_arc_ae70ea3817e3,200,observed
controller_id,lqr_lift_dwell_arc_7769845d7a77,200,observed
controller_id,lqr_lift_dwell_arc_72e73252f6fe,200,observed
controller_id,lqr_lift_entry_cea5d9d4c03d,200,observed
controller_id,lqr_lift_entry_28d68b4a8339,200,observed
controller_id,lqr_lift_entry_4a730a0e14f6,200,observed
controller_id,lqr_lift_entry_d69a361b4aad,200,observed
controller_id,lqr_lift_entry_5a3a19467662,200,observed
controller_id,lqr_lift_entry_57cb0197a7c0,200,observed
controller_id,lqr_mild_turn_left_ae3851db4931,200,observed
controller_id,lqr_mild_turn_left_49ec5143eb57,200,observed
controller_id,lqr_mild_turn_left_30e34b79056c,200,observed
controller_id,lqr_mild_turn_left_a89e8e627c6d,200,observed
controller_id,lqr_mild_turn_left_63da5c07057f,200,observed
controller_id,lqr_mild_turn_left_4ab87b601632,200,observed
controller_id,lqr_mild_turn_right_3bce3a6800ba,200,observed
controller_id,lqr_mild_turn_right_3b764272f9c4,200,observed
controller_id,lqr_mild_turn_right_7806b27ff4ab,200,observed
controller_id,lqr_mild_turn_right_50e6346b38df,200,observed
controller_id,lqr_mild_turn_right_a3a251995b23,200,observed
controller_id,lqr_mild_turn_right_04b018929d22,200,observed
controller_id,lqr_recovery_12fee595bd88,200,observed
controller_id,lqr_recovery_2f20c9c977a6,200,observed
controller_id,lqr_recovery_24514392aebf,200,observed
controller_id,lqr_recovery_9932a2a0538f,200,observed
controller_id,lqr_recovery_a01beb93c02d,200,observed
controller_id,lqr_recovery_ca0d499926d9,200,observed
controller_id,lqr_safe_exit_or_recovery_handoff_a61ff41a8a70,200,observed
controller_id,lqr_safe_exit_or_recovery_handoff_970e50c227c9,200,observed
controller_id,lqr_safe_exit_or_recovery_handoff_d28c80af247e,200,observed
controller_id,lqr_safe_exit_or_recovery_handoff_b8e8e3624b5e,200,observed
controller_id,lqr_safe_exit_or_recovery_handoff_6421e330d9dd,200,observed
controller_id,lqr_safe_exit_or_recovery_handoff_5ad73af053f1,200,observed
W_layer,W0,4800,observed
W_layer,W1,4800,observed
start_state_family,launch_gate,3840,observed
start_state_family,inflight_nominal,2880,observed
start_state_family,inflight_lift_region,960,observed
start_state_family,inflight_boundary_near,960,observed
start_state_family,inflight_recovery_edge,960,observed
stage_label,stage_d,9600,observed
boundary_use_class,hard_failure,6163,observed
boundary_use_class,episode_terminal_useful,2079,observed
boundary_use_class,continuation_valid,1358,observed
continuation_valid,False,8242,observed
continuation_valid,True,1358,observed
episode_terminal_useful,False,7521,observed
episode_terminal_useful,True,2079,observed
candidate_weight_label,energy_retaining_bank_r61_diagnostic_exploit_025,200,observed
candidate_weight_label,energy_retaining_bank_r61_diagnostic_exploit_024,200,observed
candidate_weight_label,energy_retaining_bank_r61_diagnostic_exploit_030,200,observed
candidate_weight_label,energy_retaining_bank_r61_diagnostic_exploit_029,200,observed
candidate_weight_label,energy_retaining_bank_r61_diagnostic_exploit_027,200,observed
candidate_weight_label,energy_retaining_bank_r61_diagnostic_exploit_028,200,observed
candidate_weight_label,glide_r61_conservative_high_r_015,200,observed
candidate_weight_label,glide_r61_conservative_high_r_013,200,observed
candidate_weight_label,glide_r61_conservative_high_r_014,200,observed
candidate_weight_label,glide_r61_diagnostic_exploit_030,200,observed
candidate_weight_label,glide_r61_conservative_high_r_011,200,observed
candidate_weight_label,glide_r61_diagnostic_exploit_029,200,observed
candidate_weight_label,lift_dwell_arc_r61_diagnostic_exploit_026,200,observed
candidate_weight_label,lift_dwell_arc_r61_conservative_high_r_013,200,observed
candidate_weight_label,lift_dwell_arc_r61_diagnostic_exploit_025,200,observed
candidate_weight_label,lift_dwell_arc_r61_conservative_high_r_015,200,observed
candidate_weight_label,lift_dwell_arc_r61_conservative_high_r_011,200,observed
candidate_weight_label,lift_dwell_arc_r61_local_004,200,observed
candidate_weight_label,lift_entry_r61_diagnostic_exploit_025,200,observed
candidate_weight_label,lift_entry_r61_conservative_high_r_013,200,observed
candidate_weight_label,lift_entry_r61_conservative_high_r_015,200,observed
candidate_weight_label,lift_entry_r61_diagnostic_exploit_029,200,observed
candidate_weight_label,lift_entry_r61_conservative_high_r_014,200,observed
candidate_weight_label,lift_entry_r61_diagnostic_exploit_030,200,observed
candidate_weight_label,mild_turn_left_r61_diagnostic_exploit_026,200,observed
candidate_weight_label,mild_turn_left_r61_diagnostic_exploit_030,200,observed
candidate_weight_label,mild_turn_left_r61_conservative_high_r_015,200,observed
candidate_weight_label,mild_turn_left_r61_diagnostic_exploit_025,200,observed
candidate_weight_label,mild_turn_left_r61_conservative_high_r_013,200,observed
candidate_weight_label,mild_turn_left_r61_diagnostic_exploit_029,200,observed
candidate_weight_label,mild_turn_right_r61_diagnostic_exploit_026,200,observed
candidate_weight_label,mild_turn_right_r61_conservative_high_r_015,200,observed
candidate_weight_label,mild_turn_right_r61_conservative_high_r_013,200,observed
candidate_weight_label,mild_turn_right_r61_local_004,200,observed
candidate_weight_label,mild_turn_right_r61_diagnostic_exploit_025,200,observed
candidate_weight_label,mild_turn_right_r61_conservative_high_r_009,200,observed
candidate_weight_label,recovery_r61_conservative_high_r_015,200,observed
candidate_weight_label,recovery_r61_conservative_high_r_013,200,observed
candidate_weight_label,recovery_r61_conservative_high_r_014,200,observed
candidate_weight_label,recovery_r61_conservative_high_r_012,200,observed
candidate_weight_label,recovery_r61_diagnostic_exploit_026,200,observed
candidate_weight_label,recovery_r61_conservative_high_r_011,200,observed
candidate_weight_label,safe_exit_or_recovery_handoff_r61_conservative_high_r_010,200,observed
candidate_weight_label,safe_exit_or_recovery_handoff_r61_conservative_high_r_012,200,observed
candidate_weight_label,safe_exit_or_recovery_handoff_r61_conservative_high_r_008,200,observed
candidate_weight_label,safe_exit_or_recovery_handoff_r61_local_007,200,observed
candidate_weight_label,safe_exit_or_recovery_handoff_r61_conservative_high_r_009,200,observed
candidate_weight_label,safe_exit_or_recovery_handoff_r61_local_006,200,observed
