case_id,primitive_id,start_state_family,environment_mode,candidate_index,candidate_weight_label,segment_index,local_lqr_reference_speed_m_s,local_lqr_speed_bin_id,time_s,speed_m_s,command_aileron_norm,command_elevator_norm,command_rudder_norm,applied_aileron_rad,applied_elevator_rad,applied_rudder_rad,raw_aileron_rad,raw_elevator_rad,raw_rudder_rad,saturation_applied,x_w,y_w,z_w,phi,theta,psi,u,v,w,p,q,r,delta_a,delta_e,delta_r
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,0,5.5,speed_bin_5p5_m_s,0.02,5.507081627892837,0.0,-0.031889234951110755,0.0,0.01112682953411338,-0.030516786806380824,-0.0019303061596717824,-0.36725663100982253,0.10950961983208775,0.004360382827476847,False,2.1085946390846817,2.2137100709488973,2.1885799448563317,0.009322612604185616,-0.0875867674722197,0.12499262831807827,5.504507508935337,0.00827099339125993,0.16815686431908614,0.7682874195060148,0.05450266246323836,0.005069478428664152,0.13852184821043464,0.01197050090530578,-0.04602969958981515
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,0,5.5,speed_bin_5p5_m_s,0.04,5.52066571205628,0.0,-0.031889234951110755,0.0,0.01112682953411338,-0.030516786806380824,-0.0019303061596717824,-0.36725663100982253,0.10950961983208775,0.004360382827476847,False,2.217071162286927,2.2275245229199134,2.174400138392354,0.026079636928375973,-0.08608157996836596,0.1249138977775695,5.513121382597447,0.019220021238118515,0.28787691085652617,0.8446108259903643,0.08557496424450062,-0.016040365324941058,0.09638031357133532,-0.002084047894381425,-0.031441875551565864
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,0,5.5,speed_bin_5p5_m_s,0.06,5.53700015014353,0.0,-0.031889234951110755,0.0,0.01112682953411338,-0.030516786806380824,-0.0019303061596717824,-0.05141265349564869,-0.0012289074742089408,-0.022276204477056916,False,2.325590096906532,2.2414338552278767,2.1583820185461216,0.04201887562472843,-0.08439493894101409,0.12444276509507024,5.524524216907986,0.03469537752358896,0.3698635833184608,0.7248256008153833,0.07673114709044215,-0.03623512092060792,0.06817895461720958,-0.011489433318350107,-0.02167961925061486
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,0,5.5,speed_bin_5p5_m_s,0.08,5.554276518921593,0.0,-0.031889234951110755,0.0,0.01112682953411338,-0.030516786806380824,-0.0019303061596717824,0.2829697142883898,-0.1075135183772805,-0.0744462687288838,False,2.434251822463788,2.255475886078617,2.1411532190104348,0.054948258443579465,-0.08305167582711312,0.12361719834381665,5.537823473813111,0.05371286918710773,0.42380862333362457,0.5580210719403104,0.05175016724484287,-0.051431432024501234,0.04930644193653595,-0.0177835716954833,-0.015146660816541584
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,0,5.5,speed_bin_5p5_m_s,0.1,5.571814121632662,0.0,-0.031889234951110755,0.0,0.01112682953411338,-0.030516786806380824,-0.0019303061596717824,0.3133221671173718,-0.11460034293840028,-0.11385715051591645,False,2.543117420285375,2.269699418626533,2.1231286848180186,0.06460538741519366,-0.08224031678905022,0.12253775818568854,5.5524756349602855,0.07476507312148611,0.4577522397964563,0.4019331405030486,0.022542828446459526,-0.059573703511256765,0.03667684719035511,-0.021995645536661893,-0.01077476721063703
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,1,5.5,speed_bin_5p5_m_s,0.12000000000000001,5.5896132180696325,-0.8093174982713932,0.2852017742027621,0.008922554752705139,-0.37744509627867473,0.08757690570588268,0.0024625496991102797,0.026472478747716056,-0.011599618490488618,-0.11360211435917286,False,2.652221977331612,2.284126596786421,2.1045267194340647,0.06916060727248632,-0.08151265190989077,0.12134654761465807,5.567492776232596,0.09289638248191295,0.488027024188609,-0.052335486499406725,0.06212094407803016,-0.06348200598172957,-0.10031229419712509,0.014250320056500159,-0.006395939412839183
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,1,5.5,speed_bin_5p5_m_s,0.13999999999999999,5.604946077311846,-0.8093174982713932,0.2852017742027621,0.008922554752705139,-0.37744509627867473,0.08757690570588268,0.0024625496991102797,-0.4973758826944226,0.22498424985673227,-0.031092742373659554,True,2.7615417109323084,2.2986976324037443,2.085292594476348,0.06173876473320552,-0.07923113802347449,0.12030124827743441,5.578434444830029,0.10273067447006223,0.5347299157801575,-0.6975366204879538,0.15929888069209236,-0.05215464959247146,-0.1919862206967411,0.03850633007335562,-0.0034656024998254154
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,1,5.5,speed_bin_5p5_m_s,0.16,5.62001257453806,-0.11329723303343033,-0.002347040389475146,-0.03646664286016544,-0.04326977516440185,-0.01604289314340018,-0.02437240797051015,-0.6732117356849185,0.3301165650652109,0.03417280213655424,True,2.8710368718145105,2.313386268048279,2.065440789287371,0.043241574032101715,-0.07519999175300271,0.11972725571450607,5.58927283177424,0.10336181686325177,0.5778294599369309,-1.080738151730705,0.23152777512058642,-0.024159266325724706,-0.14279168149165625,0.020461762839800605,-0.010381452711946234
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,1,5.5,speed_bin_5p5_m_s,0.18,5.6372829262671535,0.7369531981248856,-0.20533569478734626,-0.12187019996176576,0.3105198902540797,-0.11549509167308346,-0.0769309977708208,-0.0817081240574139,0.022104559569722664,-0.04347257705779332,False,2.9808221543222846,2.3282501317093276,2.0454793483862894,0.02261949285781478,-0.07062985571470826,0.11972962276419376,5.604773276340838,0.10053156046822474,0.5961281044780324,-0.8443690533977666,0.19975248702071552,0.009591796573765996,0.007161162045845326,-0.024511977526255113,-0.03239565693637037
same_start_glide,glide,inflight_nominal,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,1,5.5,speed_bin_5p5_m_s,0.19999999999999998,5.651656211198752,0.8160017183508212,-0.21887053270407344,-0.1863866911985079,0.3426339762992242,-0.12212634597423791,-0.1166353837864207,0.625717378957693,-0.4653413312360379,-0.19681722254859363,True,3.0909668512998167,2.343356792211118,2.025835356572514,0.01170386507986467,-0.06793348492065604,0.12014415369049838,5.619688110651721,0.10195960192619191,0.5915468773953365,-0.22090419398605032,0.05007073715601598,0.021047186705467475,0.11813362681901145,-0.05680224548152065,-0.06026167088201214
