ix,iy,x_w_m,y_w_m,W_layer,environment_mode,seed,w_wing_mean_m_s
0,0,1.875,0.55,W1,gaussian_single,2442000,-0.011346464985826444
0,0,1.875,0.55,W1,gaussian_four,2442001,0.2539390400288118
0,0,1.875,0.55,W2,annular_gp_single,2442002,-0.00011210824005733858
0,0,1.875,0.55,W2,annular_gp_four,2442003,0.22306166463075894
0,0,1.875,0.55,W3,w3_randomised_single,2442004,-0.0001047942448953616
0,0,1.875,0.55,W3,w3_randomised_four,2442005,0.27391798943152296
0,1,1.875,1.6500000000000001,W1,gaussian_single,2442017,-0.011252222762757856
0,1,1.875,1.6500000000000001,W1,gaussian_four,2442018,0.3020206175944157
0,1,1.875,1.6500000000000001,W2,annular_gp_single,2442019,0.0002337369448574367
0,1,1.875,1.6500000000000001,W2,annular_gp_four,2442020,0.09371848147426923
0,1,1.875,1.6500000000000001,W3,w3_randomised_single,2442021,8.584374315342448e-05
0,1,1.875,1.6500000000000001,W3,w3_randomised_four,2442022,0.20997510850741213
0,2,1.875,2.75,W1,gaussian_single,2442034,-0.01116800525010042
0,2,1.875,2.75,W1,gaussian_four,2442035,0.2330671583739767
0,2,1.875,2.75,W2,annular_gp_single,2442036,0.00014176855562174213
0,2,1.875,2.75,W2,annular_gp_four,2442037,-0.010538743270654018
0,2,1.875,2.75,W3,w3_randomised_single,2442038,0.0002248459455517806
0,2,1.875,2.75,W3,w3_randomised_four,2442039,0.006137019746596906
0,3,1.875,3.85,W1,gaussian_single,2442051,-0.01133784762781046
0,3,1.875,3.85,W1,gaussian_four,2442052,0.3704655130787619
0,3,1.875,3.85,W2,annular_gp_single,2442053,4.900758859244215e-05
0,3,1.875,3.85,W2,annular_gp_four,2442054,0.030412154488468415
0,3,1.875,3.85,W3,w3_randomised_single,2442055,1.6518979041038016e-05
0,3,1.875,3.85,W3,w3_randomised_four,2442056,0.3573914172103208
1,0,3.2249999999999996,0.55,W1,gaussian_single,2442101,-0.007936575216824966
1,0,3.2249999999999996,0.55,W1,gaussian_four,2442102,0.8711856101014243
1,0,3.2249999999999996,0.55,W2,annular_gp_single,2442103,-0.0017112872157786653
1,0,3.2249999999999996,0.55,W2,annular_gp_four,2442104,0.9694359232889842
1,0,3.2249999999999996,0.55,W3,w3_randomised_single,2442105,-0.0013090821996974606
1,0,3.2249999999999996,0.55,W3,w3_randomised_four,2442106,1.344833386255624
1,1,3.2249999999999996,1.6500000000000001,W1,gaussian_single,2442118,0.22459796829881523
1,1,3.2249999999999996,1.6500000000000001,W1,gaussian_four,2442119,1.1036716945606975
1,1,3.2249999999999996,1.6500000000000001,W2,annular_gp_single,2442120,0.24276874117113598
1,1,3.2249999999999996,1.6500000000000001,W2,annular_gp_four,2442121,1.436406564141272
1,1,3.2249999999999996,1.6500000000000001,W3,w3_randomised_single,2442122,0.2826638238983577
1,1,3.2249999999999996,1.6500000000000001,W3,w3_randomised_four,2442123,1.2391823201718728
1,2,3.2249999999999996,2.75,W1,gaussian_single,2442135,0.43239740494376666
1,2,3.2249999999999996,2.75,W1,gaussian_four,2442136,0.9132967264358857
1,2,3.2249999999999996,2.75,W2,annular_gp_single,2442137,0.12847665886914458
1,2,3.2249999999999996,2.75,W2,annular_gp_four,2442138,1.1299809707742872
1,2,3.2249999999999996,2.75,W3,w3_randomised_single,2442139,1.7419457226691384
1,2,3.2249999999999996,2.75,W3,w3_randomised_four,2442140,1.2733450881324784
1,3,3.2249999999999996,3.85,W1,gaussian_single,2442152,0.013326011204756056
1,3,3.2249999999999996,3.85,W1,gaussian_four,2442153,1.7280363136819687
1,3,3.2249999999999996,3.85,W2,annular_gp_single,2442154,0.002573984329089661
1,3,3.2249999999999996,3.85,W2,annular_gp_four,2442155,1.732816661958269
1,3,3.2249999999999996,3.85,W3,w3_randomised_single,2442156,-0.0019375549363276226
1,3,3.2249999999999996,3.85,W3,w3_randomised_four,2442157,1.6773546620817859
2,0,4.575,0.55,W1,gaussian_single,2442202,0.0027673725075209087
2,0,4.575,0.55,W1,gaussian_four,2442203,0.39870389161640213
2,0,4.575,0.55,W2,annular_gp_single,2442204,0.009870427077911859
2,0,4.575,0.55,W2,annular_gp_four,2442205,0.3813489737718194
2,0,4.575,0.55,W3,w3_randomised_single,2442206,0.03846838553349043
2,0,4.575,0.55,W3,w3_randomised_four,2442207,0.1312976371060476
2,1,4.575,1.6500000000000001,W1,gaussian_single,2442219,0.9649527266402624
2,1,4.575,1.6500000000000001,W1,gaussian_four,2442220,0.5543686034497367
2,1,4.575,1.6500000000000001,W2,annular_gp_single,2442221,1.0066955602463838
2,1,4.575,1.6500000000000001,W2,annular_gp_four,2442222,1.095955210501243
2,1,4.575,1.6500000000000001,W3,w3_randomised_single,2442223,0.25938979006657215
2,1,4.575,1.6500000000000001,W3,w3_randomised_four,2442224,1.186507880213525
2,2,4.575,2.75,W1,gaussian_single,2442236,1.8247887385889938
2,2,4.575,2.75,W1,gaussian_four,2442237,0.5630281259984852
2,2,4.575,2.75,W2,annular_gp_single,2442238,2.127669121278485
2,2,4.575,2.75,W2,annular_gp_four,2442239,0.6523670397233651
2,2,4.575,2.75,W3,w3_randomised_single,2442240,3.0562248462729014
2,2,4.575,2.75,W3,w3_randomised_four,2442241,0.6402548571218657
2,3,4.575,3.85,W1,gaussian_single,2442253,0.09074806103886125
2,3,4.575,3.85,W1,gaussian_four,2442254,0.8347402083254597
2,3,4.575,3.85,W2,annular_gp_single,2442255,0.0008332782640835429
2,3,4.575,3.85,W2,annular_gp_four,2442256,1.2446602812520866
2,3,4.575,3.85,W3,w3_randomised_single,2442257,-0.00247300393834358
2,3,4.575,3.85,W3,w3_randomised_four,2442258,1.4700763365927314
3,0,5.925,0.55,W1,gaussian_single,2442303,-0.011249901172280523
3,0,5.925,0.55,W1,gaussian_four,2442304,0.6410222197404022
3,0,5.925,0.55,W2,annular_gp_single,2442305,4.0048996181535476e-05
3,0,5.925,0.55,W2,annular_gp_four,2442306,0.4517817146593794
3,0,5.925,0.55,W3,w3_randomised_single,2442307,7.804962454039489e-05
3,0,5.925,0.55,W3,w3_randomised_four,2442308,0.3022906756102989
3,1,5.925,1.6500000000000001,W1,gaussian_single,2442320,-0.004573240327173519
3,1,5.925,1.6500000000000001,W1,gaussian_four,2442321,0.9049226133845457
3,1,5.925,1.6500000000000001,W2,annular_gp_single,2442322,0.00209173284763715
3,1,5.925,1.6500000000000001,W2,annular_gp_four,2442323,1.0801445346212837
3,1,5.925,1.6500000000000001,W3,w3_randomised_single,2442324,0.001528155637328993
3,1,5.925,1.6500000000000001,W3,w3_randomised_four,2442325,0.5533305478718465
3,2,5.925,2.75,W1,gaussian_single,2442337,0.0013932124041357318
3,2,5.925,2.75,W1,gaussian_four,2442338,0.7165002117775754
3,2,5.925,2.75,W2,annular_gp_single,2442339,0.0005442700488915192
3,2,5.925,2.75,W2,annular_gp_four,2442340,0.5462512566711879
3,2,5.925,2.75,W3,w3_randomised_single,2442341,-0.0008441277422396104
3,2,5.925,2.75,W3,w3_randomised_four,2442342,0.7088129903051866
3,3,5.925,3.85,W1,gaussian_single,2442354,-0.010639397992493277
3,3,5.925,3.85,W1,gaussian_four,2442355,1.0488633593987142
3,3,5.925,3.85,W2,annular_gp_single,2442356,0.0006837573989462477
3,3,5.925,3.85,W2,annular_gp_four,2442357,0.9587264051452759
3,3,5.925,3.85,W3,w3_randomised_single,2442358,0.0002961896565635384
3,3,5.925,3.85,W3,w3_randomised_four,2442359,0.399795099335275
