split,stage_fit_group,count,alpha_min_deg,alpha_max_deg,cm_residual_mean,cm_residual_mae,cm_fit_residual_mae,cd_residual_mean,cl_residual_mean,q_hat_mean
train,attached,130,4.304962216,11.9860877,0.02801963042,0.02929435801,0.018539157,-0.007813089673,0.07379117816,0.02250186775
train,transition_before_post_stall,510,12.01132215,19.99809223,0.05938732049,0.06275054514,0.0343749647,0.07468535315,0.2515934175,0.02485322291
train,transition_after_post_stall,28,18.11061568,19.93789871,-0.1047882232,0.1047882232,0.03523652257,0.03712315163,0.507954804,-0.03921968541
train,post_stall,2851,20.00903331,82.70553372,-0.1553054502,0.1657453289,0.09428891455,-0.1288800597,-0.0009819706052,-0.01860939818
heldout,attached,73,5.589115637,11.98625603,0.03198633898,0.03342406075,0.02572712739,-0.04055204214,0.04623305647,0.02138908597
heldout,transition_before_post_stall,210,12.0035553,19.98542245,0.06453617963,0.06890714004,0.03746951605,0.07134239253,0.1952624464,0.02521598131
heldout,transition_after_post_stall,57,16.32511543,19.96247594,-0.1982990817,0.1982990817,0.09316569473,0.06065449361,0.6818922984,-0.03387441455
heldout,post_stall,1420,20.00976874,78.53102008,-0.1419769708,0.1559549226,0.09174787569,-0.0566874565,0.05042874448,-0.01882968203
