start_class,fraction_requested,pilot_sample_count,minimum_archive_count_reference,x_range_m,y_range_m,z_range_m,speed_range_m_s,phi_range_deg,theta_range_deg,psi_range_deg,p_range_rad_s,q_range_rad_s,r_range_rad_s,updraft_radius_range_m,special_rule,test_environment_mode,no_rollout_performed
favourable,0.25,136,500,"[2, 4.4]","[1.4, 3]","[1.2, 2.2]","[6, 7]","[-5, 5]","[-4, 4]","[-25, 25]","[-0.15, 0.15]","[-0.15, 0.15]","[-0.15, 0.15]","[0.8, 1.8]",clean mission-corridor starts safely away from walls,W0_dry_air,True
mid_arena,0.2,136,400,"[2.4, 5.4]","[1, 3.4]","[1.1, 2.6]","[5.6, 7.2]","[-8, 8]","[-6, 6]","[-60, 60]","[-0.25, 0.25]","[-0.25, 0.25]","[-0.25, 0.25]","[0.5, 1.8]",neutral centre-arena starts without immediate boundary pressure,W0_dry_air,True
lift_sector,0.35,272,700,"[1.35, 6.45]","[0.1, 4.3]","[1, 2.7]","[5.2, 7.1]","[-10, 10]","[-8, 8]","[-180, 180]","[-0.35, 0.35]","[-0.35, 0.35]","[-0.35, 0.35]","[0, 1.4]",use measured/fitted fan centres; at least half labelled edge or ring,W0_dry_air,True
random_stress,0.2,136,400,"[1.3, 6.5]","[0.1, 4.3]","[0.7, 3.1]","[4.8, 7.4]","[-18, 18]","[-12, 12]","[-180, 180]","[-0.6, 0.6]","[-0.6, 0.6]","[-0.6, 0.6]","[0, 2.1]","safe boundary-near starts with poor heading, low speed, and rates",W0_dry_air,True
