sample_id,seed,sampling_round,start_class,family,target_heading_deg,direction_sign,environment_role,test_environment_mode,count_basis,x_w_m,y_w_m,z_w_m,speed_m_s,phi_rad,theta_rad,psi_rad,u_m_s,v_m_s,w_m_s,p_rad_s,q_rad_s,r_rad_s,updraft_config,updraft_center_x_m,updraft_center_y_m,updraft_relative_radius_m,updraft_relative_azimuth_rad,updraft_relative_height_m,updraft_sector_label,left_wing_lift_exposure_preference,right_wing_lift_exposure_preference,wing_exposure_bookkeeping_status,true_safe_start,start_generation_status,no_rollout_performed
s007_pilot_000001,312514486,pilot_round_0,favourable,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,2.980399160797496,2.8216978348168182,2.061602748862638,6.875671504873701,0.0865368401884742,-0.006787494386732808,0.037782487082518745,6.875671504873701,0.0,0.0,0.004123752895911992,0.13376389541451658,0.09168434488029178,none,4.2,2.4,1.2904477017193083,2.808693765260351,2.061602748862638,favourable_reference,higher_reference_lift,lower_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000002,1016999025,pilot_round_0,favourable,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,2.222140114827402,2.1856340482456647,1.5980281624705377,6.517791332166319,0.029602195632952147,0.03170440822560766,0.374485509710724,6.517791332166319,0.0,0.0,0.07739876748203817,0.04041533968373778,-0.0936618051768223,none,4.2,2.4,1.98944275782102,-3.0336312924705147,1.5980281624705377,favourable_reference,lower_reference_lift,higher_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000003,622484892,pilot_round_0,mid_arena,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,3.828188265180418,3.3438919185386458,2.4130979032962223,5.834186874699532,-0.11016663613795197,-0.05361080424580886,0.9656120987538751,5.834186874699532,0.0,0.0,0.09443313849538582,0.15399565152589867,-0.21421861290136374,none,4.2,2.4,1.0144830802098737,1.9460447025308119,2.4130979032962223,mid_arena_reference,higher_reference_lift,lower_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000004,442539856,pilot_round_0,mid_arena,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,4.303150933180325,1.9089919693998325,2.299553038978834,6.593429763691626,-0.04022906340263879,-0.014255754339828869,0.5571231426617621,6.593429763691626,0.0,0.0,0.0783360811990515,-0.06113892235624896,-0.1479677387671422,none,4.2,2.4,0.5017260219779582,-1.363727578895038,2.299553038978834,mid_arena_reference,lower_reference_lift,higher_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000005,1217828277,pilot_round_0,lift_sector,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,3.1166449548363584,2.164169527537242,1.095307775922799,7.09529380244786,-0.11879591867988235,-0.01999450076282383,-1.1927041959211426,7.09529380244786,0.0,0.0,-0.0040864098602229615,0.16165939362652249,-0.052874266045003226,none,3.0,1.2,0.9711997339992247,1.450401705436742,1.095307775922799,edge_ring_reference,higher_reference_lift,lower_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000006,68310972,pilot_round_0,lift_sector,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,4.39621114874902,4.039457160567146,1.1717446378903416,5.30186692450348,-0.05262873861846249,-0.04271177232829003,-2.2375105455411797,5.30186692450348,0.0,0.0,5.656262555464586e-05,-0.16307535016558047,-0.1017068325287751,none,5.4,3.6,1.0957712598300342,2.7289317727981977,1.1717446378903416,edge_ring_reference,higher_reference_lift,lower_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000007,1896920614,pilot_round_0,lift_sector,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,5.294382349431501,1.1472468696688403,2.5346525100402593,6.093594895525993,-0.054753483303781096,-0.042580836048915036,1.6387391541094636,6.093594895525993,0.0,0.0,0.3134942655096381,0.3210470769087428,0.00408324199291954,none,5.4,1.2,0.11805922611700413,-2.6783669945166775,2.5346525100402593,core_reference,lower_reference_lift,higher_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000008,745000680,pilot_round_0,lift_sector,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,3.124135235988822,1.4636536935690039,1.8818412455557674,6.036987685186166,-0.03783796796777336,0.009918847506673859,2.035451415108268,6.036987685186166,0.0,0.0,0.030205646774689177,0.16945861000556617,-0.2660479264845536,none,3.0,1.2,0.29141521399298764,1.1307584151722183,1.8818412455557674,core_reference,higher_reference_lift,lower_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000009,881305002,pilot_round_0,random_stress,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,6.189508798354193,4.338764815989645,2.2388817483297694,6.986178228396006,-0.10109621418408081,-0.00827272369581887,1.207510574708572,6.986178228396006,0.0,0.0,-0.05708826654654264,0.12886292020019363,-0.5628073615023649,none,4.2,2.4,2.7779406527944595,0.7724812525197381,2.2388817483297694,random_stress_reference,higher_reference_lift,lower_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
s007_pilot_000010,2091506180,pilot_round_0,random_stress,mild_bank,15.0,-1,dry_air_capable,W0_dry_air,per_turning_family_target_direction_all_start_classes,6.455670693715814,2.099692215553828,0.704942654761211,6.2199753475438335,0.09950493722230512,0.019955783010137174,2.7717915895125436,6.2199753475438335,0.0,0.0,-0.1747465056687964,-0.560081323749016,-0.21741820218504793,none,4.2,2.4,2.275573563716926,-0.1323562516621797,0.704942654761211,random_stress_reference,lower_reference_lift,higher_reference_lift,geometry_only_w0_no_wind_query,True,generated_inside_true_safe_bounds,True
