surface_index,surface_name,command_level_norm,lookup_deflection_deg,lookup_std_deg,lookup_min_deg,lookup_max_deg,valid_hold_count,direction_groups,sweep_phases
1,Aileron_L,-0.75,19.5254926201851,0.313675715371363,19.2144461998119,19.8417903045348,3,negative_first|positive_first,outbound|return
1,Aileron_L,-0.5,17.068678065707,2.06498991554658,15.3078560869267,19.3778452951231,4,negative_first|positive_first,outbound|return
1,Aileron_L,-0.25,12.006218968031,1.46897518361603,9.9362700292184,12.9335186205905,4,negative_first|positive_first,outbound|return
1,Aileron_L,0,0,0.882888689790912,-1.44953001023164,1.14742840657131,8,negative_first|positive_first,outbound|return
1,Aileron_L,0.25,-6.20304692182203,2.80079507976572,-8.50588020414147,-3.27064906653571,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.5,-11.3538384082039,0.956092120526132,-12.5726334276829,-10.4772634714811,4,negative_first|positive_first,outbound|return
1,Aileron_L,0.75,-18.3639949539363,3.03664011500742,-21.235025093831,-15.7794893566283,4,negative_first|positive_first,outbound|return
1,Aileron_L,1,-23.3210765707979,0.159957289368922,-23.4341834548109,-23.2079696867849,2,negative_first|positive_first,outbound
2,Aileron_R,-1,-29.860882994689,0.282001613536375,-30.0602882479261,-29.6614777414519,2,negative_first|positive_first,outbound
2,Aileron_R,-0.75,-22.9564449338619,1.04476504947052,-23.9260728642481,-21.9796629615659,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.5,-12.9199928589105,0.300305380899672,-13.1681380148902,-12.4598201691881,4,negative_first|positive_first,outbound|return
2,Aileron_R,-0.25,-8.48783622000191,0.320456066660622,-8.71443287781,-8.26123956219381,2,negative_first|positive_first,outbound
2,Aileron_R,0,0,5.55378489401043,-14.0274654207621,0.366090779695107,7,negative_first|positive_first,outbound|return
2,Aileron_R,0.25,4.01901284800158,2.48352881669957,0.729603220101739,5.5974407298992,3,negative_first|positive_first,outbound|return
2,Aileron_R,0.5,6.113370005041,0.773608593669334,4.94604814014992,6.81022261851457,4,negative_first|positive_first,outbound|return
2,Aileron_R,0.75,10.4458820617234,1.99919720250406,8.92036414219295,12.7199495586472,4,negative_first|positive_first,outbound|return
2,Aileron_R,1,13.5303342918754,1.3164988725897,12.5994290116428,14.461239572108,2,negative_first|positive_first,outbound
3,Rudder,-1,-33.3398335377826,0,-33.3398335377826,-33.3398335377826,1,positive_first,outbound
3,Rudder,-0.75,-65.3971556730771,21.476482287652,-65.7866362146584,-28.3950667371156,3,negative_first|positive_first,outbound|return
3,Rudder,-0.5,-66.8490767745379,0,-66.8490767745379,-66.8490767745379,1,positive_first,return
3,Rudder,-0.25,-9.48927118023357,9.44431617511809,-18.9608191631229,-1.76024507598764,4,negative_first|positive_first,outbound|return
3,Rudder,0,0,15.0469177455647,-1.70841956329466,39.6303037655316,7,negative_first|positive_first,outbound|return
3,Rudder,0.25,23.35190055904,13.4071498915445,11.6562083316442,35.3663306982754,4,negative_first|positive_first,outbound|return
3,Rudder,0.5,23.0697539598201,2.76028787224736,21.117935687327,25.0215722323132,2,negative_first|positive_first,return
3,Rudder,0.75,21.610245728302,4.40808610522835,16.7811701159823,25.5834845996095,3,negative_first|positive_first,outbound|return
3,Rudder,1,21.0033195156057,5.1090261637079,17.3906924699884,24.6159465612231,2,negative_first|positive_first,outbound
4,Elevator,-1,-0.723288128830255,0.0635152436891123,-0.768200188351542,-0.678376069308968,2,negative_first|positive_first,outbound
4,Elevator,-0.75,-0.497633182170861,0.250035131639313,-0.77495430210641,-0.250454945673788,4,negative_first|positive_first,outbound|return
4,Elevator,-0.5,-0.470069667383322,0.0348097765704678,-0.47990997250952,-0.40450859184829,4,negative_first|positive_first,outbound|return
4,Elevator,-0.25,-0.404949876223466,0.231860115675612,-0.52160661675391,-0.0268876918489784,4,negative_first|positive_first,outbound|return
4,Elevator,0,-2.08166817117217e-17,0.179222967060081,-0.155452684964202,0.236527651460133,8,negative_first|positive_first,outbound|return
4,Elevator,0.25,0.344725466468182,0.0694155421822031,0.291223120200727,0.446946473900684,4,negative_first|positive_first,outbound|return
4,Elevator,0.5,0.738471515544749,0.133624262568928,0.528008586036643,0.839473614067429,4,negative_first|positive_first,outbound|return
4,Elevator,0.75,0.838605522457617,0.0175289171338942,0.831747913014287,0.870180746803344,4,negative_first|positive_first,outbound|return
4,Elevator,1,1.1345295390085,0.107494365337782,1.05851954433881,1.21053953367819,2,negative_first|positive_first,outbound
