episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,governor_config_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,episode_counted_for_claim,primitive_count,episode_duration_s,continuation_valid,episode_terminal_useful,hard_failure,termination_cause,no_viable_primitive,x_y_terminal,governor_rejection_count,prediction_actual_agreement_rate,belief_update_count_before,belief_update_count_after,observed_lift_evidence_m_s,energy_residual_m,lift_dwell_time_s,minimum_wall_margin_m,floor_margin_m,ceiling_margin_m,minimum_speed_m_s,claim_status
v49_r002_no_memory_baseline_p00000_rep00,0,0,0,v410_run002_seed00612_r00_e00000,612011,1224017,no_memory_baseline,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,False,False,W2,annular_gp_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,7.395216093446748e-05,-0.3564284041376675,0.0,0.11336757137607312,0.76715970045092,1.9553630448309716,3.8494151592037493,simulation_only_paired_full_loop_validation_episode
v49_r002_static_map_baseline_p00000_rep00,1,0,0,v410_run002_seed00612_r00_e00000,612011,1224017,static_map_baseline,v410_cfg_001_b0.05_h0.75_tb0.05,0.8,True,False,W2,annular_gp_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,7.395216093446748e-05,-0.3564284041376675,0.0,0.11336757137607312,0.76715970045092,1.9553630448309716,3.8494151592037493,simulation_only_paired_full_loop_validation_episode
v49_r002_context_only_without_memory_p00000_rep00,2,0,0,v410_run002_seed00612_r00_e00000,612011,1224017,context_only_without_memory,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,False,False,W2,annular_gp_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,0,7.395216093446748e-05,-0.3564284041376675,0.0,0.11336757137607312,0.76715970045092,1.9553630448309716,3.8494151592037493,simulation_only_paired_full_loop_validation_episode
v49_r002_context_plus_memory_lambda_0_5_p00000_rep00,3,0,0,v410_run002_seed00612_r00_e00000,612011,1224017,context_plus_memory_lambda_0_5,v410_cfg_001_b0.05_h0.75_tb0.05,0.5,True,True,W2,annular_gp_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,1,7.395216093446748e-05,-0.3564284041376675,0.0,0.11336757137607312,0.76715970045092,1.9553630448309716,3.8494151592037493,simulation_only_paired_full_loop_validation_episode
v49_r002_context_plus_memory_lambda_0_8_p00000_rep00,4,0,0,v410_run002_seed00612_r00_e00000,612011,1224017,context_plus_memory_lambda_0_8,v410_cfg_001_b0.05_h0.75_tb0.05,0.8,True,True,W2,annular_gp_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,1,7.395216093446748e-05,-0.3564284041376675,0.0,0.11336757137607312,0.76715970045092,1.9553630448309716,3.8494151592037493,simulation_only_paired_full_loop_validation_episode
v49_r002_context_plus_memory_lambda_0_95_p00000_rep00,5,0,0,v410_run002_seed00612_r00_e00000,612011,1224017,context_plus_memory_lambda_0_95,v410_cfg_001_b0.05_h0.75_tb0.05,0.95,True,True,W2,annular_gp_single,True,1,0.6,False,False,True,hard_failure,False,False,25,0.6666666666666666,0,1,7.395216093446748e-05,-0.3564284041376675,0.0,0.11336757137607312,0.76715970045092,1.9553630448309716,3.8494151592037493,simulation_only_paired_full_loop_validation_episode
v49_r002_no_memory_baseline_p00001_rep00,6,1,0,v410_run002_seed00612_r00_e00001,612048,1224058,no_memory_baseline,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,False,False,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5706899012732951,-0.6378916897152989,0.6600000000000003,-0.08595450874463939,1.527795043470897,0.9190768342762086,4.2620567392095765,simulation_only_paired_full_loop_validation_episode
v49_r002_static_map_baseline_p00001_rep00,7,1,0,v410_run002_seed00612_r00_e00001,612048,1224058,static_map_baseline,v410_cfg_001_b0.05_h0.75_tb0.05,0.8,True,False,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5706899012732951,-0.6378916897152989,0.6600000000000003,-0.08595450874463939,1.527795043470897,0.9190768342762086,4.2620567392095765,simulation_only_paired_full_loop_validation_episode
v49_r002_context_only_without_memory_p00001_rep00,8,1,0,v410_run002_seed00612_r00_e00001,612048,1224058,context_only_without_memory,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,False,False,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,0,0,0.5706899012732951,-0.6378916897152989,0.6600000000000003,-0.08595450874463939,1.527795043470897,0.9190768342762086,4.2620567392095765,simulation_only_paired_full_loop_validation_episode
v49_r002_context_plus_memory_lambda_0_5_p00001_rep00,9,1,0,v410_run002_seed00612_r00_e00001,612048,1224058,context_plus_memory_lambda_0_5,v410_cfg_001_b0.05_h0.75_tb0.05,0.5,True,True,W2,annular_gp_four,True,2,1.25,False,True,False,terminal_useful,False,True,30,0.8333333333333333,1,2,0.5706899012732951,-0.6378916897152989,0.6600000000000003,-0.08595450874463939,1.527795043470897,0.9190768342762086,4.2620567392095765,simulation_only_paired_full_loop_validation_episode
