comparison_id,treatment_policy_id,baseline_policy_id,paired_episode_index,replicate_id,W_layer,environment_mode,common_random_key,governor_config_id,episode_terminal_useful_treatment,episode_terminal_useful_baseline,episode_terminal_useful_paired_difference,hard_failure_treatment,hard_failure_baseline,hard_failure_paired_difference,episode_duration_s_treatment,episode_duration_s_baseline,episode_duration_s_paired_difference,primitive_count_treatment,primitive_count_baseline,primitive_count_paired_difference,energy_residual_m_treatment,energy_residual_m_baseline,energy_residual_m_paired_difference,lift_dwell_time_s_treatment,lift_dwell_time_s_baseline,lift_dwell_time_s_paired_difference,governor_rejection_count_treatment,governor_rejection_count_baseline,governor_rejection_count_paired_difference,no_viable_primitive_treatment,no_viable_primitive_baseline,no_viable_primitive_paired_difference,prediction_actual_agreement_rate_treatment,prediction_actual_agreement_rate_baseline,prediction_actual_agreement_rate_paired_difference,memory_effect_label,claim_status
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,0,0,W2,annular_gp_single,v410_run002_seed00612_r00_e00000,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.6,0.0,1.0,1.0,0.0,-0.3564284041376675,-0.3564284041376675,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,1,0,W2,annular_gp_four,v410_run002_seed00612_r00_e00001,v410_cfg_001_b0.05_h0.75_tb0.05,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,2.0,2.0,0.0,-0.6378916897152989,-0.6378916897152989,0.0,0.6600000000000003,0.6600000000000003,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.8333333333333333,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,2,0,W3,w3_randomised_single,v410_run002_seed00612_r00_e00002,v410_cfg_001_b0.05_h0.75_tb0.05,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,2.0,2.0,0.0,-0.5914801977336488,-0.5914801977336488,0.0,0.5800000000000002,0.5800000000000002,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.8333333333333333,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,3,0,W3,w3_randomised_four,v410_run002_seed00612_r00_e00003,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.6,0.0,1.0,1.0,0.0,-0.8962601263915793,-0.8962601263915793,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,4,0,W0,dry_air,v410_run002_seed00612_r00_e00004,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,5,0,W1,gaussian_single,v410_run002_seed00612_r00_e00005,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,6,0,W1,gaussian_four,v410_run002_seed00612_r00_e00006,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,1.0,1.0,0.0,1.25,1.25,0.0,2.0,2.0,0.0,-0.4296522007728085,-0.4296522007728085,0.0,0.6600000000000003,0.6600000000000003,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,7,0,W2,annular_gp_single,v410_run002_seed00612_r00_e00007,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.6,0.0,1.0,1.0,0.0,-0.6179942896869586,-0.6179942896869586,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,8,0,W2,annular_gp_four,v410_run002_seed00612_r00_e00008,v410_cfg_001_b0.05_h0.75_tb0.05,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.6,0.0,1.0,1.0,0.0,-0.5804442484636534,-0.5804442484636534,0.0,0.6000000000000002,0.6000000000000002,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
context_plus_memory_lambda_0_5_vs_context_only_without_memory,context_plus_memory_lambda_0_5,context_only_without_memory,9,0,W3,w3_randomised_single,v410_run002_seed00612_r00_e00009,v410_cfg_001_b0.05_h0.75_tb0.05,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,2.0,2.0,0.0,-0.7362691770135295,-0.7362691770135295,0.0,0.46000000000000013,0.46000000000000013,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.8333333333333333,0.0,memory_benefit_mixed,simulation_only_paired_memory_comparison
