ix,iy,x_w_m,y_w_m,W_layer,environment_mode,seed,w_wing_mean_m_s
0,0,1.875,0.55,W1,gaussian_single,1836000,-0.011346464985826444
0,0,1.875,0.55,W1,gaussian_four,1836001,0.2539390400288118
0,0,1.875,0.55,W2,annular_gp_single,1836002,-0.00011210824005733858
0,0,1.875,0.55,W2,annular_gp_four,1836003,0.22306166463075894
0,0,1.875,0.55,W3,w3_randomised_single,1836004,-5.6164240464025224e-05
0,0,1.875,0.55,W3,w3_randomised_four,1836005,0.18162169287704802
0,1,1.875,1.6500000000000001,W1,gaussian_single,1836017,-0.011252222762757856
0,1,1.875,1.6500000000000001,W1,gaussian_four,1836018,0.3020206175944157
0,1,1.875,1.6500000000000001,W2,annular_gp_single,1836019,0.0002337369448574367
0,1,1.875,1.6500000000000001,W2,annular_gp_four,1836020,0.09371848147426923
0,1,1.875,1.6500000000000001,W3,w3_randomised_single,1836021,0.00024357688173376008
0,1,1.875,1.6500000000000001,W3,w3_randomised_four,1836022,0.057142966275113144
0,2,1.875,2.75,W1,gaussian_single,1836034,-0.01116800525010042
0,2,1.875,2.75,W1,gaussian_four,1836035,0.2330671583739767
0,2,1.875,2.75,W2,annular_gp_single,1836036,0.00014176855562174213
0,2,1.875,2.75,W2,annular_gp_four,1836037,-0.010538743270654018
0,2,1.875,2.75,W3,w3_randomised_single,1836038,0.00018533310803877664
0,2,1.875,2.75,W3,w3_randomised_four,1836039,-0.07230807381783143
0,3,1.875,3.85,W1,gaussian_single,1836051,-0.01133784762781046
0,3,1.875,3.85,W1,gaussian_four,1836052,0.3704655130787619
0,3,1.875,3.85,W2,annular_gp_single,1836053,4.900758859244215e-05
0,3,1.875,3.85,W2,annular_gp_four,1836054,0.030412154488468415
0,3,1.875,3.85,W3,w3_randomised_single,1836055,-0.00011013480634685585
0,3,1.875,3.85,W3,w3_randomised_four,1836056,-0.024618555527457134
1,0,3.2249999999999996,0.55,W1,gaussian_single,1836101,-0.007936575216824966
1,0,3.2249999999999996,0.55,W1,gaussian_four,1836102,0.8711856101014243
1,0,3.2249999999999996,0.55,W2,annular_gp_single,1836103,-0.0017112872157786653
1,0,3.2249999999999996,0.55,W2,annular_gp_four,1836104,0.9694359232889842
1,0,3.2249999999999996,0.55,W3,w3_randomised_single,1836105,-0.0008905320242028853
1,0,3.2249999999999996,0.55,W3,w3_randomised_four,1836106,0.24239209318157276
1,1,3.2249999999999996,1.6500000000000001,W1,gaussian_single,1836118,0.22459796829881523
1,1,3.2249999999999996,1.6500000000000001,W1,gaussian_four,1836119,1.1036716945606975
1,1,3.2249999999999996,1.6500000000000001,W2,annular_gp_single,1836120,0.24276874117113598
1,1,3.2249999999999996,1.6500000000000001,W2,annular_gp_four,1836121,1.436406564141272
1,1,3.2249999999999996,1.6500000000000001,W3,w3_randomised_single,1836122,0.2340203994327178
1,1,3.2249999999999996,1.6500000000000001,W3,w3_randomised_four,1836123,1.5176538181085326
1,2,3.2249999999999996,2.75,W1,gaussian_single,1836135,0.43239740494376666
1,2,3.2249999999999996,2.75,W1,gaussian_four,1836136,0.9132967264358857
1,2,3.2249999999999996,2.75,W2,annular_gp_single,1836137,0.12847665886914458
1,2,3.2249999999999996,2.75,W2,annular_gp_four,1836138,1.1299809707742872
1,2,3.2249999999999996,2.75,W3,w3_randomised_single,1836139,0.25066789369717923
1,2,3.2249999999999996,2.75,W3,w3_randomised_four,1836140,0.8466601615077607
1,3,3.2249999999999996,3.85,W1,gaussian_single,1836152,0.013326011204756056
1,3,3.2249999999999996,3.85,W1,gaussian_four,1836153,1.7280363136819687
1,3,3.2249999999999996,3.85,W2,annular_gp_single,1836154,0.002573984329089661
1,3,3.2249999999999996,3.85,W2,annular_gp_four,1836155,1.732816661958269
1,3,3.2249999999999996,3.85,W3,w3_randomised_single,1836156,0.028361059174590465
1,3,3.2249999999999996,3.85,W3,w3_randomised_four,1836157,1.5289323392858905
2,0,4.575,0.55,W1,gaussian_single,1836202,0.0027673725075209087
2,0,4.575,0.55,W1,gaussian_four,1836203,0.39870389161640213
2,0,4.575,0.55,W2,annular_gp_single,1836204,0.009870427077911859
2,0,4.575,0.55,W2,annular_gp_four,1836205,0.3813489737718194
2,0,4.575,0.55,W3,w3_randomised_single,1836206,0.02289519674684668
