stage_name,candidate_variant,candidate_tag,feedback_variant,selected_candidate,selection_score,reason_for_proceeding_or_stopping,ocp_hard_30,open_loop_no_latency,closed_loop_no_latency,open_loop_nominal_latency,closed_loop_nominal_latency,terminal_altitude_sensitivity,phase2_status,active_failure_class,all_failure_classes,limitation,directed_heading_change_deg,actual_heading_change_deg,max_alpha_deg,max_beta_deg,terminal_speed_m_s,terminal_z_w_m,terminal_rate_norm_rad_s,min_wall_distance_m,min_floor_margin_m,min_ceiling_margin_m,saturation_fraction,exit_recoverable_gate,exit_recoverable,termination_reason,feasibility_label,failure_reason,log_path
stage4_phase2_gate,baseline,baseline_bank_yaw,k_smooth3_r110,True,0|4|-28.4696|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,baseline,baseline_bank_yaw,r110,False,0|4|-28.576|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,baseline,baseline_bank_yaw,yaw_light_r110,False,0|4|-28.576|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,baseline,baseline_bank_yaw,late_feedback_half_r110,False,0|4|-28.576|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,baseline,baseline_bank_yaw,recovery_heavy_r90,False,0|4|-28.9776|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,baseline,baseline_bank_yaw,baseline,False,0|4|-29.0024|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,baseline,baseline_bank_yaw,baseline,False,0|4|-29.0024|-0.217021|28.2932|-0|24.1726,boundary result retained,True,True,True,True,False,False,boundary_only,latency_limited_high_alpha,latency_limited_high_alpha;terminal_recovery_limited,angle of attack exceeded bound,28.293163149683984,-28.293163149683977,4.8362953644871185,25.143698311128077,6.08297857579008,2.5263011311490597,1.2289568285903856,0.25,2.5263011311490597,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,recovery065,recovery065_template,baseline,False,0|1|-3.91106|-0.0465026|26.1343|-0|15.4526,boundary result retained,True,False,False,False,False,False,boundary_only,open_loop_replay_mismatch,open_loop_replay_mismatch;terminal_recovery_limited,state outside safe volume,26.134312924179614,-26.134312924179625,4.533881615713133,7.522509297698237,6.346502557325165,2.1947405362773735,0.03802751045736521,0.22883806036044074,2.1947405362773735,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,h070_terminal_buffer,h070_terminal_buffer_template,baseline,False,0|1|-29.2365|-0.0909233|24.7752|-0|9.95056,boundary result retained,True,False,False,False,False,False,boundary_only,open_loop_replay_mismatch,open_loop_replay_mismatch;terminal_recovery_limited,angle of attack exceeded bound; state outside safe volume,24.775234158415184,-24.775234158415174,4.701735419642789,5.928647031826922,6.390923318177234,2.1560729383582347,0.028479300489260662,0.21240494465212656,2.1560729383582347,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
stage4_phase2_gate,latency075,latency075_bank_yaw,baseline,False,0|1|-1e+06|-0.000341528|26.323|-0|15.6921,boundary result retained,True,False,False,False,False,False,boundary_only,open_loop_replay_mismatch,open_loop_replay_mismatch;terminal_recovery_limited,angle of attack exceeded bound; state outside safe volume; skipped because closed_loop_no_latency failed,26.32303152776126,-26.32303152776126,4.554831093180371,6.498859587461861,6.30034152779726,2.2135479224149135,0.03965488744702755,0.10000038198030126,2.2135479224149135,0.2999999999999998,0.0,True,,,accepted_low_alpha,,
