combo_idx,combo_names,fan_robust_loss,fan_robust_f_scale,overall_wrmse,overall_sae,overall_n,F01_wrmse,F01_sae,F01_n,F02_wrmse,F02_sae,F02_n,F03_wrmse,F03_sae,F03_n,F04_wrmse,F04_sae,F04_n
"0,0,0,0","baseline,baseline,baseline,baseline","soft_l1,soft_l1,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.4019830035184797,416.26154797058155,1365,0.32607658013042273,112.18226533551463,357,0.4538428014899809,95.44552126461816,315,0.4340802695733744,114.6279867934063,371,0.3422376922021006,94.00577457704249,322
"0,0,1,0","baseline,baseline,huber,baseline","soft_l1,soft_l1,huber,soft_l1","1.000,1.000,1.000,1.000",0.4020340635207071,416.4262141830006,1365,0.3263913047557879,112.55811266501252,357,0.4540863954893104,95.30170102300238,315,0.4335257822822884,114.33690103723069,371,0.3425314067866872,94.22949945775504,322
"0,0,0,1","baseline,baseline,baseline,huber","soft_l1,soft_l1,soft_l1,huber","1.000,1.000,1.000,1.000",0.40236025487331717,416.3395624521968,1365,0.32567160983460247,111.96626487340787,357,0.4541988675159117,95.85133346147362,315,0.4341598727279086,114.74321093461997,371,0.34394223368784627,93.77875318269531,322
"0,0,1,1","baseline,baseline,huber,huber","soft_l1,soft_l1,huber,huber","1.000,1.000,1.000,1.000",0.4023831006764504,416.5074136972163,1365,0.32594801143576607,112.35219499579563,357,0.4544183432845138,95.71054543433242,315,0.4335524451134905,114.45973986722726,371,0.3442443647297369,93.98493339986102,322
"1,0,0,0","huber,baseline,baseline,baseline","huber,soft_l1,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.40239092820333716,415.89115853982133,1365,0.3271044154143547,111.26387226889352,357,0.45439546107652573,95.86973769486919,315,0.4343643831334976,114.72770767070858,371,0.3419045144901127,94.02984090535006,322
"1,0,1,0","huber,baseline,huber,baseline","huber,soft_l1,huber,soft_l1","1.000,1.000,1.000,1.000",0.40245980338171283,416.147970289387,1365,0.3272741803989369,111.68578990904456,357,0.45473018494452777,95.78361693416306,315,0.433825342897276,114.42508757179235,371,0.3422310040288267,94.25347587438705,322
"1,0,0,1","huber,baseline,baseline,huber","huber,soft_l1,soft_l1,huber","1.000,1.000,1.000,1.000",0.40274595986882683,415.9178827581036,1365,0.32692925763938707,111.16644724224065,357,0.4545556242238379,96.10881999696554,315,0.43442943415242247,114.82976462400993,371,0.3436908606540178,93.81285089488742,322
"1,0,1,1","huber,baseline,huber,huber","huber,soft_l1,huber,huber","1.000,1.000,1.000,1.000",0.4027948623592342,416.1899954372633,1365,0.3270682233627808,111.60629560911018,357,0.45486868925643914,96.02541822904317,315,0.4338450151476326,114.52850535163259,371,0.34404837128234783,94.02977624747734,322
"0,1,0,0","baseline,huber,baseline,baseline","soft_l1,huber,soft_l1,soft_l1","1.000,1.000,1.000,1.000",0.40400920810788277,416.27466366424414,1365,0.32798451425260067,113.03372105403132,357,0.4576327290420168,94.00075190179396,315,0.4341049270847992,114.54096318267864,371,0.3437570716699774,94.69922752574026,322
"0,1,1,0","baseline,huber,huber,baseline","soft_l1,huber,huber,soft_l1","1.000,1.000,1.000,1.000",0.40411976026318125,416.43871537910456,1365,0.32831094094998614,113.39978982785381,357,0.4578971152332135,93.88320754732034,315,0.43375478825176633,114.23966884691426,371,0.34402013989899327,94.91604915701615,322
