boundary_use_class,continuation_valid,episode_terminal_useful,w2_survival_status,row_count
blocked,False,False,blocked,288
continuation_valid,True,False,survived,18
episode_terminal_useful,False,True,downgraded,200
hard_failure,False,False,eliminated,134
