coverage_axis,value,row_count
w2_survival_status,blocked,288
w2_survival_status,downgraded,200
w2_survival_status,eliminated,134
w2_survival_status,survived,18
failure_label,entry_role_not_launch_capable,288
failure_label,floor_violation,40
failure_label,model_boundary_only,4
failure_label,speed_low,8
failure_label,success,14
failure_label,terminal_recovery_limited,48
failure_label,xy_boundary_terminal,238
boundary_use_class,blocked,288
boundary_use_class,continuation_valid,18
boundary_use_class,episode_terminal_useful,200
boundary_use_class,hard_failure,134
environment_mode,annular_gp_four,320
environment_mode,annular_gp_single,320
start_state_family,inflight_boundary_near,64
start_state_family,inflight_lift_region,96
start_state_family,inflight_nominal,160
start_state_family,inflight_recovery_edge,64
start_state_family,launch_gate,256
timing_state_source,history_backed_fifo,352
timing_state_source,not_evaluated_blocked_before_rollout,288
