w2_survival_status,failure_label,termination_cause,row_count
blocked,entry_role_not_launch_capable,entry_role_incompatible_start,288
downgraded,xy_boundary_terminal,wall_boundary_exit_retained,200
eliminated,floor_violation,floor_margin_stop,40
eliminated,speed_low,speed_floor,8
eliminated,terminal_recovery_limited,terminal_recovery_limited,48
eliminated,xy_boundary_terminal,wall_boundary_exit_retained,38
survived,model_boundary_only,weak_energy_result,4
survived,success,controlled_finish,14
