r_m,w_mps,n,alpha,sigma_mps
0.0,1.142,1,0.1889822365046136,0.2702927325887762
0.3,2.3725,4,0.3779644730092272,0.25202958021518396
0.6,2.31725,4,0.3779644730092272,0.2536613631019642
0.8999999999999999,0.7185000000000001,12,0.6546536707079771,0.221808306975224
1.2,0.1016875,16,0.7559289460184544,0.20027834370049125
1.5,0.02075,20,0.8451542547285166,0.20650793271920956
1.7999999999999998,0.0,12,0.6546536707079771,0.19750194770507087
2.1,0.0,28,1.0,0.20430305565607504
2.4,0.0,22,0.8864052604279183,0.21767928669309697
2.6999999999999997,0.0,16,0.7559289460184544,0.18257261745077794
3.0,0.0,18,0.8017837257372732,0.18736450023203288
3.3,0.0,8,0.5345224838248488,0.22736060821365672
3.5999999999999996,0.0,4,0.3779644730092272,0.18257261745077794
3.9,0.0,4,0.3779644730092272,0.18257261745077794
4.2,0.0,10,0.5976143046671968,0.19119800645703686
4.5,0.0,8,0.5345224838248488,0.20981906688339547
4.8,0.0,8,0.5345224838248488,0.22736060821365672
