r_m,w_mps,n,alpha,sigma_mps
0.0,1.26,1,0.1889822365046136,0.2684964361820513
0.3,2.2875,4,0.3779644730092272,0.24795194106883298
0.6,3.8087500000000003,4,0.3779644730092272,0.1511562210673498
0.8999999999999999,0.39975,12,0.6546536707079771,0.17487646195904097
1.2,0.18593749999999998,16,0.7559289460184544,0.12632130599034164
1.5,0.0383,20,0.8451542547285166,0.1413401687638939
1.7999999999999998,0.0,12,0.6546536707079771,0.12822856069089375
2.1,0.0,28,1.0,0.1283985725681393
2.4,0.0,22,0.8864052604279183,0.12298676021698779
2.6999999999999997,0.0,16,0.7559289460184544,0.12619265478218833
3.0,0.0,18,0.8017837257372732,0.13131958383669787
3.3,0.0,8,0.5345224838248488,0.1367099234797683
3.5999999999999996,0.0,4,0.3779644730092272,0.13280698123938373
3.9,0.0,4,0.3779644730092272,0.13280698123938373
4.2,0.0,10,0.5976143046671968,0.13718494746889096
4.5,0.0,8,0.5345224838248488,0.1367099234797683
4.8,0.0,8,0.5345224838248488,0.1367099234797683
