r_m,w_mps,n,alpha,sigma_mps
0.0,0.669,1,0.1889822365046136,0.3727098447266606
0.3,4.6225,4,0.3779644730092272,0.3132726711377437
0.6,1.63725,4,0.3779644730092272,0.34425406409221954
0.8999999999999999,0.20791666666666667,12,0.6546536707079771,0.25329274694825754
1.2,0.058437499999999996,16,0.7559289460184544,0.22289572190308748
1.5,0.0,20,0.8451542547285166,0.24147623421402575
1.7999999999999998,0.0,12,0.6546536707079771,0.21312521395507697
2.1,0.0,28,1.0,0.2187083613539402
2.4,0.0,22,0.8864052604279183,0.17611586523348619
2.6999999999999997,0.0,16,0.7559289460184544,0.17683069542180077
3.0,0.0,18,0.8017837257372732,0.2536730772636311
3.3,0.0,8,0.5345224838248488,0.3157982834577785
3.5999999999999996,0.0,4,0.3779644730092272,0.19187271163987524
3.9,0.0,4,0.3779644730092272,0.19187271163987524
4.2,0.0,10,0.5976143046671968,0.3271805957115549
4.5,0.0,8,0.5345224838248488,0.3157982834577785
4.8,0.0,8,0.5345224838248488,0.2840027646024487
