r_m,w_mps,n,alpha,sigma_mps
0.0,0.599,1,0.1889822365046136,0.1734151813621665
0.3,5.031,4,0.3779644730092272,0.18579101687965233
0.6,0.71425,4,0.3779644730092272,0.16061768870352638
0.8999999999999999,0.48950000000000005,12,0.6546536707079771,0.16692254573777646
1.2,0.217125,16,0.7559289460184544,0.14217180548264774
1.5,0.08775,20,0.8451542547285166,0.14156867423710198
1.7999999999999998,0.024416666666666666,12,0.6546536707079771,0.1450337927310865
2.1,0.003892857142857143,28,1.0,0.14536582322610656
2.4,0.0,22,0.8864052604279183,0.16763537920515376
2.6999999999999997,0.0,16,0.7559289460184544,0.1490127032067593
3.0,0.0,18,0.8017837257372732,0.12021101990314349
3.3,0.0,8,0.5345224838248488,0.1370759717797409
3.5999999999999996,0.0,4,0.3779644730092272,0.1490127032067593
3.9,0.0,4,0.3779644730092272,0.1490127032067593
4.2,0.0,10,0.5976143046671968,0.09716967326025082
4.5,0.0,8,0.5345224838248488,0.12051389760271805
4.8,0.0,8,0.5345224838248488,0.1370759717797409
