r_m,w_mps,n,alpha,sigma_mps
0.0,0.904,1,0.1889822365046136,0.33431389715099835
0.3,2.8897500000000003,4,0.3779644730092272,0.288030290579702
0.6,2.7352499999999997,4,0.3779644730092272,0.24571695404351415
0.8999999999999999,0.44416666666666665,12,0.6546536707079771,0.18759302088995033
1.2,0.11281250000000001,16,0.7559289460184544,0.12941307597409166
1.5,0.048799999999999996,20,0.8451542547285166,0.12975052188168934
1.7999999999999998,0.03566666666666667,12,0.6546536707079771,0.10760727919598162
2.1,0.01875,28,1.0,0.11674468613133124
2.4,0.015181818181818183,22,0.8864052604279183,0.11332799223327038
2.6999999999999997,0.0,16,0.7559289460184544,0.09047755638435587
3.0,0.0,18,0.8017837257372732,0.12142957469966047
3.3,0.0,8,0.5345224838248488,0.14186672481923313
3.5999999999999996,0.0,4,0.3779644730092272,0.09047755638435587
3.9,0.0,4,0.3779644730092272,0.09047755638435587
4.2,0.0,10,0.5976143046671968,0.14619118935190414
4.5,0.0,8,0.5345224838248488,0.14061078860871648
4.8,0.0,8,0.5345224838248488,0.14186672481923313
