library_size_case_id,policy_id,launch_role,rejection_reason,row_count
balanced_cluster,no_memory_baseline,final_heldout,,113
balanced_cluster,spatial_flow_belief_memory_h10,final_heldout,,113
balanced_cluster,spatial_flow_belief_memory_h3,final_heldout,,113
balanced_cluster,spatial_flow_belief_memory_h30,final_heldout,,113
heavy_cluster,no_memory_baseline,final_heldout,,74
heavy_cluster,spatial_flow_belief_memory_h10,final_heldout,,74
heavy_cluster,spatial_flow_belief_memory_h3,final_heldout,,74
heavy_cluster,spatial_flow_belief_memory_h30,final_heldout,,74
light_cluster,no_memory_baseline,final_heldout,,216
light_cluster,spatial_flow_belief_memory_h10,final_heldout,,216
light_cluster,spatial_flow_belief_memory_h3,final_heldout,,216
light_cluster,spatial_flow_belief_memory_h30,final_heldout,,216
no_cluster_no_merge,no_memory_baseline,final_heldout,,714
no_cluster_no_merge,spatial_flow_belief_memory_h10,final_heldout,,713
no_cluster_no_merge,spatial_flow_belief_memory_h3,final_heldout,,715
no_cluster_no_merge,spatial_flow_belief_memory_h30,final_heldout,,697
super_light_cluster,no_memory_baseline,final_heldout,,428
super_light_cluster,spatial_flow_belief_memory_h10,final_heldout,,428
super_light_cluster,spatial_flow_belief_memory_h3,final_heldout,,428
super_light_cluster,spatial_flow_belief_memory_h30,final_heldout,,428
