environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,1.0,0.16666666666666666,2.0,0.3333333333333333,0.0,0.0,1.0,0.16666666666666666,2.0,0.3333333333333333,2.0,0.3333333333333333,4.0,0.6666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,2.0,0.3333333333333333,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,-11.657934421935614,-20.0,1.23,0.4566666666666667,1.8021348338683787,1.4021348338683788,3.3333333333333335,0.0079019977534708,0.3115810868037285,-0.8983304874248189,0.9062324851782898
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,5.0,0.7142857142857143,5.0,0.7142857142857143,0.0,0.0,5.0,0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.2857142857142857,1.0,0.14285714285714285,2.0,0.2857142857142857,1.0,0.14285714285714285,5.0,0.7142857142857143,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,57.58844604663306,120.0,1.1857142857142855,0.37714285714285717,2.345571046906792,1.9455710469067922,14.122628698313733,0.0,0.2076095709002878,-0.7594772495052649,0.7594772495052649
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,13.0,0.9285714285714286,13.0,0.9285714285714286,0.0,0.0,13.0,0.9285714285714286,1.0,0.07142857142857142,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,13.0,0.9285714285714286,8.0,0.5714285714285714,0.0,0.0,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,107.71999813244847,120.10607477932848,0.9157142857142856,0.20714285714285716,3.4004232516223802,3.0004232516223803,18.571428571428573,0.014332943263213408,0.16808107100012126,-0.480649334286272,0.49498227754948537
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,12,10.0,0.8333333333333334,10.0,0.8333333333333334,0.0,0.0,10.0,0.8333333333333334,2.0,0.16666666666666666,0.0,0.0,12.0,1.0,0.0,0.0,2.0,0.16666666666666666,0.0,0.0,2.0,0.16666666666666666,0.0,0.0,10.0,0.8333333333333334,11.0,0.9166666666666666,0.0,0.0,0.0,0.0,7.46890974012759,7.013578014947912,7.907311911278154,87.36409826080948,122.97711534532039,0.7966666666666665,0.33499999999999996,4.063731869456874,3.663731869456875,16.666666666666668,0.04830028817338241,0.20606967295095588,-0.4558434225533292,0.5041437107267116
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,v0_lt_4_0_m_s,,4.0,initial_launch_speed_m_s < 4.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,0.0,0.0,0.0,0.0,3.548800506099386,3.004820898252463,3.994861598062479,12.497194795676075,0.0,1.0781818181818181,0.25272727272727274,1.240468745931612,0.8404687459316119,1.412497883812909,0.014116216083540765,0.3717854233754613,-1.0891071162846477,1.1032233323681884
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_4_0_to_5_0_m_s,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,6,1.0,0.16666666666666666,2.0,0.3333333333333333,0.0,0.0,1.0,0.16666666666666666,2.0,0.3333333333333333,2.0,0.3333333333333333,4.0,0.6666666666666666,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,3.0,0.5,2.0,0.3333333333333333,2.0,0.3333333333333333,5.0,0.8333333333333334,1.0,0.16666666666666666,0.0,0.0,4.480614965380852,4.062270882158154,4.974404679318456,-11.657934421935614,-20.0,1.23,0.4566666666666667,1.802639609555326,1.402639609555326,3.3333333333333335,0.0079019977534708,0.3115810858454589,-0.8978257117378717,0.9057277094913424
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_5_0_to_6_0_m_s,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,7,5.0,0.7142857142857143,5.0,0.7142857142857143,0.0,0.0,5.0,0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.2857142857142857,1.0,0.14285714285714285,2.0,0.2857142857142857,1.0,0.14285714285714285,5.0,0.7142857142857143,4.0,0.5714285714285714,1.0,0.14285714285714285,0.0,0.0,5.333457613646035,5.02929389802401,5.961663813537895,57.5195253641461,120.0,1.1857142857142855,0.3685714285714286,2.3450508564979535,1.9450508564979536,14.122628698313733,0.0,0.20630639391879693,-0.7599974399141033,0.7599974399141033
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_6_0_to_7_0_m_s,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,14,13.0,0.9285714285714286,13.0,0.9285714285714286,0.0,0.0,13.0,0.9285714285714286,1.0,0.07142857142857142,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,13.0,0.9285714285714286,8.0,0.5714285714285714,3.0,0.21428571428571427,0.0,0.0,6.54308520799183,6.106340861654188,6.947160686683218,107.72257854255288,120.10607477932848,0.9157142857142856,0.20714285714285716,3.401522197889927,3.0015221978899267,18.571428571428573,0.01434678562530046,0.16821009150534216,-0.4795503880187251,0.4938971736440256
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_ge_7_0_m_s,7.0,,initial_launch_speed_m_s >= 7.0,12,10.0,0.8333333333333334,10.0,0.8333333333333334,0.0,0.0,10.0,0.8333333333333334,2.0,0.16666666666666666,0.0,0.0,12.0,1.0,0.0,0.0,2.0,0.16666666666666666,0.0,0.0,2.0,0.16666666666666666,0.0,0.0,10.0,0.8333333333333334,11.0,0.9166666666666666,1.0,0.08333333333333333,0.0,0.0,7.46890974012759,7.013578014947912,7.907311911278154,87.36377623419101,122.97711534532039,0.7966666666666665,0.33499999999999996,4.063775658335463,3.6637756583354637,16.666666666666668,0.04830028817338241,0.20605357162003277,-0.45579963367474025,0.5040999218481227
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,v0_lt_4_0_m_s,,4.0,initial_launch_speed_m_s < 4.0,11,1.0,0.09090909090909091,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,10.0,0.9090909090909091,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.9090909090909091,10.0,0.9090909090909091,1.0,0.09090909090909091,4.0,0.36363636363636365,2.0,0.18181818181818182,0.0,0.0,3.548800506099386,3.004820898252463,3.994861598062479,12.612721049359466,0.0,1.0781818181818181,0.2545454545454546,1.2435530916891844,0.8435530916891842,1.4431930620582916,0.015107908670010845,0.3755724316928163,-1.0860227705270753,1.101130679197086
