launch_role,episode_interpretation_label,row_count
final_heldout,claim_bearing_hard_failure,94
final_heldout,claim_bearing_rollout,652
final_heldout,expected_low_energy_dry_air_sink_not_governor_failure,228
final_heldout,no_viable_primitive,26
history,claim_bearing_hard_failure,479
history,claim_bearing_rollout,6945
history,expected_low_energy_dry_air_sink_not_governor_failure,2482
history,no_viable_primitive,844
