environment_block_id,library_size_case_id,policy_id,history_length,start_energy_group_id,start_energy_group_label,start_energy_group_basis,start_energy_feasibility_threshold_m_s,launch_count,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,28.0,0.8484848484848485,28.0,0.8484848484848485,0.0,0.0,28.0,0.8484848484848485,4.0,0.12121212121212122,0.0,0.0,33.0,1.0,0.0,0.0,5.0,0.15151515151515152,1.0,0.030303030303030304,5.0,0.15151515151515152,1.0,0.030303030303030304,28.0,0.8484848484848485,23.0,0.696969696969697,0.0,0.0,0.0,0.0,6.62316100269512,5.02929389802401,7.907311911278154,89.68388713061888,120.4221948191661,0.9296969696969697,0.28969696969696973,3.4178698571073745,3.0178698571073745,16.935103057218065,0.023644383750472016,0.19027994138530854,-0.5307743180965033,0.5544187018469754
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,no_memory_baseline,0,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,2.0,0.11764705882352941,3.0,0.17647058823529413,0.0,0.0,2.0,0.11764705882352941,2.0,0.11764705882352941,12.0,0.7058823529411765,5.0,0.29411764705882354,1.0,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,13.0,0.7647058823529411,12.0,0.7058823529411765,3.0,0.17647058823529413,9.0,0.5294117647058824,0.0,0.0,0.0,0.0,3.877676197610491,3.004820898252463,4.974404679318456,3.971855071813126,0.0,1.131764705882353,0.3247058823529412,1.4387038357916475,1.0387038357916474,2.090439807173059,0.011922962555280777,0.35053683399720265,-1.0217741884517668,1.0336971510070478
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,28.0,0.8484848484848485,28.0,0.8484848484848485,0.0,0.0,28.0,0.8484848484848485,4.0,0.12121212121212122,0.0,0.0,33.0,1.0,0.0,0.0,5.0,0.15151515151515152,1.0,0.030303030303030304,5.0,0.15151515151515152,1.0,0.030303030303030304,28.0,0.8484848484848485,23.0,0.696969696969697,5.0,0.15151515151515152,0.0,0.0,6.62316100269512,5.02929389802401,7.907311911278154,89.67024521075925,120.4221948191661,0.9296969696969697,0.2878787878787879,3.418241656544552,3.0182416565445522,16.935103057218065,0.02365025626772107,0.19005239084687156,-0.530402518659326,0.5540527749270471
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h10,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,2.0,0.11764705882352941,3.0,0.17647058823529413,0.0,0.0,2.0,0.11764705882352941,2.0,0.11764705882352941,12.0,0.7058823529411765,5.0,0.29411764705882354,1.0,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,13.0,0.7647058823529411,12.0,0.7058823529411765,3.0,0.17647058823529413,9.0,0.5294117647058824,3.0,0.17647058823529413,0.0,0.0,3.877676197610491,3.004820898252463,4.974404679318456,4.046607353608262,0.0,1.131764705882353,0.32588235294117646,1.440877745053705,1.0408777450537048,2.1103013930965417,0.012564645993584948,0.3529872508055137,-1.0196002791897092,1.0321649251832943
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,28.0,0.8484848484848485,28.0,0.8484848484848485,0.0,0.0,28.0,0.8484848484848485,4.0,0.12121212121212122,0.0,0.0,33.0,1.0,0.0,0.0,5.0,0.15151515151515152,1.0,0.030303030303030304,5.0,0.15151515151515152,1.0,0.030303030303030304,28.0,0.8484848484848485,23.0,0.696969696969697,3.0,0.09090909090909091,0.0,0.0,6.62316100269512,5.02929389802401,7.907311911278154,89.67874018520148,120.4221948191661,0.9296969696969697,0.2890909090909091,3.4183707936646015,3.0183707936646016,16.935103057218065,0.023673628880650305,0.190174109265953,-0.5302733815392764,0.5539470104199268
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h3,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,2.0,0.11764705882352941,3.0,0.17647058823529413,0.0,0.0,2.0,0.11764705882352941,2.0,0.11764705882352941,12.0,0.7058823529411765,5.0,0.29411764705882354,1.0,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,13.0,0.7647058823529411,12.0,0.7058823529411765,3.0,0.17647058823529413,9.0,0.5294117647058824,2.0,0.11764705882352941,0.0,0.0,3.877676197610491,3.004820898252463,4.974404679318456,3.971855071813126,0.0,1.131764705882353,0.3247058823529412,1.4388915864613567,1.0388915864613566,2.090439807173059,0.011922962555280777,0.35053683365898985,-1.0215864377820576,1.0335094003373384
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h30,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,28.0,0.8484848484848485,28.0,0.8484848484848485,0.0,0.0,28.0,0.8484848484848485,4.0,0.12121212121212122,0.0,0.0,33.0,1.0,0.0,0.0,5.0,0.15151515151515152,1.0,0.030303030303030304,5.0,0.15151515151515152,1.0,0.030303030303030304,28.0,0.8484848484848485,23.0,0.696969696969697,8.0,0.24242424242424243,0.0,0.0,6.62316100269512,5.02929389802401,7.907311911278154,89.66536157702133,120.4221948191661,0.9296969696969697,0.2866666666666667,3.4160055712800474,3.0160055712800475,16.935103057218065,0.02365025626772107,0.18710170247002045,-0.5326386039238304,0.5562888601915514
r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,spatial_flow_belief_memory_h30,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,2.0,0.11764705882352941,3.0,0.17647058823529413,0.0,0.0,2.0,0.11764705882352941,2.0,0.11764705882352941,12.0,0.7058823529411765,5.0,0.29411764705882354,1.0,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,13.0,0.7647058823529411,12.0,0.7058823529411765,3.0,0.17647058823529413,9.0,0.5294117647058824,4.0,0.23529411764705882,0.0,0.0,3.877676197610491,3.004820898252463,4.974404679318456,4.046607353608262,0.0,1.131764705882353,0.32588235294117646,1.442042906498414,1.042042906498414,2.1103013930965417,0.012564645993584948,0.3529872508055137,-1.0184351177450002,1.0309997637385853
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,no_memory_baseline,0,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,31.0,0.9393939393939394,31.0,0.9393939393939394,0.0,0.0,31.0,0.9393939393939394,2.0,0.06060606060606061,0.0,0.0,33.0,1.0,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,31.0,0.9393939393939394,23.0,0.696969696969697,0.0,0.0,0.0,0.0,6.62316100269512,5.02929389802401,7.907311911278154,110.72070094275642,121.97725734302551,0.9309090909090909,0.283030303030303,3.3609969948775267,2.9609969948775268,18.742218625426823,0.01704695425559823,0.18066803897252687,-0.5876471803263512,0.6046941345819494
r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,no_memory_baseline,0,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,3.0,0.17647058823529413,3.0,0.17647058823529413,0.0,0.0,3.0,0.17647058823529413,0.0,0.0,12.0,0.7058823529411765,5.0,0.29411764705882354,2.0,0.11764705882352941,0.0,0.0,0.0,0.0,12.0,0.7058823529411765,12.0,0.7058823529411765,3.0,0.17647058823529413,9.0,0.5294117647058824,0.0,0.0,0.0,0.0,3.877676197610491,3.004820898252463,4.974404679318456,18.867121236887954,0.0,1.1211764705882352,0.3235294117647059,1.4004839108249438,1.0004839108249441,2.898455693951347,0.008780434425667411,0.3431799406759572,-1.0599941134184705,1.0687745478441377
