launch_role,termination_cause,row_count
final_heldout,floor_margin_stop,244
final_heldout,no_viable_continuation_primitive,26
final_heldout,wall_boundary_exit_retained,652
final_heldout,wall_boundary_exit_uncontrolled,78
history,ceiling_margin_stop,45
history,floor_margin_stop,2615
history,no_viable_continuation_primitive,844
history,physically_impossible_initial_state,8
history,wall_boundary_exit_retained,6945
history,wall_boundary_exit_uncontrolled,293
