value,row_count,coverage_axis
energy_retaining_bank,9600,primitive_id
glide,9600,primitive_id
lift_dwell_arc,9600,primitive_id
lift_entry,9600,primitive_id
mild_turn_left,9600,primitive_id
mild_turn_right,9600,primitive_id
recovery,9600,primitive_id
safe_exit_or_recovery_handoff,9600,primitive_id
transition_object,76800,entry_role
0,2400,candidate_index
1,2400,candidate_index
10,2400,candidate_index
11,2400,candidate_index
12,2400,candidate_index
13,2400,candidate_index
14,2400,candidate_index
15,2400,candidate_index
16,2400,candidate_index
17,2400,candidate_index
18,2400,candidate_index
19,2400,candidate_index
2,2400,candidate_index
20,2400,candidate_index
21,2400,candidate_index
22,2400,candidate_index
23,2400,candidate_index
24,2400,candidate_index
25,2400,candidate_index
26,2400,candidate_index
27,2400,candidate_index
28,2400,candidate_index
29,2400,candidate_index
3,2400,candidate_index
30,2400,candidate_index
31,2400,candidate_index
4,2400,candidate_index
5,2400,candidate_index
6,2400,candidate_index
7,2400,candidate_index
8,2400,candidate_index
9,2400,candidate_index
inflight_boundary_near,7680,start_state_family
inflight_lift_region,11520,start_state_family
inflight_nominal,19200,start_state_family
inflight_recovery_edge,7680,start_state_family
launch_gate,30720,start_state_family
W0,25600,W_layer
W1,51200,W_layer
dry_air,25600,environment_mode
w1_annular_gp_randomised_four,25600,environment_mode
w1_annular_gp_randomised_single,25600,environment_mode
solved,76800,lqr_synthesis_status
active_timing_aware_w01,76800,controller_design_role
history_backed_fifo,76800,timing_state_source
True,76800,active_timing_aware_controller_used
False,76800,baseline_controller_active
accepted,25806,outcome_class
failed,1455,outcome_class
weak,49539,outcome_class
continuation_valid,72032,boundary_use_class
episode_terminal_useful,3313,boundary_use_class
hard_failure,1455,boundary_use_class
