stage_index,stage_id,fit_parameter_group,accepted,acceptance_reason,train_objective_before,train_objective_after,heldout_objective_before,heldout_objective_after,heldout_dx_mae_before_m,heldout_dx_mae_after_m,heldout_altitude_loss_mae_before_m,heldout_altitude_loss_mae_after_m,heldout_sink_mae_before_m_s,heldout_sink_mae_after_m_s,heldout_pitch_mae_before_deg,heldout_pitch_mae_after_deg,attached_sample_fraction,transition_sample_fraction,post_stall_sample_fraction,parameter_updates_json
0,stage0_baseline,none,True,baseline_active,62.81256208,62.81256208,60.23632685,60.23632685,0.966400125,0.966400125,1.274110758,1.274110758,1.137301733,1.137301733,21.00703183,21.00703183,0.2205059092,0.6845324487,0.09496164213,{}
1,stage1_attached_cm,attached_pitch_moment,True,heldout_longitudinal_improved_or_preserved,62.81256208,29.28104438,60.23632685,20.14939924,0.966400125,0.3865679773,1.274110758,0.4297869529,1.137301733,0.3842357792,21.00703183,7.008124679,0.2205059092,0.6845324487,0.09496164213,"{""attached_pitch_moment_bias_coeff"": 0.07533634900352992}"
2,stage2_transition_cm,transition_pitch_moment,False,rejected_by_heldout_longitudinal_gate,29.28104438,29.12726667,20.14939924,19.97599084,0.3865679773,0.3875824812,0.4297869529,0.4262350773,0.3842357792,0.3812093041,7.008124679,6.881412106,0.2205059092,0.6845324487,0.09496164213,{}
3,stage3_post_stall_cm,post_stall_pitch_moment,False,rejected_by_heldout_longitudinal_gate,29.28104438,29.60701583,20.14939924,20.47263612,0.3865679773,0.3876975622,0.4297869529,0.4366542125,0.3842357792,0.3900944264,7.008124679,7.161553482,0.2205059092,0.6845324487,0.09496164213,{}
4,stage4_post_stall_cmq,post_stall_pitch_damping,False,rejected_by_heldout_longitudinal_gate,29.28104438,30.22269083,20.14939924,20.85949954,0.3865679773,0.3940301459,0.4297869529,0.4445351567,0.3842357792,0.3968432171,7.008124679,6.954130639,0.2205059092,0.6845324487,0.09496164213,{}
5,stage5_transition_blend,transition_blend_start_full,False,rejected_by_heldout_longitudinal_gate,29.28104438,27.30125985,20.14939924,17.77480304,0.3865679773,0.3941475728,0.4297869529,0.3904736668,0.3842357792,0.3515201121,7.008124679,4.598289223,0.2205059092,0.6845324487,0.09496164213,{}
6,stage6_post_stall_lift_drag,post_stall_lift_drag,False,rejected_by_heldout_longitudinal_gate,29.28104438,30.39721561,20.14939924,21.45767058,0.3865679773,0.3823423804,0.4297869529,0.4657562196,0.3842357792,0.4155924013,7.008124679,7.604554944,0.2205059092,0.6845324487,0.09496164213,{}
