event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,lookup_deflection_deg,lookup_error_deg,linear_fitted_deflection_deg,linear_fit_error_deg,valid,rejection_reason
1,1,Aileron_L,0,positive_first,positive,outbound,1,11,-0.239400222387858,0.0502784027676348,-0.289678625155493,0,-0.239400222387858,1,
2,1,Aileron_L,0.15,positive_first,positive,outbound,2,11,2.63818684687259,1.13742742743159,1.500759419441,0,2.63818684687259,1,
3,1,Aileron_L,0.3,positive_first,positive,outbound,3,11,4.57278998564761,5.68255278251202,-1.10976279686441,0,4.57278998564761,1,
4,1,Aileron_L,0.5,positive_first,positive,outbound,4,11,11.0660632520374,9.08722859256381,1.97883465947361,5.46777776023797,5.59828549179945,1,
5,1,Aileron_L,0.75,positive_first,positive,outbound,5,11,12.9508959701098,13.0342709179305,-0.08337494782071,12.3024999605354,0.648396009574389,1,
6,1,Aileron_L,1,positive_first,positive,outbound,6,11,18.3986547831129,18.3187222409119,0.0799325422010035,18.3986547831129,0,1,
7,1,Aileron_L,0.75,positive_first,positive,return,7,11,13.1176458657512,13.0342709179305,0.08337494782071,12.3024999605354,0.815145905215809,1,
8,1,Aileron_L,0.5,positive_first,positive,return,8,11,7.12936270273241,9.08722859256381,-1.9578658898314,5.46777776023797,1.66158494249444,1,
9,1,Aileron_L,0.3,positive_first,positive,return,9,11,5.76547345913396,5.68255278251202,0.0829206766219341,0,5.76547345913396,1,
10,1,Aileron_L,0.15,positive_first,positive,return,10,11,-0.604988052500433,1.13742742743159,-1.74241547993202,0,-0.604988052500433,1,
11,1,Aileron_L,0,positive_first,positive,return,11,11,-1.16442422565552,0.0502784027676348,-1.21470262842315,0,-1.16442422565552,1,
12,1,Aileron_L,-0,positive_first,negative,outbound,1,11,-0.579907286225158,0.0502784027676348,-0.630185688992792,0,-0.579907286225158,1,
13,1,Aileron_L,-0.15,positive_first,negative,outbound,2,11,-10.4603837693258,-4.50665156903401,-5.95373220029176,0,-10.4603837693258,1,
14,1,Aileron_L,-0.3,positive_first,negative,outbound,3,11,-9.22801094638467,-9.53366251458157,0.305651568196899,-6.09353702619103,-3.13447392019365,1,
15,1,Aileron_L,-0.5,positive_first,negative,outbound,4,11,-20.000546716673,-15.9998859271773,-4.00066078949574,-14.2182530611124,-5.78229365556061,0,unstable_final_window
