environment_block_id,launch_speed_bin_id,library_size_case_id,policy_id,history_length,launch_count,open_loop_launch_count,mission_success_rate,open_loop_mission_success_rate,delta_control_minus_open_loop_mission_success_rate,safe_success_rate,open_loop_safe_success_rate,delta_control_minus_open_loop_safe_success_rate,wrong_wall_exit_rate,open_loop_wrong_wall_exit_rate,delta_control_minus_open_loop_wrong_wall_exit_rate,hard_failure_rate,open_loop_hard_failure_rate,delta_control_minus_open_loop_hard_failure_rate,mean_launch_score,open_loop_mean_launch_score,delta_control_minus_open_loop_mean_launch_score,median_launch_score,open_loop_median_launch_score,delta_control_minus_open_loop_median_launch_score,mean_terminal_specific_energy_m,open_loop_mean_terminal_specific_energy_m,delta_control_minus_open_loop_mean_terminal_specific_energy_m
r11_l0_dry_air_fixed,v0_ge_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,59,59,0.7288135593220338,0.7288135593220338,0.0,0.8305084745762712,0.8305084745762712,0.0,0.1016949152542373,0.1016949152542373,0.0,0.1016949152542373,0.0,0.1016949152542373,69.41924290191281,68.74127680021789,0.6779661016949206,120.0,120.0,0.0,3.0209944355735594,3.0183944228172117,0.0026000127563476916
r11_l1_single_fan_fixed_nominal,v0_ge_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,59,59,0.7966101694915254,0.7966101694915254,0.0,0.9322033898305084,0.9322033898305084,0.0,0.13559322033898305,0.13559322033898305,0.0,0.06779661016949153,0.0,0.06779661016949153,89.29827715663038,83.38983050847457,5.9084466481558024,128.0664681236234,120.0,8.066468123623395,3.159608676880704,3.1596086768807035,4.440892098500626e-16
r11_l1_single_fan_fixed_nominal,v0_6_0_to_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,41,41,0.7560975609756098,0.7560975609756098,0.0,0.9512195121951219,0.9512195121951219,0.0,0.1951219512195122,0.1951219512195122,0.0,0.04878048780487805,0.0,0.04878048780487805,84.57998009801578,76.33878838751983,8.241191710495954,131.22031981231785,120.0,11.220319812317854,2.4687638332122273,2.4687638332122277,-4.440892098500626e-16
r11_l0_dry_air_fixed,v0_5_0_to_6_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,45,45,0.15555555555555556,0.2,-0.04444444444444445,0.26666666666666666,0.3111111111111111,-0.04444444444444445,0.1111111111111111,0.1111111111111111,0.0,0.6222222222222222,0.0,0.6222222222222222,-54.482766744684554,-37.82044081804117,-16.662325926643383,-100.0,-80.0,-20.0,1.7177109770760268,1.7146856635777286,0.0030253134982982655
r11_l0_dry_air_fixed,v0_4_0_to_5_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-80.0,72.0,0.0,-80.0,80.0,1.4278101982324425,1.4237856781700426,0.004024520062399839
r11_l0_dry_air_fixed,v0_6_0_to_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,41,41,0.6341463414634146,0.6341463414634146,0.0,0.7804878048780488,0.7804878048780488,0.0,0.14634146341463414,0.14634146341463414,0.0,0.14634146341463414,0.0,0.14634146341463414,50.176791080684225,50.176791080684225,0.0,117.51040393374149,117.51040393374149,0.0,2.3119248399595334,2.3088576540154477,0.0030671859440856153
r11_l1_single_fan_fixed_nominal,v0_5_0_to_6_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,45,45,0.4222222222222222,0.4222222222222222,0.0,0.5555555555555556,0.5555555555555556,0.0,0.13333333333333333,0.13333333333333333,0.0,0.35555555555555557,0.0,0.35555555555555557,9.090494267524157,6.523539629953924,2.566954637570233,-40.0,-50.0,10.0,1.6321050531335208,1.6297937517946495,0.0023113013388713632
r11_l2_four_fan_fixed_nominal,v0_ge_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,59,59,0.7288135593220338,0.7966101694915254,-0.06779661016949157,0.9152542372881356,0.9830508474576272,-0.06779661016949157,0.23728813559322035,0.1864406779661017,0.05084745762711865,0.06779661016949153,0.0,0.06779661016949153,84.88460917391313,84.85337104872825,0.03123812518488478,136.12176621669255,120.0,16.12176621669255,3.2697092519679463,3.2568185884470044,0.012890663520941814
r11_l1_single_fan_fixed_nominal,v0_4_0_to_5_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4285714285714284,-80.0,76.57142857142857,0.0,-80.0,80.0,1.1342373646542883,1.1306538272804467,0.003583537373841539
r11_l2_four_fan_fixed_nominal,v0_6_0_to_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,41,41,0.7804878048780488,0.8292682926829268,-0.04878048780487798,0.9512195121951219,1.0,-0.04878048780487809,0.21951219512195122,0.17073170731707318,0.04878048780487804,0.04878048780487805,0.0,0.04878048780487805,97.274585160488,90.72137484206176,6.553210318426238,138.83772362770654,120.0,18.837723627706538,2.602353740601697,2.602353740601697,0.0
r11_l2_four_fan_fixed_nominal,v0_4_0_to_5_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,35,35,0.37142857142857144,0.37142857142857144,0.0,0.42857142857142855,0.42857142857142855,0.0,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,43.80157372016128,-6.4139619520025795,50.21553567216386,0.0,-80.0,80.0,1.49472260213245,1.489896462763837,0.0048261393686130916
r11_l2_four_fan_fixed_nominal,v0_5_0_to_6_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,45,45,0.6222222222222222,0.6444444444444445,-0.022222222222222254,0.8,0.8666666666666667,-0.06666666666666665,0.24444444444444444,0.2222222222222222,0.022222222222222227,0.2,0.0,0.2,61.126797831823275,53.39379815064005,7.732999681183223,138.01315387672165,114.24695001255203,23.76620386416961,2.0164506594225275,2.0164506594225275,0.0
r11_l3_fan_parameter_uncertainty,v0_ge_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,59,59,0.711864406779661,0.7966101694915254,-0.0847457627118644,0.847457627118644,0.9491525423728814,-0.10169491525423735,0.23728813559322035,0.15254237288135594,0.0847457627118644,0.13559322033898305,0.0,0.13559322033898305,76.91793794651821,83.55500996942612,-6.637072022907915,132.38754370775018,120.0,12.387543707750183,3.1993462361254625,3.1990893972271066,0.00025683889835592666
r11_l3_fan_parameter_uncertainty,v0_6_0_to_7_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,41,41,0.7073170731707317,0.8048780487804879,-0.09756097560975618,0.8292682926829268,0.9512195121951219,-0.12195121951219512,0.24390243902439024,0.14634146341463414,0.0975609756097561,0.17073170731707318,0.0,0.17073170731707318,74.60413022086401,84.02768191841511,-9.423551697551105,130.93320215599852,119.44656150078788,11.486640655210635,2.453715618045058,2.4537156180450577,4.440892098500626e-16
r11_l3_fan_parameter_uncertainty,v0_4_0_to_5_0_m_s,heavy_cluster,open_loop_zero_command_baseline,0,35,35,0.14285714285714285,0.17142857142857143,-0.02857142857142858,0.2,0.22857142857142856,-0.028571428571428553,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,6.468099103134008,-45.384109485717794,51.8522085888518,0.0,-80.0,80.0,1.228972506601007,1.2125575718957127,0.016414934705294426
