environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,source_validation_run_count,source_validation_run_labels,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,37,0.7115384615384616,43,0.8269230769230769,0,0.0,37,0.7115384615384616,6,0.11538461538461539,0,0.0,0,0.0,4,0.07692307692307693,5,0.09615384615384616,5,0.09615384615384616,5,0.09615384615384616,5,0.09615384615384616,43,0.8269230769230769,0,0.0,0,0.0,0,0.0,7.572313176412761,7.025729538848876,8.113857356532092,66.84106406178569,120.0,0.871153846153846,0.0,3.0313625616260915,2.631362561626091,14.148756369477997,0.0,0.0,-1.466368786480846,1.466368786480846
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,41,0.7884615384615384,49,0.9423076923076923,0,0.0,41,0.7884615384615384,8,0.15384615384615385,0,0.0,0,0.0,0,0.0,3,0.057692307692307696,3,0.057692307692307696,3,0.057692307692307696,3,0.057692307692307696,49,0.9423076923076923,52,1.0,0,0.0,0,0.0,7.572313176412761,7.025729538848876,8.113857356532092,88.27454105258244,127.45328389750811,0.927307692307692,0.3819230769230769,3.1610846766742733,2.7610846766742734,15.76923076923077,0.0,0.30742151793526484,-1.336646671432663,1.336646671432663
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,27,0.7297297297297297,35,0.9459459459459459,0,0.0,27,0.7297297297297297,8,0.21621621621621623,0,0.0,0,0.0,0,0.0,2,0.05405405405405406,2,0.05405405405405406,2,0.05405405405405406,2,0.05405405405405406,35,0.9459459459459459,36,0.972972972972973,0,0.0,0,0.0,6.506391804796202,6.028526570094748,6.979864483039106,79.89378827835293,131.22031981231785,1.0843243243243244,0.43459459459459465,2.495090983212498,2.0950909832124975,14.113081808099693,9.848286295929729e-06,0.3855080042264101,-1.22542695658906,1.225436804875356
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,5,0.125,10,0.25,0,0.0,5,0.125,5,0.125,0,0.0,0,0.0,5,0.125,25,0.625,25,0.625,25,0.625,25,0.625,10,0.25,0,0.0,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-59.56636822202431,-100.0,1.133,0.0,1.6994121864420433,1.2994121864420431,1.683631777975694,0.0,0.0,-1.4052913174462212,1.4052913174462212
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.7741935483870968,0,0.0,7,0.22580645161290322,0,0.0,0,0.0,24,0.7741935483870968,24,0.7741935483870968,0,0.0,0,0.0,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-9.03225806451613,0.0,1.043225806451613,0.0,1.4337552963157474,1.0337552963157475,0.0,0.0,0.0,-1.2233443413472875,1.2233443413472875
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,23,0.6216216216216216,29,0.7837837837837838,0,0.0,23,0.6216216216216216,6,0.16216216216216217,0,0.0,0,0.0,3,0.08108108108108109,5,0.13513513513513514,5,0.13513513513513514,5,0.13513513513513514,5,0.13513513513513514,29,0.7837837837837838,0,0.0,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,48.744794934622206,117.51040393374149,1.0189189189189187,0.0,2.329116203267465,1.9291162032674656,11.447497637324915,0.0,0.0,-1.391401736534092,1.391401736534092
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,40,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,15,0.375,21,0.525,0,0.0,15,0.375,6,0.15,0,0.0,0,0.0,4,0.1,15,0.375,15,0.375,15,0.375,15,0.375,21,0.525,39,0.975,0,0.0,0,0.0,5.521251456839984,5.074888455000787,5.964701744631371,-0.42549146089357637,-50.0,1.3165000000000002,0.662,1.6017884210430835,1.2017884210430836,5.651660585648785,0.00049194624126002,0.6057788854452602,-1.5029150828451807,1.503407029086441
r11_l2_four_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,52,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,37,0.7115384615384616,47,0.9038461538461539,0,0.0,37,0.7115384615384616,13,0.25,0,0.0,0,0.0,1,0.019230769230769232,4,0.07692307692307693,1,0.019230769230769232,4,0.07692307692307693,1,0.019230769230769232,47,0.9038461538461539,52,1.0,0,0.0,0,0.0,7.572313176412761,7.025729538848876,8.113857356532092,81.0522811355153,135.42099968773022,1.044230769230769,1.0223076923076921,3.288060256392709,2.88806025639271,14.23076923076923,0.0,0.729449482055954,-1.2096710917142273,1.2096710917142273
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,31,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,0.9032258064516129,0,0.0,3,0.0967741935483871,0,0.0,0,0.0,28,0.9032258064516129,28,0.9032258064516129,0,0.0,30,0.967741935483871,0,0.0,0,0.0,4.545967336221252,4.1060983395932,4.9393583014014855,-3.870967741935484,0.0,1.3896774193548393,0.8135483870967741,1.1260538657694246,0.7260538657694248,0.0,0.0016081339441257,0.8949852181942977,-1.5310457718936104,1.532653905837736
r11_l2_four_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,8,E03.1;E03.2;E03.3;E03.4;E03.5;E03.6;E03.7;E03.8,37,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,29,0.7837837837837838,36,0.972972972972973,0,0.0,29,0.7837837837837838,8,0.21621621621621623,0,0.0,0,0.0,0,0.0,1,0.02702702702702703,0,0.0,1,0.02702702702702703,0,0.0,36,0.972972972972973,37,1.0,0,0.0,0,0.0,6.506391804796203,6.028526570094748,6.979864483039106,98.61354509055722,138.81027337303487,1.1713513513513512,1.1416216216216215,2.6088701313473157,2.2088701313473154,15.419999137663433,0.0,0.7962473597778217,-1.111647808454242,1.111647808454242
