environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,6,0.75,7,0.875,0,0.0,6,0.75,1,0.125,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,1,0.125,1,0.125,7,0.875,0,0.0,0,0.0,0,0.0,7.655507831886099,7.271907406914219,7.9405809451807965,71.25,120.0,0.835,0.0,3.144754913777122,2.7447549137771214,15.0,0.0,0.0,-1.4608025549769765,1.4608025549769765
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,6,0.75,7,0.875,0,0.0,6,0.75,1,0.125,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,1,0.125,1,0.125,7,0.875,8,1.0,0,0.0,0,0.0,7.655507831886099,7.271907406914219,7.9405809451807965,77.0631374736771,125.57961229578765,0.8775,0.3075,3.257601420072742,2.8576014200727426,15.0,0.0,0.24817208827119658,-1.3479560486813558,1.3479560486813558
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,3,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,1,0.3333333333333333,3,1.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,3,1.0,0,0.0,0,0.0,6.357060144223925,6.235436254627058,6.544365872773158,11.515402145616681,-50.0,1.2933333333333332,0.4666666666666666,2.3250643566728613,1.9250643566728616,6.666666666666667,0.0,0.28650196161355224,-1.368410305339616,1.368410305339616
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,4,1.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5.334015872950229,5.12330928775431,5.574092124922031,-100.0,-100.0,0.94,0.0,1.7531335021558603,1.3531335021558604,0.0,0.0,0.0,-1.1967953976057284,1.1967953976057284
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,5,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.6,0,0.0,2,0.4,0,0.0,0,0.0,3,0.6,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0,4.714661646732928,4.32151022120381,4.884483329326275,-16.0,0.0,1.192,0.0,1.5001472845165533,1.1001472845165536,0.0,0.0,0.0,-1.3008908530823875,1.3008908530823875
r11_l0_dry_air_fixed,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,3,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,2,0.6666666666666666,3,1.0,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,6.357060144223925,6.235436254627058,6.544365872773158,61.38139686200494,114.1441905860148,1.2666666666666666,0.0,2.1165749405173373,1.7165749405173376,11.381396862004928,0.0,0.0,-1.5768997214951395,1.5768997214951395
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,2,0.5,2,0.5,2,0.5,2,0.5,1,0.25,4,1.0,0,0.0,0,0.0,5.334015872950229,5.12330928775431,5.574092124922031,-26.265341973249853,-70.0,1.16,0.565,1.6942728975286452,1.2942728975286453,4.225325588338449,0.0,0.49555508252645974,-1.2556560022329435,1.2556560022329435
r11_l2_four_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,8,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,6,0.75,7,0.875,0,0.0,6,0.75,1,0.125,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,1,0.125,1,0.125,7,0.875,8,1.0,0,0.0,0,0.0,7.655507831886098,7.271907406914219,7.9405809451807965,85.56843099943872,135.33944614037645,1.0375,1.0075000000000003,3.3435225195847966,2.9435225195847967,15.0,0.0,0.718024160863252,-1.2620349491693017,1.2620349491693017
r11_l1_single_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,5,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,4,0.8,4,0.8,0,0.0,5,1.0,0,0.0,0,0.0,4.714661646732928,4.32151022120381,4.884483329326275,-8.0,0.0,1.5280000000000005,0.8600000000000001,1.1994433511850415,0.7994433511850414,0.0,0.0,0.8851681424087878,-1.6015947864138993,1.6015947864138993
r11_l2_four_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,3,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,1,0.3333333333333333,2,0.6666666666666666,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,2,0.6666666666666666,3,1.0,0,0.0,0,0.0,6.357060144223925,6.235436254627058,6.544365872773158,-1.742554806351914,-50.0,1.406666666666667,1.3933333333333333,2.533906226685611,2.1339062266856113,6.666666666666667,0.0,0.9849517800571528,-1.159568435326866,1.159568435326866
