environment_block_id,library_size_case_id,policy_id,history_length,launch_speed_bin_id,source_validation_run_count,source_validation_run_labels,launch_count,launch_speed_bin_min_m_s,launch_speed_bin_max_m_s,launch_speed_bin_label,start_energy_feasibility_threshold_m_s,start_energy_group_basis,mission_success_count,mission_success_rate,safe_success_count,safe_success_rate,full_safe_success_count,full_safe_success_rate,front_wall_terminal_success_count,front_wall_terminal_success_rate,wrong_wall_exit_count,wrong_wall_exit_rate,expected_low_energy_dry_air_sink_count,expected_low_energy_dry_air_sink_rate,claim_bearing_episode_count,claim_bearing_episode_rate,no_viable_primitive_count,no_viable_primitive_rate,hard_failure_count,hard_failure_rate,floor_or_ceiling_violation_count,floor_or_ceiling_violation_rate,physical_hard_failure_count,physical_hard_failure_rate,physical_floor_or_ceiling_violation_count,physical_floor_or_ceiling_violation_rate,terminal_useful_count,terminal_useful_rate,lift_capture_count,lift_capture_rate,memory_changed_selection_count,memory_changed_selection_rate,exploration_changed_selection_count,exploration_changed_selection_rate,mean_initial_launch_speed_m_s,min_initial_launch_speed_m_s,max_initial_launch_speed_m_s,mean_launch_score,median_launch_score,mean_episode_flight_time_s,mean_lift_dwell_time_s,mean_terminal_specific_energy_m,mean_terminal_specific_energy_reserve_m,mean_terminal_specific_energy_bonus,mean_positive_specific_energy_gain_m,mean_updraft_specific_energy_gain_proxy_m,mean_net_specific_energy_delta_m,mean_gross_specific_energy_loss_m
r11_l2_four_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,6,0.35294117647058826,6,0.35294117647058826,0,0.0,6,0.35294117647058826,0,0.0,6,0.35294117647058826,0,0.0,5,0.29411764705882354,0,0.0,0,0.0,6,0.35294117647058826,6,0.35294117647058826,6,0.35294117647058826,17,1.0,0,0.0,0,0.0,4.57718943642704,4.1060983395932,4.902884016874245,40.302620376699494,0.0,1.3623529411764705,1.3058823529411765,1.4992408629388776,1.0992408629388777,5.361280525005245,0.0021823710847837944,1.0943006873882195,-1.199229656501191,1.201412027585975
r11_l2_four_fan_fixed_nominal,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,E03.1;E03.2;E03.3;E03.4,19,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,11,0.5789473684210527,14,0.7368421052631579,0,0.0,11,0.5789473684210527,5,0.2631578947368421,0,0.0,0,0.0,0,0.0,5,0.2631578947368421,3,0.15789473684210525,5,0.2631578947368421,3,0.15789473684210525,14,0.7368421052631579,19,1.0,0,0.0,0,0.0,5.495970239291155,5.12330928775431,5.959681147377292,50.45907072387804,138.01315387672165,1.2989473684210529,1.2726315789473686,2.021078420689822,1.6210784206898223,10.192343075620283,3.0236923656163158e-05,1.1117144737332267,-1.0809901095944283,1.0810203465180843
r11_l3_fan_parameter_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,27,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,22,0.8148148148148148,26,0.9629629629629629,0,0.0,22,0.8148148148148148,5,0.18518518518518517,0,0.0,0,0.0,0,0.0,1,0.037037037037037035,0,0.0,1,0.037037037037037035,0,0.0,26,0.9629629629629629,27,1.0,0,0.0,0,0.0,7.616733485403874,7.025729538848876,8.034078728789705,101.08027251967636,134.8455590838283,0.9607407407407407,0.8362962962962962,3.361644812972495,2.961644812972496,16.113907868294152,0.00018837066237668517,0.688574488150478,-1.1945662039129823,1.1947545745753587
r11_l3_fan_parameter_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,10,0.5882352941176471,10,0.5882352941176471,0,0.0,10,0.5882352941176471,5,0.29411764705882354,0,0.0,0,0.0,0,0.0,7,0.4117647058823529,2,0.11764705882352941,7,0.4117647058823529,2,0.11764705882352941,10,0.5882352941176471,17,1.0,0,0.0,0,0.0,6.600901092811046,6.099974731221514,6.979864483039106,39.09951122053822,126.42129782624532,1.2882352941176471,1.1729411764705884,2.3609901318678346,1.9609901318678344,11.025877827078295,0.0016591464504588647,0.987962292482923,-1.4241386060882177,1.4257977525386765
r11_l3_fan_parameter_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,4,0.23529411764705882,4,0.23529411764705882,0,0.0,4,0.23529411764705882,0,0.0,8,0.47058823529411764,0,0.0,5,0.29411764705882354,0,0.0,0,0.0,8,0.47058823529411764,8,0.47058823529411764,4,0.23529411764705882,17,1.0,0,0.0,0,0.0,4.57718943642704,4.1060983395932,4.902884016874245,24.34414388425521,0.0,1.3282352941176472,1.1294117647058823,1.4067297077011285,1.0067297077011286,3.484728237937284,0.0018209989938768826,0.9215141495935103,-1.2917408117389404,1.2935618107328173
r11_l3_fan_parameter_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,E03.1;E03.2;E03.3;E03.4,19,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,6,0.3157894736842105,10,0.5263157894736842,0,0.0,6,0.3157894736842105,9,0.47368421052631576,0,0.0,0,0.0,1,0.05263157894736842,8,0.42105263157894735,3,0.15789473684210525,8,0.42105263157894735,3,0.15789473684210525,10,0.5263157894736842,19,1.0,0,0.0,0,0.0,5.495970239291155,5.12330928775431,5.959681147377292,-10.735249772757491,-50.0,1.4547368421052636,1.2926315789473681,1.7685355907660827,1.368535590766083,4.35974122507371,0.0015995536602745892,1.3881791683717157,-1.3335329395181674,1.3351324931784418
r11_l4_local_fan_position_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_ge_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,27,7.0,,initial_launch_speed_m_s >= 7.0,5.0,initial_launch_speed_m_s,22,0.8148148148148148,26,0.9629629629629629,0,0.0,22,0.8148148148148148,5,0.18518518518518517,0,0.0,0,0.0,0,0.0,1,0.037037037037037035,0,0.0,1,0.037037037037037035,0,0.0,26,0.9629629629629629,27,1.0,0,0.0,0,0.0,7.616733485403875,7.025729538848876,8.034078728789705,101.15519942351519,135.7028312194088,0.9948148148148149,0.8555555555555555,3.309599705264818,2.909599705264818,16.10296136605912,0.0003253151368752926,0.7324286968232744,-1.2466113116206596,1.2469366267575348
r11_l4_local_fan_position_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_4_0_to_5_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,4.0,5.0,4.0 <= initial_launch_speed_m_s < 5.0,5.0,initial_launch_speed_m_s,4,0.23529411764705882,4,0.23529411764705882,0,0.0,4,0.23529411764705882,1,0.058823529411764705,8,0.47058823529411764,0,0.0,4,0.23529411764705882,1,0.058823529411764705,0,0.0,9,0.5294117647058824,8,0.47058823529411764,4,0.23529411764705882,17,1.0,0,0.0,0,0.0,4.57718943642704,4.1060983395932,4.902884016874245,19.3794820505789,0.0,1.378823529411765,1.1894117647058824,1.342482306453655,0.9424823064536552,3.0444312726839726,0.0037355285421610354,0.9571782148220483,-1.3559882129864134,1.3597237415285743
r11_l4_local_fan_position_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_6_0_to_7_0_m_s,4,E03.1;E03.2;E03.3;E03.4,17,6.0,7.0,6.0 <= initial_launch_speed_m_s < 7.0,5.0,initial_launch_speed_m_s,10,0.5882352941176471,11,0.6470588235294118,0,0.0,10,0.5882352941176471,4,0.23529411764705882,0,0.0,0,0.0,1,0.058823529411764705,5,0.29411764705882354,2,0.11764705882352941,5,0.29411764705882354,2,0.11764705882352941,11,0.6470588235294118,17,1.0,0,0.0,0,0.0,6.600901092811046,6.099974731221514,6.979864483039106,45.60591034621296,126.9891790321086,1.3082352941176472,1.1611764705882355,2.27694661838345,1.8769466183834498,11.370907858126055,0.0021090552895301766,0.8927574530828477,-1.5081821195726026,1.5102911748621328
r11_l4_local_fan_position_uncertainty,heavy_cluster,open_loop_zero_command_baseline,0,v0_5_0_to_6_0_m_s,4,E03.1;E03.2;E03.3;E03.4,19,5.0,6.0,5.0 <= initial_launch_speed_m_s < 6.0,5.0,initial_launch_speed_m_s,6,0.3157894736842105,11,0.5789473684210527,0,0.0,6,0.3157894736842105,6,0.3157894736842105,0,0.0,0,0.0,2,0.10526315789473684,6,0.3157894736842105,5,0.2631578947368421,6,0.3157894736842105,5,0.2631578947368421,11,0.5789473684210527,19,1.0,0,0.0,0,0.0,5.495970239291155,5.12330928775431,5.959681147377292,-3.6665898396497116,-50.0,1.425263157894737,1.3,1.6848523125607067,1.2848523125607068,5.081197022508248,0.00014699522272044736,1.2549465509208226,-1.417216217723544,1.417363212946264
