family,target_heading_deg,candidate_class,updraft_config,wind_fidelity,start_condition,row_count,best_heading_error_deg,best_path_length_xy_m,best_footprint_m2,best_energy_residual_m,best_terminal_speed_m_s,pass_fraction_true_safe,pass_fraction_heading_band,dominant_failure_label,dominant_envelope_status,dominant_coverage_status,library_growth_trigger_count,group_status
canyon_steep_bank,30.0,boundary_evidence,none,W0,favourable,1,13.264395427248047,6.206871348479954,3.67390894428517,-0.5800107460329196,7.553908218699546,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
canyon_steep_bank,30.0,boundary_evidence,U1_single_fan,W1,favourable,1,18.760928427540975,6.329879735203685,3.169770277569339,-0.04892278466220468,7.336329564645774,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
canyon_steep_bank,30.0,boundary_evidence,U1_single_fan,W2,favourable,1,18.407242058939467,5.944709545435739,2.4444471363405245,-0.18098921387794142,6.227243030689155,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
canyon_steep_bank,30.0,boundary_evidence,U4_four_fan,W1,favourable,1,13.682692616236853,6.225649795719234,3.643560614487282,-0.3396033199404669,7.344674048822036,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
canyon_steep_bank,30.0,boundary_evidence,U4_four_fan,W2,favourable,1,10.613947865242814,6.0893101579428714,4.435902697068968,-0.2656166477648081,6.8611094918003595,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
canyon_steep_bank,30.0,boundary_evidence,none,W0,mid_arena,1,13.264395427248047,6.206871348479956,3.673908944285171,-0.5800107460329196,7.553908218699546,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
canyon_steep_bank,30.0,boundary_evidence,U1_single_fan,W1,mid_arena,1,14.458095243001049,6.170158627453164,3.1928684840774433,-0.23154085706573557,7.355042074979802,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
canyon_steep_bank,30.0,boundary_evidence,U1_single_fan,W2,mid_arena,1,18.544843544663095,6.222600923581808,2.2448794334286375,-0.41306151865127294,8.529819595281984,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
canyon_steep_bank,30.0,boundary_evidence,U4_four_fan,W1,mid_arena,1,14.520982028093806,6.196966225694771,3.3496303069347535,-0.38516477679327465,7.420712372242815,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
canyon_steep_bank,30.0,boundary_evidence,U4_four_fan,W2,mid_arena,1,14.82163685570018,6.142431721191151,3.217317230896558,-0.34885925896184444,7.377743022067586,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,15.0,boundary_evidence,none,W0,favourable,1,6.9383375160765635,4.169223754546614,0.45377573340669375,-0.35160513457846765,7.157694600311231,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
wingover_lite,15.0,boundary_evidence,U1_single_fan,W1,favourable,1,5.203313537079781,4.307469864786746,0.7486381171641946,0.14819562604813452,7.177431210412483,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
wingover_lite,15.0,boundary_evidence,U1_single_fan,W2,favourable,1,7.434006318732587,4.199905765237192,0.7912796334711302,0.07808491623861613,6.576523129864248,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
wingover_lite,15.0,boundary_evidence,U4_four_fan,W1,favourable,1,6.933073447485976,4.1854677422295765,0.4542279026496497,-0.1880841040701271,7.050815311939446,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
wingover_lite,15.0,boundary_evidence,U4_four_fan,W2,favourable,1,4.95075352965949,4.154697660467425,0.6643474358865687,-0.13759063139348982,6.759895310008912,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
wingover_lite,15.0,boundary_evidence,none,W0,mid_arena,1,6.9383375160765635,4.169223754546615,0.45377573340669386,-0.35160513457846765,7.157694600311231,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,15.0,boundary_evidence,U1_single_fan,W1,mid_arena,1,7.91318872020948,4.1424324934950745,0.312221644740659,-0.04553516851960193,6.876764527867548,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,15.0,boundary_evidence,U1_single_fan,W2,mid_arena,1,7.999295058481474,4.036114373650992,0.2017509561835616,-0.15946376140361052,7.560962961675768,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,15.0,boundary_evidence,U4_four_fan,W1,mid_arena,1,7.411474770452168,4.167463795592201,0.36652239375420337,-0.2116344003690207,7.0291210312616474,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,15.0,boundary_evidence,U4_four_fan,W2,mid_arena,1,7.716931751706147,4.153049185982705,0.36301002166141755,-0.17926098400378976,6.935459549363889,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,30.0,boundary_evidence,none,W0,favourable,1,15.138740293494672,6.375030023723012,2.6983147140702797,-0.6035465642380875,8.392517388626231,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
wingover_lite,30.0,boundary_evidence,U1_single_fan,W1,favourable,1,21.341350653908478,6.5159774946037325,2.048578777144757,-0.15160684637919442,8.203550723060898,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
wingover_lite,30.0,boundary_evidence,U1_single_fan,W2,favourable,1,20.43472313741305,6.33034951386651,1.486237453650519,-0.0870992836243012,7.175267877645397,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
wingover_lite,30.0,boundary_evidence,U4_four_fan,W1,favourable,1,15.832770546704385,6.3902693463754545,2.6047494419954607,-0.41088090833292457,8.184253214866848,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
wingover_lite,30.0,boundary_evidence,U4_four_fan,W2,favourable,1,13.230082129005805,6.317977221431829,3.423288952466853,-0.3132074604928867,7.669756502938486,0.0,0.0,true_safety_violation,candidate_family_boundary,uncovered_boundary,0,candidate_family_boundary
wingover_lite,30.0,boundary_evidence,none,W0,mid_arena,1,15.138740293494672,6.375030023723016,2.698314714070281,-0.6035465642380875,8.392517388626231,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,30.0,boundary_evidence,U1_single_fan,W1,mid_arena,1,15.480945023196083,6.304917136287851,2.4183810504103267,-0.2725204546079243,7.995491169987809,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,30.0,boundary_evidence,U1_single_fan,W2,mid_arena,1,18.68915936816304,6.1454841359378145,1.8592543021826227,-0.4754545526421565,9.207334232085959,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,30.0,boundary_evidence,U4_four_fan,W1,mid_arena,1,15.808303429740409,6.350009655440562,2.4510806858199228,-0.4468269698709193,8.227639787341586,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
wingover_lite,30.0,boundary_evidence,U4_four_fan,W2,mid_arena,1,15.847150148781978,6.300740256014304,2.336866017311236,-0.40974046383076645,8.159484373520648,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,15.0,boundary_evidence,none,W0,favourable,1,4.057954021130437,4.13894628902489,0.525571744550255,-0.3572522863779035,6.711391790655523,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
bank_yaw_energy_retaining,15.0,updraft_assisted_commandable,U1_single_fan,W1,favourable,1,1.5805691083809617,4.236075307805741,0.8960242886205844,0.2545471362195846,6.814125277312276,1.0,1.0,success,widening_existing_envelope,covered_by_existing_envelope,0,widening_existing_envelope
bank_yaw_energy_retaining,15.0,boundary_evidence,U1_single_fan,W2,favourable,1,3.543935293042008,4.070571915912673,0.7520259301622355,-0.006612520056635596,6.114064592242019,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
bank_yaw_energy_retaining,15.0,boundary_evidence,U4_four_fan,W1,favourable,1,4.027008046097155,4.15394102158602,0.5291036073088761,-0.14544821633909777,6.659123048095338,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
bank_yaw_energy_retaining,15.0,boundary_evidence,U4_four_fan,W2,favourable,1,2.036466196373121,4.093914453382071,0.7532392036515776,-0.10945028047295713,6.352293534788379,1.0,0.0,target_miss,candidate_family_needs_refinement,uncovered_needs_refinement,0,candidate_family_needs_refinement
bank_yaw_energy_retaining,15.0,boundary_evidence,none,W0,mid_arena,1,4.057954021130437,4.138946289024889,0.5255717445502549,-0.3572522863779035,6.711391790655523,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,15.0,boundary_evidence,U1_single_fan,W1,mid_arena,1,4.964157623161215,4.127668942333395,0.3745740973932557,-0.024897469441646614,6.555773374627851,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
bank_yaw_energy_retaining,15.0,boundary_evidence,U1_single_fan,W2,mid_arena,1,5.853156176963697,4.093659962206573,0.20462983947215996,-0.12240950969319764,7.285330420746288,0.0,0.0,true_safety_violation,outside_entry_envelope_governor_reject,uncovered_governor_reject,0,outside_entry_envelope_governor_reject
